Names,ABS_R1,ABS_R2,ABS_R3,Mean,Std. Dev.
453,4.5,126.1,198.9,109.9,98.2
454,5.8,135.7,216.0,119.2,106.1
455,15.0,147.6,230.0,130.9,108.5
456,15.0,158.8,239.8,137.9,113.9
457,22.9,172.7,251.3,149.0,116.1
458,30.4,185.8,259.6,158.6,117.0
459,45.0,201.3,276.3,174.2,118.0
460,59.6,213.8,287.8,187.1,116.4
461,72.3,223.1,309.1,201.5,119.9
462,82.9,234.4,311.4,209.6,116.2
463,90.9,251.1,323.1,221.7,118.9
464,101.1,266.1,332.6,233.3,119.2
465,119.4,283.6,347.5,250.2,117.7
466,132.2,299.0,355.3,262.2,116.0
467,143.8,310.5,371.9,275.4,118.0
468,157.1,323.1,380.3,286.8,115.9
469,165.5,350.6,382.7,299.6,117.3
470,171.9,359.2,397.8,309.7,120.9
471,187.5,361.3,425.0,324.6,123.0
472,202.4,378.0,426.0,335.5,117.7
473,210.3,391.2,441.0,347.5,121.4
474,234.5,390.5,453.6,359.6,112.8
475,250.5,405.8,460.6,372.3,109.0
476,260.9,425.7,464.3,383.6,108.1
477,280.8,436.7,461.2,392.9,97.8
478,293.1,426.2,484.5,401.3,98.1
479,299.7,447.0,478.6,408.4,95.5
480,317.2,447.4,496.9,420.5,92.8
481,327.9,463.4,491.5,427.6,87.5
482,359.5,460.7,487.9,436.0,67.6
483,371.7,483.1,499.8,451.5,69.7
484,383.4,489.6,516.0,463.0,70.2
485,394.4,483.6,516.2,464.8,63.1
486,397.4,493.6,524.1,471.7,66.1
487,420.7,496.7,531.6,483.0,56.7
488,424.4,505.1,551.5,493.7,64.3
489,442.5,516.4,549.0,502.6,54.6
490,453.0,512.9,534.7,500.2,42.3
491,470.3,531.6,543.8,515.2,39.4
492,471.6,531.6,560.5,521.2,45.3
493,498.4,526.8,551.2,525.5,26.4
494,485.9,539.7,539.9,521.8,31.1
495,500.3,532.9,562.5,531.9,31.1
496,499.2,548.0,555.9,534.4,30.7
497,519.7,541.2,544.3,535.1,13.4
498,513.4,546.0,570.0,543.1,28.4
499,526.5,539.9,562.0,542.8,17.9
500,523.1,550.6,569.6,547.7,23.4
501,540.5,550.8,552.8,548.1,6.6
502,497.7,563.1,574.3,545.0,41.4
503,550.0,560.3,566.9,559.0,8.5
504,560.7,550.4,594.7,568.6,23.2
505,534.4,565.9,580.9,560.4,23.7
506,568.2,596.3,586.6,583.7,14.3
507,540.8,584.9,588.2,571.3,26.5
508,541.3,573.8,592.4,569.2,25.9
509,545.7,564.0,588.7,566.2,21.6
510,572.7,569.1,587.2,576.3,9.6
511,566.5,578.7,582.4,575.9,8.3
512,573.0,574.8,584.9,577.6,6.4
513,567.1,578.7,593.6,579.8,13.3
514,572.6,569.1,598.0,579.9,15.8
515,565.7,589.8,606.1,587.2,20.4
516,591.7,579.8,620.0,597.2,20.6
517,589.7,582.6,588.9,587.0,3.9
518,598.0,589.6,588.6,592.1,5.1
519,587.8,580.6,604.5,590.9,12.3
520,582.4,583.7,605.1,590.4,12.8
521,595.1,596.0,609.0,600.0,7.8
522,584.2,580.5,614.9,593.2,18.9
523,574.5,595.3,604.4,591.4,15.3
524,633.4,594.3,603.9,610.5,20.4
525,604.2,604.6,612.2,607.0,4.5
526,601.1,589.1,620.4,603.6,15.8
527,608.5,584.5,607.0,600.0,13.4
528,617.8,594.0,621.4,611.1,14.9
529,605.4,600.2,621.7,609.1,11.2
530,587.6,595.3,599.5,594.1,6.0
531,620.0,590.8,621.9,610.9,17.4
532,591.6,605.5,627.5,608.2,18.1
533,589.1,600.8,624.3,604.7,17.9
534,591.2,613.6,611.8,605.5,12.4
535,613.9,594.2,610.8,606.3,10.6
536,608.6,614.5,617.1,613.4,4.4
537,599.0,611.6,623.8,611.5,12.4
538,620.5,598.1,623.1,613.9,13.8
539,630.8,613.5,602.2,615.5,14.4
540,633.8,593.1,638.4,621.7,25.0
541,610.9,607.4,621.1,613.2,7.1
542,618.9,603.5,625.8,616.0,11.4
543,612.7,594.4,615.3,607.5,11.4
544,625.7,621.0,610.1,618.9,8.0
545,628.3,632.4,649.7,636.8,11.4
546,599.9,608.9,621.6,610.1,10.9
547,608.2,596.7,615.3,606.7,9.4
548,631.7,599.9,630.2,620.6,17.9
549,628.1,616.8,617.4,620.8,6.3
550,634.7,604.4,618.9,619.3,15.2
551,602.2,600.3,630.8,611.1,17.1
552,636.4,606.7,634.6,625.9,16.7
553,624.6,613.3,624.8,620.9,6.6
554,627.9,614.3,609.0,617.1,9.7
555,637.8,607.2,610.8,618.6,16.7
556,619.8,615.7,616.1,617.2,2.2
557,628.6,629.7,607.6,622.0,12.5
558,613.5,598.2,646.1,619.3,24.5
559,616.5,614.1,625.4,618.7,6.0
560,620.6,602.1,635.7,619.5,16.8
561,615.0,591.9,613.4,606.8,12.9
562,627.2,598.9,619.3,615.1,14.6
563,621.5,602.8,622.0,615.4,11.0
564,630.0,608.0,612.8,616.9,11.6
565,623.3,590.5,625.9,613.2,19.7
566,612.4,598.5,614.5,608.5,8.7
567,621.2,609.5,594.3,608.3,13.5
568,608.3,594.4,611.6,604.8,9.1
569,627.4,608.4,621.1,619.0,9.7
570,626.1,607.1,631.8,621.6,13.0
571,635.2,602.5,612.1,616.6,16.8
572,621.2,601.6,618.5,613.8,10.6
573,613.8,636.8,625.2,625.3,11.5
574,625.5,617.8,625.9,623.1,4.6
575,617.3,602.4,623.9,614.6,11.0
576,628.0,609.1,608.1,615.1,11.2
577,611.9,566.1,631.5,603.2,33.6
578,635.7,599.7,605.8,613.8,19.2
579,616.0,619.3,606.9,614.0,6.4
580,625.3,600.6,620.9,615.6,13.2
581,613.7,585.3,623.4,607.5,19.8
582,620.0,614.3,613.3,615.9,3.6
583,627.7,616.9,590.9,611.8,18.9
584,620.6,597.9,619.8,612.8,12.9
585,630.2,601.8,649.0,627.0,23.8
586,604.0,603.6,607.4,605.0,2.1
587,614.1,618.3,614.5,615.6,2.3
588,627.2,626.9,629.3,627.8,1.3
589,621.8,596.7,602.3,607.0,13.2
590,618.9,601.0,621.4,613.8,11.1
591,621.8,607.6,621.8,617.1,8.2
592,616.7,595.1,623.1,611.6,14.6
593,600.5,598.6,631.2,610.1,18.3
594,614.3,607.5,608.6,610.1,3.7
595,635.8,610.8,590.6,612.4,22.6
596,621.9,601.7,611.5,611.7,10.1
597,633.1,599.5,616.0,616.2,16.8
598,625.7,612.4,627.0,621.7,8.1
599,628.7,615.8,611.7,618.7,8.9
600,610.4,603.5,624.4,612.8,10.6
601,623.7,603.6,637.4,621.6,17.0
602,618.2,611.6,618.9,616.2,4.1
603,592.8,602.1,634.6,609.8,21.9
604,613.3,618.6,622.9,618.2,4.8
605,612.7,637.4,612.9,621.0,14.2
606,612.8,601.6,635.0,616.5,17.0
607,626.9,619.0,612.4,619.4,7.2
608,611.0,592.6,610.1,604.6,10.4
609,617.2,617.9,623.0,619.4,3.1
610,621.6,617.3,615.7,618.2,3.0
611,637.4,632.8,614.1,628.1,12.4
612,625.3,601.6,623.2,616.7,13.1
613,617.3,615.8,638.6,623.9,12.7
614,620.2,590.1,644.4,618.2,27.2
615,613.4,628.7,614.8,619.0,8.5
616,617.6,624.4,650.1,630.7,17.1
617,611.0,593.7,617.1,607.3,12.2
618,607.1,594.6,610.2,604.0,8.3
619,611.5,612.7,620.9,615.0,5.1
620,620.9,612.3,645.8,626.3,17.4
621,618.8,621.1,642.4,627.4,13.0
622,616.1,630.4,615.7,620.7,8.4
623,617.7,628.1,623.2,623.0,5.2
624,605.4,607.0,642.0,618.1,20.7
625,631.2,628.3,645.2,634.9,9.0
626,617.1,621.0,661.0,633.0,24.3
627,623.8,611.1,652.1,629.0,21.0
628,615.6,622.6,625.7,621.3,5.2
629,628.7,610.0,647.7,628.8,18.9
630,618.8,626.7,641.6,629.0,11.6
631,594.1,623.8,654.4,624.1,30.2
632,623.2,607.4,625.6,618.7,9.9
633,607.9,641.1,629.2,626.1,16.8
634,590.9,632.7,655.6,626.4,32.8
635,606.0,636.1,683.0,641.7,38.8
636,607.2,635.5,642.3,628.3,18.6
637,602.9,645.8,634.7,627.8,22.3
638,620.1,619.2,616.2,618.5,2.0
639,625.7,625.9,652.4,634.7,15.4
640,619.9,638.6,639.6,632.7,11.1
641,614.2,654.7,645.3,638.1,21.2
642,641.9,625.4,666.5,644.6,20.7
643,619.0,644.3,656.0,639.8,18.9
644,623.2,618.4,629.0,623.5,5.3
645,622.4,646.4,663.4,644.1,20.6
646,625.0,642.4,656.4,641.3,15.8
647,640.4,637.7,639.3,639.2,1.4
648,625.7,632.9,641.7,633.4,8.0
649,635.5,637.0,658.4,643.6,12.8
650,638.5,624.2,653.7,638.8,14.7
651,612.4,641.4,666.1,640.0,26.9
652,642.2,638.2,638.7,639.7,2.2
653,625.9,642.6,657.4,642.0,15.7
654,624.3,648.2,655.0,642.5,16.1
655,642.1,650.4,649.4,647.3,4.5
656,629.6,661.1,667.8,652.8,20.4
657,659.0,615.6,648.3,641.0,22.6
658,650.0,654.1,645.3,649.8,4.4
659,635.3,660.5,656.9,650.9,13.6
660,635.8,643.2,675.1,651.3,20.9
661,629.8,653.4,668.7,650.6,19.6
662,622.3,643.0,671.9,645.7,24.9
663,644.9,639.2,652.7,645.6,6.8
664,657.3,642.8,668.9,656.4,13.1
665,653.4,650.9,656.5,653.6,2.8
666,641.0,644.3,701.1,662.1,33.8
667,651.4,656.0,675.0,660.8,12.5
668,657.8,658.2,662.8,659.6,2.8
669,647.5,656.4,664.9,656.3,8.7
670,652.9,671.2,653.1,659.1,10.5
671,633.1,664.7,672.8,656.9,21.0
672,654.4,673.2,661.6,663.1,9.5
673,636.2,644.9,657.4,646.1,10.6
674,625.5,657.0,685.3,655.9,29.9
675,650.6,651.8,662.3,654.9,6.5
676,640.2,653.7,679.5,657.8,20.0
677,650.7,651.9,685.6,662.7,19.8
678,671.3,641.2,664.9,659.1,15.9
679,658.3,658.1,703.1,673.1,25.9
680,651.0,678.3,658.9,662.7,14.1
681,660.3,655.2,684.3,666.6,15.6
682,652.3,684.2,685.7,674.1,18.9
683,647.1,663.3,662.3,657.6,9.1
684,646.1,663.8,664.4,658.1,10.4
685,660.5,646.6,670.8,659.3,12.1
686,658.1,658.8,671.0,662.6,7.3
687,677.5,670.3,676.0,674.6,3.8
688,635.8,658.6,685.1,659.8,24.7
689,665.0,673.9,687.6,675.5,11.4
690,653.4,680.4,664.4,666.1,13.6
691,653.5,688.9,699.0,680.4,23.9
692,644.0,660.0,688.1,664.0,22.3
693,639.4,692.4,693.5,675.1,30.9
694,657.5,674.1,681.4,671.0,12.2
695,656.7,694.5,710.3,687.2,27.5
696,642.2,672.5,657.4,657.4,15.2
697,673.4,676.6,683.1,677.7,4.9
698,683.1,683.3,684.2,683.5,0.6
699,657.8,673.7,659.6,663.7,8.7
700,647.8,689.0,693.4,676.7,25.2
701,673.4,697.3,680.1,683.6,12.3
702,647.1,691.5,709.0,682.6,31.9
703,671.8,692.4,686.0,683.4,10.6
704,643.9,659.2,712.0,671.7,35.7
705,667.4,676.7,684.6,676.2,8.6
706,664.8,689.6,677.7,677.4,12.4
707,655.7,697.1,700.3,684.4,24.9
708,657.8,680.5,694.0,677.4,18.3
709,656.4,679.2,668.2,667.9,11.4
710,664.9,691.9,689.5,682.1,15.0
711,664.0,685.5,664.2,671.2,12.4
712,680.2,692.8,707.0,693.3,13.4
713,664.5,681.9,692.2,679.5,14.0
714,663.0,693.2,698.2,684.8,19.0
715,670.1,665.4,669.5,668.3,2.6
716,666.6,680.2,674.8,673.9,6.8
717,672.6,679.4,708.1,686.7,18.8
718,650.6,669.8,692.9,671.1,21.2
719,677.5,665.1,716.6,686.4,26.9
720,662.9,705.8,695.8,688.2,22.5
721,657.6,688.2,687.0,677.6,17.3
722,685.4,681.9,681.7,683.0,2.1
723,651.0,708.2,693.2,684.1,29.6
724,657.4,708.4,722.0,695.9,34.0
725,693.8,682.0,704.4,693.4,11.2
726,657.5,692.3,681.1,677.0,17.8
727,684.4,697.4,685.9,689.2,7.2
728,672.0,671.1,724.9,689.3,30.8
729,646.9,695.3,716.3,686.2,35.6
730,676.2,701.0,734.3,703.8,29.1
731,655.6,690.5,717.0,687.7,30.8
732,676.2,690.4,720.0,695.5,22.3
733,644.9,696.1,704.7,681.9,32.3
734,679.6,721.2,709.5,703.4,21.5
735,666.3,687.2,716.2,689.9,25.0
736,665.4,711.3,732.7,703.2,34.4
