Sample ID:	C:\MCC\MCC Cal\Test\Alpha_OSB_MCC_30K_min_211206_R2.txt
Sample Weight (mg):	4.4
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	110.403	79.999	19.994	103.069	20.074	-0.114	-0.014
0.500	110.404	79.997	19.996	103.071	20.074	-0.122	-0.048
1.000	110.433	79.999	19.995	103.071	20.075	-0.234	-0.017
1.500	110.417	79.999	19.994	103.071	20.073	-0.024	0.022
2.000	110.420	79.998	19.994	103.071	20.070	0.136	0.000
2.500	110.361	80.000	19.995	103.071	20.071	0.114	-0.035
3.000	110.372	79.998	19.995	103.070	20.071	0.122	-0.052
3.500	110.412	80.000	19.994	103.069	20.072	-0.016	0.002
4.000	110.429	79.999	19.995	103.068	20.074	-0.116	0.054
4.500	110.411	79.999	19.995	103.068	20.075	-0.220	0.027
5.000	110.402	79.999	19.993	103.067	20.072	0.022	-0.014
5.500	110.412	79.999	19.995	103.069	20.071	0.120	-0.013
6.000	110.434	79.998	19.994	103.069	20.070	0.130	0.017
6.500	110.447	80.003	19.995	103.069	20.073	-0.018	0.034
7.000	110.438	80.002	19.997	103.069	20.075	-0.171	0.020
7.500	110.436	80.003	19.995	103.069	20.076	-0.297	-0.004
8.000	110.430	80.000	19.995	103.068	20.076	-0.271	-0.009
8.501	110.438	80.004	19.994	103.068	20.074	-0.094	-0.003
9.001	110.421	80.001	19.995	103.069	20.073	-0.088	-0.003
9.501	110.414	80.001	19.995	103.068	20.075	-0.230	-0.016
10.000	110.406	80.001	19.994	103.068	20.073	-0.088	-0.020
