##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
49.171,10.01,0.00591,0.004849158,1.0744799999999999
49.271,10.40465,0.005123613,0.01009851,1.07447
49.371,10.509730000000001,0.005017155,0.01398325,1.07447
49.471,10.5813,0.005603721999999999,0.01771285,1.07446
49.571,10.63542,0.005489524,0.02350199,1.07445
49.671,10.68331,0.006111409,0.0271734,1.07444
49.771,10.72527,0.0064337840000000006,0.03235469,1.07444
49.871,10.76309,0.006739625,0.0344922,1.07443
49.971,10.797939999999999,0.006714228,0.03944547,1.0744200000000002
50.071,10.83071,0.006515712,0.04472389,1.0744200000000002
50.171,10.861130000000001,0.00626635,0.04947118,1.07441
50.271,10.88936,0.006392138,0.05080295,1.0744
50.371,10.91648,0.006183068000000001,0.05676515,1.0744
50.471,10.94275,0.005658959,0.05635997,1.07439
50.571,10.96759,0.0053436659999999995,0.06102941,1.07438
50.671,10.9915,0.004471409,0.0640764,1.07437
50.771,11.0145,0.004125395,0.06712988,1.07437
50.871,11.0369,0.0050940329999999995,0.07248852,1.07436
50.971,11.05902,0.0060196880000000005,0.07427057,1.07435
51.071,11.07997,0.006582226,0.07620077,1.07435
51.171,11.10083,0.007278878000000001,0.07937514,1.07434
51.271,11.1211,0.00689461,0.08183442,1.07433
51.371,11.14076,0.006552455,0.08267412,1.0743200000000002
51.471,11.160110000000001,0.007772704,0.0857439,1.0743200000000002
51.571,11.17858,0.007178465,0.08942465,1.07431
51.671,11.196860000000001,0.006961059,0.09199964,1.0743
51.771,11.21486,0.007645815,0.09524218,1.07429
51.871,11.23263,0.006376084000000001,0.09946333,1.07429
51.971,11.25007,0.007012226,0.09960847,1.07428
52.071,11.26718,0.006319041,0.10262,1.07427
52.171,11.28435,0.006327286999999999,0.10547000000000001,1.07426
52.271,11.3011,0.00696198,0.10744000000000001,1.07426
52.371,11.31743,0.006678265,0.10985,1.07425
52.471,11.333639999999999,0.007934621,0.1108,1.0742399999999999
52.571,11.34972,0.007322331,0.11327000000000001,1.07423
52.671,11.36561,0.008134760999999999,0.11494000000000001,1.07423
52.771,11.3815,0.006562659,0.11862,1.0742200000000002
52.871,11.39735,0.0073851,0.11798,1.07421
52.971,11.41281,0.006107349000000001,0.12277,1.0742
53.071,11.42808,0.005503674,0.12308,1.0742
53.171,11.44313,0.005894253,0.12493,1.07419
53.271,11.457989999999999,0.005531013,0.12449,1.07418
53.371,11.472610000000001,0.006068605,0.12786,1.07417
53.471,11.4871,0.007330850999999999,0.12954000000000002,1.07417
53.571,11.50177,0.006773829,0.13159,1.07416
53.671,11.516169999999999,0.007458726,0.13259,1.07415
53.771,11.5305,0.006517246,0.13394,1.0741399999999999
53.871,11.54474,0.006568124,0.13638,1.07413
53.971,11.558760000000001,0.0062209990000000005,0.13655,1.07413
54.071,11.57285,0.006005597,0.13978,1.07412
54.171,11.58665,0.00543934,0.13984000000000002,1.0741100000000001
54.271,11.60041,0.005898876,0.14038,1.0741
54.371,11.614130000000001,0.004532363,0.14343,1.07409
54.471,11.62767,0.005624936999999999,0.14353,1.07409
54.571,11.64108,0.0045574579999999995,0.14752,1.07408
54.671,11.65441,0.005755506999999999,0.14912999999999998,1.07407
54.771,11.667810000000001,0.00596602,0.14705,1.07406
54.871,11.681280000000001,0.005316619,0.15047,1.07405
54.971,11.694510000000001,0.006221883,0.15153,1.07405
55.071,11.70753,0.004787245999999999,0.15308,1.0740399999999999
55.171,11.72048,0.005319029,0.15281,1.0740299999999998
55.271,11.733310000000001,0.005797413,0.15402000000000002,1.07402
55.371,11.74618,0.004827655,0.15563,1.0740100000000001
55.471,11.75905,0.006158114,0.15663,1.074
55.571,11.77178,0.006088944000000001,0.1568,1.074
55.671,11.78437,0.0057128330000000005,0.15932000000000002,1.07399
55.771,11.79703,0.0064169809999999996,0.15982000000000002,1.07398
55.871,11.80969,0.005278407,0.15938,1.07397
55.971,11.82217,0.005637533,0.16288,1.07396
56.071,11.83447,0.006235964,0.16345,1.07395
56.171,11.846960000000001,0.005855848,0.16296,1.07395
56.271,11.8596,0.006128925,0.16439,1.07394
56.371,11.87209,0.006132295,0.16638,1.0739299999999998
56.471,11.88444,0.00612491,0.16731,1.07392
56.571,11.89676,0.006319933000000001,0.16935,1.0739100000000001
56.671,11.90907,0.006805077,0.16818,1.0739
56.771,11.92131,0.0060707,0.16943,1.0739
