Time after Ignition,Basswood_Panel_R1,Basswood_Panel_R2,Basswood_Panel_R3,Mean,Std. Dev.
0.0,2.7,3.7,4.2,3.5,0.8
0.25,2.7,3.6,4.0,3.5,0.7
0.5,2.7,3.4,3.9,3.3,0.6
0.75,2.6,3.2,3.9,3.2,0.6
1.0,2.6,3.1,3.7,3.1,0.5
1.25,2.6,3.1,3.7,3.1,0.5
1.5,2.6,3.0,3.6,3.0,0.5
1.75,2.6,2.8,3.5,3.0,0.5
2.0,2.6,2.7,3.4,2.9,0.5
2.25,2.6,2.7,3.4,2.9,0.4
2.5,2.6,2.6,3.4,2.9,0.4
2.75,2.6,2.6,3.3,2.8,0.4
3.0,2.6,2.5,3.3,2.8,0.4
3.25,2.6,2.5,3.2,2.8,0.4
3.5,2.6,2.4,3.2,2.7,0.4
3.75,2.6,2.4,3.2,2.7,0.4
4.0,2.6,2.4,3.1,2.7,0.4
4.25,2.5,2.3,3.1,2.6,0.4
4.5,2.5,2.4,3.0,2.6,0.3
4.75,2.5,2.5,2.9,2.7,0.2
5.0,2.3,2.6,2.9,2.6,0.3
5.25,2.2,2.6,2.9,2.6,0.4
5.5,2.0,2.7,2.8,2.5,0.4
5.75,1.8,2.7,2.8,2.5,0.6
6.0,1.7,2.7,2.8,2.4,0.6
6.25,1.6,2.8,2.8,2.4,0.7
6.5,1.5,2.8,2.9,2.4,0.8
6.75,1.4,2.9,3.0,2.4,0.9
7.0,1.3,2.9,3.1,2.4,1.0
7.25,1.2,2.9,3.1,2.4,1.1
7.5,1.2,2.9,3.2,2.4,1.1
7.75,1.3,3.0,3.2,2.5,1.0
8.0,1.3,3.2,3.3,2.6,1.1
8.25,1.3,3.2,3.3,2.6,1.1
8.5,1.4,3.3,3.3,2.7,1.1
8.75,1.6,3.4,3.4,2.8,1.1
9.0,1.6,4.6,3.5,3.2,1.5
9.25,1.7,5.8,3.5,3.6,2.1
9.5,4.2,6.7,5.0,5.3,1.3
9.75,6.6,7.6,6.4,6.8,0.7
10.0,8.6,8.5,7.5,8.2,0.6
10.25,10.5,12.3,8.7,10.5,1.8
10.5,12.2,15.7,12.5,13.5,1.9
10.75,18.1,18.6,15.9,17.6,1.4
11.0,23.2,21.1,19.3,21.2,2.0
11.25,27.5,23.3,22.1,24.3,2.8
11.5,31.8,29.5,28.3,29.9,1.8
11.75,39.5,35.2,34.5,36.4,2.7
12.0,46.7,40.2,39.3,42.1,4.1
12.25,50.7,45.3,44.4,46.8,3.4
12.5,58.7,48.9,48.3,52.0,5.8
12.75,61.8,57.0,52.8,57.2,4.5
13.0,69.0,63.2,56.1,62.8,6.4
13.25,75.8,69.2,62.0,69.0,6.9
13.5,80.1,74.7,69.6,74.8,5.2
13.75,86.6,82.3,75.7,81.6,5.5
14.0,92.3,90.7,79.9,87.6,6.7
14.25,98.5,97.3,85.8,93.9,7.0
14.5,106.3,105.8,91.8,101.3,8.3
14.75,110.5,110.0,99.9,106.8,6.0
15.0,115.8,120.1,105.3,113.7,7.6
15.25,120.9,126.3,110.7,119.3,7.9
15.5,129.8,132.8,117.3,126.7,8.2
15.75,136.7,140.8,125.1,134.2,8.1
16.0,140.7,147.0,131.5,139.7,7.8
16.25,147.7,153.1,136.3,145.7,8.6
16.5,157.0,162.5,145.2,154.9,8.8
16.75,160.8,161.8,149.2,157.2,7.0
17.0,165.6,171.1,156.4,164.4,7.4
17.25,173.2,176.8,162.3,170.8,7.5
17.5,180.6,181.0,172.3,177.9,4.9
