##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.)/(mW/mg),Sensit./(uV/mW)
49.737,10.01,-0.05759,0.02914516,1.07514
49.837,10.41044,-0.05890607,0.03151548,1.07508
49.937,10.51074,-0.0588879,0.03833052,1.07503
50.037,10.57671,-0.06031698,0.04175479,1.0749799999999998
50.137,10.63188,-0.06147145,0.05019722,1.07493
50.237,10.67905,-0.06201639,0.05272769,1.0748799999999998
50.337,10.72145,-0.06119159,0.05674046,1.07482
50.437,10.7606,-0.06146285,0.06233706,1.07477
50.537,10.79491,-0.06244161,0.06672551,1.0747200000000001
50.637,10.82685,-0.06179773,0.07125485,1.07467
50.737,10.85697,-0.06143391,0.0749206,1.07461
50.837,10.88567,-0.06204409,0.07758384,1.07456
50.937,10.912980000000001,-0.06230555,0.08027273,1.07451
51.037,10.938880000000001,-0.06242327,0.08640714,1.07446
51.137,10.96363,-0.06172449,0.0886825,1.07441
51.237,10.987689999999999,-0.06220974,0.09211247,1.07435
51.337,11.01036,-0.06233804,0.09574598,1.0743
51.437,11.03283,-0.06175929,0.09867476,1.07425
51.537,11.054110000000001,-0.06234577,0.10282999999999999,1.0742
51.637,11.075,-0.06176822,0.10714000000000001,1.07415
51.737,11.095310000000001,-0.06171246,0.10983,1.07409
51.837,11.11515,-0.06314084,0.11310999999999999,1.0740399999999999
51.937,11.1346,-0.06408975,0.11533,1.07399
52.037,11.15359,-0.06321054,0.11771,1.07394
52.137,11.17223,-0.0627387,0.12038,1.07389
52.237,11.190539999999999,-0.06253105,0.1233,1.0738299999999998
52.337,11.208639999999999,-0.06248787,0.12462000000000001,1.07378
52.437,11.22613,-0.06283258,0.12711,1.0737299999999999
52.537,11.24335,-0.06305926,0.12978,1.07368
52.637,11.260539999999999,-0.06324624,0.13305999999999998,1.07362
52.737,11.277330000000001,-0.06398663,0.13571,1.0735700000000001
52.837,11.29353,-0.0628661,0.13924,1.07352
52.937,11.30959,-0.06430517,0.13860999999999998,1.0734700000000001
53.037,11.325389999999999,-0.06353362,0.14129,1.07342
53.137,11.34105,-0.06464384,0.14467,1.07336
53.237,11.35683,-0.06323261,0.14626,1.07331
53.337,11.37252,-0.06257503,0.14689000000000002,1.07326
53.437,11.388060000000001,-0.06286877,0.14928,1.07321
53.537,11.40324,-0.06231827,0.15067,1.0731600000000001
53.637,11.41832,-0.06307761,0.15336,1.0731
53.737,11.43339,-0.06327512,0.1556,1.07305
53.837,11.44829,-0.06348803,0.15879000000000001,1.073
53.937,11.46295,-0.06390649,0.15968,1.07295
54.037,11.47751,-0.06350409,0.16138,1.0729
54.137,11.49204,-0.06350366,0.16493,1.07284
54.237,11.506730000000001,-0.06359446,0.16452,1.07279
54.337,11.52125,-0.06430507,0.16566,1.07274
54.437,11.53557,-0.06403496,0.16896,1.07269
54.537,11.54975,-0.06468595,0.17181,1.07264
54.637,11.5638,-0.0648086,0.17068,1.0725799999999999
54.737,11.577639999999999,-0.06365278,0.17152,1.07253
54.837,11.59125,-0.0636263,0.17419,1.0724799999999999
54.937,11.60489,-0.0635726,0.17695,1.07243
55.037,11.61825,-0.06350382,0.17809,1.0723799999999999
55.137,11.63165,-0.0634996,0.17681,1.0723200000000002
55.237,11.64512,-0.06333541,0.18001,1.07227
55.337,11.65835,-0.06393864,0.18043,1.0722200000000002
55.437,11.67165,-0.06416583,0.18253,1.07217
55.537,11.68494,-0.06405387,0.18417999999999998,1.07212
55.637,11.6981,-0.06514433,0.18571,1.07206
55.737,11.7111,-0.06516457,0.18817,1.0720100000000001
55.837,11.72401,-0.06533338,0.1879,1.07196
55.937,11.73692,-0.0653468,0.18853,1.0719100000000001
56.037,11.749880000000001,-0.06602698,0.19155,1.07185
56.137,11.76267,-0.06676717,0.19251,1.0718
56.237,11.77528,-0.06569613,0.19286,1.07175
56.337,11.78786,-0.06682511,0.19404000000000002,1.0717
56.437,11.800510000000001,-0.06699276,0.19453,1.07165
56.537,11.813080000000001,-0.06621149,0.1969,1.07159
56.637,11.82579,-0.066818,0.19954000000000002,1.07154
56.737,11.83848,-0.06665741,0.19951,1.07149
56.837,11.85089,-0.06561345,0.19937,1.07144
56.937,11.86329,-0.06686962,0.20025,1.07139
57.037,11.87566,-0.06671728,0.20033,1.07133
57.137,11.88795,-0.06580216,0.20192000000000002,1.07128
57.237,11.90015,-0.06571595,0.20352,1.07123
57.337,11.91235,-0.0665578,0.20622,1.07118
57.437,11.92457,-0.06710239,0.20535,1.07113
57.537,11.93679,-0.06693476,0.20714000000000002,1.07107
57.637,11.94891,-0.067665,0.20883000000000002,1.07102
57.737,11.960980000000001,-0.06697652,0.20806999999999998,1.07097
57.837,11.97305,-0.06704739,0.20795,1.07092
57.937,11.98504,-0.06699146,0.21051,1.07087
58.037,11.997069999999999,-0.06710687,0.21181,1.07081
58.137,12.009039999999999,-0.06637246,0.2123,1.07076
58.237,12.02098,-0.06706246,0.2134,1.07071
58.337,12.0328,-0.06701487,0.21395,1.07066
