##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
48.615,10.00667,-0.00593,0.0029026940000000004,1.05399
48.715,10.32995,-0.004362925,0.007878678,1.05397
48.815,10.39766,-0.005393076,0.01708962,1.05395
48.915,10.444289999999999,-0.00464388,0.01975253,1.05393
49.015,10.4807,-0.005167364,0.02417019,1.0539100000000001
49.115,10.51174,-0.007242985,0.03296111,1.05389
49.215,10.53765,-0.007925702,0.03806187,1.05387
49.315,10.56178,-0.007061995,0.0453496,1.05385
49.415,10.58426,-0.006324169,0.05104091,1.0538299999999998
49.515,10.60518,-0.005549879000000001,0.05509732,1.0538100000000001
49.615,10.62401,-0.004590088,0.06070649,1.05379
49.715,10.64162,-0.004827704,0.06457884,1.05377
49.815,10.65798,-0.00489425,0.06989696,1.05375
49.915,10.67332,-0.005720438,0.07657127,1.0537299999999998
50.015,10.68777,-0.00685539,0.08056565,1.0537100000000001
50.115,10.702,-0.007468641999999999,0.08493061,1.05369
50.215,10.71534,-0.007359293,0.08967564,1.05367
50.315,10.72839,-0.007531558000000001,0.09377668,1.05365
50.415,10.741,-0.007583274,0.09803995,1.0536299999999998
50.515,10.75339,-0.0079081,0.10237,1.05361
50.615,10.765419999999999,-0.007632735,0.10862999999999999,1.05359
50.715,10.777,-0.006409371,0.11127000000000001,1.05356
50.815,10.78844,-0.006456857,0.11614000000000001,1.05354
50.915,10.79931,-0.006340401,0.12159,1.05352
51.015,10.80955,-0.005331708,0.12376,1.0535
51.115,10.819930000000001,-0.005708205,0.12813,1.05348
51.215,10.829830000000001,-0.005847712,0.12844,1.05346
51.315,10.839839999999999,-0.005845184000000001,0.13492,1.05344
51.415,10.84954,-0.005997776,0.14039000000000001,1.05342
51.515,10.85904,-0.005919069,0.14396,1.0534
51.615,10.86843,-0.006646877,0.14781,1.05338
51.715,10.87796,-0.005489013,0.15105,1.05336
51.815,10.887319999999999,-0.005910384,0.15403,1.05334
51.915,10.89633,-0.00579001,0.15825,1.05332
52.015,10.90505,-0.0060143409999999994,0.16204000000000002,1.0533
52.115,10.9136,-0.005617915,0.16366,1.0532700000000002
52.215,10.922130000000001,-0.0060461180000000005,0.16779000000000002,1.05325
