##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
48.532,10.01,0.02043,-0.003517415,1.0540100000000001
48.632,10.31209,0.02059495,-0.0017020260000000001,1.05399
48.732,10.391060000000001,0.0187419,-8.969113000000001e-05,1.05397
48.832,10.43825,0.01667177,0.004293562,1.05395
48.932,10.47526,0.0172681,0.00821107,1.05393
49.032,10.50526,0.01807504,0.0126187,1.0539100000000001
49.132,10.53353,0.0197282,0.01277572,1.05389
49.232,10.557739999999999,0.01949623,0.02000251,1.05387
49.332,10.58046,0.0190795,0.02340856,1.05385
49.432,10.60074,0.01924948,0.02756221,1.0538299999999998
49.532,10.61929,0.01905486,0.03209284,1.0538100000000001
49.632,10.6366,0.01810143,0.03393725,1.05379
49.732,10.6534,0.01838495,0.03890384,1.05377
49.832,10.66885,0.01909405,0.04162279,1.05375
49.932,10.68398,0.01885791,0.043951,1.0537299999999998
50.032,10.69859,0.01978189,0.04656684,1.0537
50.132,10.712060000000001,0.01933624,0.05045517,1.05368
50.232,10.72535,0.02075302,0.0545013,1.05366
50.332,10.73804,0.02066449,0.05753203,1.05364
50.432,10.75046,0.02172559,0.06086256,1.05362
50.532,10.762319999999999,0.02190899,0.06413962,1.0536
50.632,10.77392,0.02364594,0.06670143,1.05358
50.732,10.78538,0.02291488,0.06943067,1.05356
50.832,10.79641,0.02369702,0.07322512,1.05354
50.932,10.80715,0.02288637,0.07658339,1.05352
51.032,10.81752,0.02346995,0.07980276,1.0535
51.132,10.827630000000001,0.02269678,0.08277643,1.05348
51.232,10.83751,0.0223298,0.08633174,1.05346
51.332,10.84732,0.02131783,0.08956127,1.05344
51.432,10.85689,0.01998159,0.09270748,1.05342
51.532,10.8661,0.01955167,0.09552869,1.0534
51.632,10.87491,0.01870833,0.09835309,1.0533700000000001
51.732,10.88379,0.01829046,0.10161,1.05335
51.832,10.89279,0.01847742,0.10459,1.0533299999999999
51.932,10.901539999999999,0.01798169,0.1069,1.05331
52.032,10.9103,0.01822794,0.10920999999999999,1.05329
52.132,10.91872,0.01824346,0.11242,1.0532700000000002
52.232,10.92714,0.01820272,0.11655,1.05325
52.332,10.93549,0.01834839,0.11965999999999999,1.0532299999999999
