Sample ID:	C:\MCC\MCC Cal\Test\Bean_Bag_Chair_Outer_Cover_MCC_30K_min_220310_R1.txt
Sample Weight (mg):	4.44
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
-0.001	107.503	80.005	19.993	103.642	20.091	0.172	0.014
0.499	107.466	80.006	19.994	103.640	20.091	0.188	-0.010
1.000	107.481	80.006	19.994	103.640	20.092	0.056	-0.024
1.500	107.438	80.007	19.994	103.643	20.091	0.180	-0.025
2.000	107.455	80.006	19.994	103.646	20.092	0.060	-0.027
2.500	107.454	80.004	19.993	103.649	20.093	0.034	-0.005
3.000	107.498	80.006	19.996	103.651	20.096	-0.178	0.030
3.500	107.452	80.005	19.997	103.651	20.094	-0.038	0.021
4.000	107.478	80.005	19.995	103.650	20.091	0.176	-0.011
4.500	107.484	80.006	19.995	103.652	20.093	-0.008	0.006
5.000	107.499	80.006	19.996	103.653	20.091	0.138	0.027
5.500	107.485	80.006	19.994	103.652	20.091	0.180	0.011
6.000	107.486	80.005	19.994	103.653	20.093	0.022	-0.006
6.500	107.460	80.005	19.995	103.654	20.091	0.150	-0.019
7.000	107.483	80.005	19.995	103.655	20.094	-0.040	-0.014
7.500	107.492	80.005	19.994	103.658	20.091	0.174	0.015
8.000	107.509	80.005	19.994	103.663	20.096	-0.224	0.029
8.500	107.490	80.005	19.994	103.666	20.094	-0.060	0.012
9.000	107.465	80.006	19.995	103.668	20.092	0.090	-0.023
9.500	107.476	80.006	19.994	103.669	20.089	0.278	-0.029
10.000	107.471	80.004	19.994	103.669	20.089	0.288	-0.004
10.500	107.487	80.004	19.994	103.669	20.090	0.224	0.008
11.000	107.482	80.004	19.994	103.669	20.090	0.244	0.011
11.500	107.488	80.007	19.994	103.670	20.091	0.118	0.007
12.000	107.487	80.006	19.993	103.671	20.093	-0.028	0.003
12.500	107.506	80.005	19.994	103.673	20.090	0.192	0.011
13.000	107.466	80.005	19.995	103.675	20.092	0.048	-0.001
13.500	107.488	80.004	19.995	103.675	20.092	0.048	-0.019
14.000	107.521	80.005	19.995	103.679	20.091	0.172	0.019
14.500	107.508	80.005	19.994	103.683	20.092	0.060	0.038
15.000	107.535	80.005	19.995	103.687	20.088	0.342	0.017
15.500	107.510	80.004	19.993	103.693	20.093	0.036	0.008
16.000	107.530	80.006	19.993	103.699	20.087	0.458	-0.001
16.500	107.530	80.005	19.993	103.702	20.091	0.184	0.007
17.000	107.525	80.006	19.993	103.705	20.088	0.390	0.007
17.500	107.505	80.006	19.993	103.709	20.083	0.712	-0.015
18.000	107.567	80.007	19.993	103.718	20.084	0.690	0.008
18.500	107.577	80.005	19.994	103.727	20.084	0.686	0.057
19.000	107.589	80.006	19.994	103.738	20.085	0.626	0.047
19.500	107.589	80.006	19.993	103.746	20.080	0.970	0.017
20.000	107.610	80.006	19.993	103.753	20.079	1.046	0.017
20.500	107.606	80.003	19.994	103.755	20.078	1.128	0.019
21.000	107.676	80.005	19.994	103.762	20.077	1.152	0.041
21.500	107.721	80.004	19.995	103.768	20.072	1.532	0.090
22.000	107.717	80.005	19.995	103.781	20.074	1.404	0.078
22.500	107.694	80.005	19.994	103.796	20.073	1.502	0.007
23.000	107.715	80.008	19.994	103.810	20.070	1.722	-0.015
23.500	107.781	80.006	19.994	103.818	20.070	1.722	0.042
24.000	107.816	80.005	19.994	103.824	20.068	1.818	0.094
24.500	107.818	80.006	19.994	103.825	20.067	1.918	0.069
25.000	107.860	80.007	19.994	103.826	20.069	1.764	0.041
25.500	107.911	80.005	19.994	103.828	20.064	2.090	0.069
26.000	107.935	80.007	19.994	103.831	20.069	1.784	0.085
26.500	108.025	80.004	19.995	103.832	20.066	1.992	0.095
27.000	108.034	80.007	19.994	103.833	20.063	2.170	0.106
27.500	108.104	80.007	19.994	103.838	20.067	1.926	0.089
28.000	108.163	80.008	19.995	103.842	20.068	1.842	0.104
28.500	108.188	80.008	19.995	103.844	20.062	2.264	0.107
29.000	108.259	80.009	19.994	103.850	20.061	2.376	0.090
29.500	108.316	80.007	19.994	103.855	20.060	2.398	0.112
30.000	108.355	80.007	19.995	103.856	20.063	2.200	0.112
30.500	108.398	80.009	19.994	103.854	20.063	2.218	0.089
31.000	108.491	80.003	19.995	103.855	20.062	2.295	0.109
31.500	108.554	80.008	19.995	103.854	20.060	2.419	0.146
32.000	108.585	80.006	19.994	103.852	20.061	2.349	0.125
32.499	108.646	80.006	19.995	103.853	20.062	2.259	0.093
32.999	108.717	80.007	19.994	103.854	20.060	2.421	0.112
33.499	108.793	80.007	19.995	103.856	20.062	2.235	0.140
33.999	108.880	80.008	19.995	103.856	20.061	2.335	0.155
34.499	108.948	80.006	19.994	103.860	20.063	2.213	0.159
34.999	108.958	80.006	19.994	103.861	20.061	2.337	0.116
35.499	109.050	80.008	19.994	103.863	20.057	2.645	0.090
35.999	109.130	80.007	19.993	103.862	20.057	2.631	0.137
36.499	109.192	80.005	19.994	103.860	20.058	2.537	0.157
37.000	109.328	80.005	19.993	103.858	20.055	2.751	0.170
37.500	109.392	80.004	19.994	103.857	20.058	2.536	0.199
38.000	109.485	80.007	19.995	103.856	20.060	2.442	0.178
38.501	109.540	80.007	19.994	103.855	20.058	2.592	0.152
39.000	109.663	80.007	19.994	103.854	20.062	2.272	0.163
39.500	109.728	80.007	19.995	103.853	20.060	2.404	0.183
40.000	109.827	80.008	19.994	103.850	20.062	2.236	0.176
40.500	109.931	80.007	19.994	103.844	20.063	2.222	0.184
41.000	110.036	80.005	19.994	103.841	20.058	2.572	0.206
41.499	110.110	80.008	19.994	103.839	20.060	2.410	0.194
41.999	110.198	80.007	19.994	103.836	20.058	2.538	0.170
42.499	110.275	80.006	19.993	103.834	20.060	2.446	0.164
42.999	110.382	80.005	19.994	103.833	20.060	2.396	0.175
43.499	110.468	80.007	19.994	103.831	20.060	2.416	0.188
43.999	110.556	80.008	19.993	103.829	20.060	2.394	0.183
44.499	110.651	80.006	19.993	103.830	20.063	2.222	0.178
44.999	110.771	80.006	19.994	103.830	20.063	2.206	0.199
45.499	110.863	80.007	19.994	103.830	20.064	2.122	0.214
45.999	110.994	80.008	19.993	103.830	20.063	2.228	0.218
46.499	111.054	80.006	19.993	103.830	20.062	2.250	0.207
46.999	111.161	80.005	19.992	103.830	20.061	2.346	0.179
47.499	111.271	80.007	19.993	103.831	20.064	2.122	0.192
