Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13297271728515625,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.054830551147461,13.414604187011719,1,1,1,1.0008689165115356,1.012976050376892,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,54.87336730957031,54.02656173706055,142.73614501953125,98.98336791992188,93.42084503173828,0.0003298588271718472,0.04660135880112648,21.02568817138672,-833.6771850585938,0.5139577388763428,,
1,0,51.13383865356445,50.572265625,143.22610473632812,98.85225677490234,93.02779388427734,0.0003225910186301917,0.05261097475886345,21.019012451171875,-243.9918212890625,0.5396146178245544,0.0,0.0
2,0.25,50.95594787597656,50.440208435058594,144.11302185058594,98.86859130859375,92.84111022949219,0.00030537424026988447,0.05249738693237305,21.0190486907959,-243.83168029785156,0.5589325428009033,0.0,0.0
3,0.5,50.94997787475586,50.3573112487793,142.5078582763672,98.87974548339844,93.06340789794922,0.00028987915720790625,0.052395157516002655,21.019081115722656,-244.0318603515625,0.5386845469474792,0.0,0.0
4,0.75,50.39717483520508,49.987754821777344,145.58079528808594,98.88093566894531,93.31763458251953,0.000275933591183275,0.05230315029621124,21.01911163330078,-243.85169982910156,0.5145503878593445,0.0,0.0
5,1,50.17664337158203,50.14708709716797,146.74327087402344,98.90245056152344,93.44495391845703,0.0002633825642988086,0.05222034454345703,21.01913833618164,-243.84170532226562,0.5043689608573914,0.0,0.0
6,1.25,50.01152801513672,49.593162536621094,143.79779052734375,98.9179916381836,93.28242492675781,0.0002634837001096457,0.052188463509082794,21.019163131713867,-244.0118408203125,0.5212336182594299,0.0,0.0
7,1.5,50.00955581665039,49.44338607788086,139.49673461914062,98.91560363769531,93.60665893554688,0.00026357470778748393,0.05215977132320404,21.019184112548828,-243.91175842285156,0.4901871085166931,0.0,0.0
8,1.75,50.47433853149414,50.09599685668945,138.8212432861328,98.9355239868164,93.35529327392578,0.0002636566059663892,0.0521339476108551,21.019203186035156,-243.85169982910156,0.5158698558807373,0.0,0.0
9,2,50.18637466430664,50.26174545288086,143.4108123779297,98.95503997802734,93.1059799194336,0.0002637303259689361,0.052110705524683,21.01922035217285,-243.98182678222656,0.5413839221000671,0.0,0.0
10,2.25,50.39297866821289,49.29015350341797,142.78187561035156,98.95902252197266,93.19522857666016,0.00026379668270237744,0.052146654576063156,21.019235610961914,-243.92176818847656,0.5332285165786743,0.0,0.0
11,2.5,50.3875732421875,49.973785400390625,148.25990295410156,98.96022033691406,93.08428192138672,0.0002803306852001697,0.0521790087223053,21.019250869750977,-243.88172912597656,0.5439200401306152,0.0,0.0
