,Surface Area (mm^2),Pretest,Posttest
HF25_R1,10163.66,Dimensions: 100.83 x 100.80 x 8.25 mm, 
HF25_R2,10192.92,Dimensions: 100.93 x 100.99 x 8.27 mm, 
HF25_R3,10111.16,Dimensions: 100.17 x 100.94 x 8.38 mm, 
HF25_R4,10201.99,Dimensions: 101.14 x 100.87 x 8.32 mm,sample slightly preheated due to false start with shutter
HF50_R1,10196.96,Dimensions: 100.97 x 100.99 x 8.60 mm, 
HF50_R2,10191.91,Dimensions: 101.01 x 100.90 x 8.36 mm, 
HF50_R3,10198.98,Dimensions: 100.97 x 101.01 x 8.20 mm, 
HF50_R4,10191.89,Dimensions: 101.11 x 100.80 x 8.47 mm, 
HF75_R1,10096.05,Dimensions: 100.90 x 100.06 x 8.72 mm, 
HF75_R2,10154.56,Dimensions: 100.94 x 100.60 x 8.46 mm, 
HF75_R3,10171.73,Dimensions: 100.81 x 100.90 x 8.24 mm, 
