Names,Black_PMMA_R1,Black_PMMA_R2,Black_PMMA_R3,Black_PMMA_R4,Black_PMMA_R5,Black_PMMA_R6,Mean,Std. Dev.
439,19.0,,,195.3,-1.9,2.3,53.7,94.8
440,21.4,,,197.0,-1.9,2.3,54.7,95.4
441,23.3,,,211.8,-1.9,2.3,58.9,102.5
442,25.2,,,214.8,-1.9,2.2,60.1,103.8
443,29.2,,,219.7,-1.8,2.3,62.3,105.8
444,32.8,,,226.6,-1.9,2.4,65.0,108.8
445,36.2,,,234.8,-1.7,2.5,67.9,112.5
446,38.4,,,244.2,-1.6,2.6,70.9,116.9
447,44.4,,,254.6,-1.5,2.6,75.0,121.5
448,48.2,,,266.3,-1.4,2.7,78.9,126.9
449,52.2,,,275.4,-1.3,2.8,82.3,131.0
450,56.2,,,285.1,-1.3,2.8,85.7,135.5
451,60.7,,,284.2,-1.3,2.9,86.6,134.7
452,66.0,,,301.1,-1.2,2.9,92.2,142.7
453,69.7,,,295.7,-1.2,2.9,91.8,139.8
454,74.0,,,308.8,-1.1,3.0,96.2,145.9
455,76.9,,,318.5,-0.9,3.0,99.4,150.4
456,79.9,,,334.2,-0.8,2.9,104.0,157.9
457,86.8,,,325.2,-0.7,3.0,103.6,153.2
458,92.4,,,337.0,-0.6,3.4,108.1,158.6
459,96.8,,,339.0,-0.6,3.7,109.7,159.3
460,99.9,,,346.6,-0.5,4.0,112.5,162.8
461,106.3,,,351.6,-0.4,4.1,115.4,165.0
462,110.3,,,342.0,-0.4,6.6,114.6,159.8
463,112.9,,,352.1,-0.2,8.9,118.4,164.0
464,117.5,,,361.3,-0.0,11.1,122.4,167.8
465,124.7,,,367.3,0.1,12.8,126.2,170.2
466,128.3,,,365.3,0.2,14.2,127.0,168.9
467,131.8,,,375.9,0.3,18.5,131.6,172.9
468,135.6,,9.3,371.8,0.9,22.7,108.1,157.2
469,141.9,,11.3,374.9,1.4,25.7,111.0,157.9
470,145.4,,13.2,379.8,1.9,29.4,113.9,159.3
471,146.8,,13.1,378.8,2.3,35.6,115.3,158.1
472,154.8,,17.9,390.8,3.8,40.9,121.6,161.8
473,161.3,,22.4,377.7,5.1,45.9,122.5,155.1
474,162.7,,29.5,396.5,6.4,49.8,129.0,161.2
475,166.1,,29.7,397.3,7.5,53.8,130.9,160.9
476,171.5,,35.8,388.1,10.7,57.0,132.6,155.5
477,176.6,15.0,45.8,401.4,13.6,61.1,118.9,150.8
478,176.8,17.9,45.7,404.7,16.4,63.1,120.8,151.1
