Sample ID:	C:\MCC\MCC Cal\Test\Black_PMMA_MCC_30K_min_220325_R1.txt
Sample Weight (mg):	4.35
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	109.421	79.998	19.993	103.667	19.963	-0.091	0.022
0.500	109.395	80.000	19.995	103.667	19.966	-0.289	0.011
1.000	109.390	80.002	19.995	103.666	19.967	-0.370	-0.014
1.500	109.394	80.001	19.996	103.660	19.967	-0.407	-0.016
2.000	109.409	80.003	19.995	103.655	19.963	-0.044	0.009
2.500	109.396	80.002	19.995	103.655	19.965	-0.228	0.010
3.000	109.404	80.002	19.996	103.654	19.966	-0.278	-0.002
3.500	109.365	80.001	19.994	103.655	19.966	-0.318	-0.018
4.000	109.404	80.002	19.995	103.662	19.967	-0.345	-0.015
4.500	109.387	80.002	19.996	103.668	19.967	-0.337	0.011
5.000	109.402	80.002	19.995	103.668	19.964	-0.148	0.010
5.500	109.374	80.002	19.995	103.669	19.967	-0.405	-0.008
6.000	109.414	80.003	19.995	103.670	19.966	-0.297	-0.001
6.500	109.398	80.003	19.995	103.669	19.962	-0.023	0.018
7.000	109.386	80.003	19.995	103.671	19.965	-0.218	-0.002
7.500	109.421	80.003	19.993	103.672	19.963	-0.050	-0.002
8.000	109.406	80.002	19.994	103.676	19.964	-0.183	0.022
8.500	109.395	80.003	19.995	103.678	19.968	-0.412	-0.004
9.001	109.441	80.004	19.994	103.681	19.962	-0.027	0.004
9.501	109.389	80.003	19.994	103.686	19.964	-0.141	0.015
10.001	109.443	80.004	19.994	103.691	19.962	-0.015	-0.001
10.500	109.421	80.003	19.993	103.694	19.958	0.326	0.017
11.000	109.463	80.003	19.994	103.699	19.954	0.590	0.026
11.500	109.439	80.004	19.995	103.703	19.957	0.343	0.019
12.000	109.470	80.004	19.995	103.705	19.955	0.505	0.013
12.500	109.480	80.004	19.995	103.710	19.953	0.675	0.025
13.000	109.455	80.005	19.994	103.715	19.952	0.767	0.013
13.500	109.486	80.003	19.994	103.719	19.953	0.666	-0.005
14.000	109.471	80.002	19.995	103.726	19.947	1.115	0.010
14.500	109.484	80.004	19.994	103.733	19.952	0.743	0.006
15.000	109.503	80.002	19.994	103.744	19.949	0.951	0.015
15.500	109.538	80.003	19.994	103.762	19.952	0.716	0.044
16.000	109.579	80.004	19.994	103.781	19.950	0.922	0.065
16.500	109.569	80.003	19.994	103.797	19.948	1.055	0.053
17.000	109.543	80.003	19.995	103.813	19.948	1.017	-0.003
17.500	109.622	80.002	19.994	103.819	19.947	1.094	0.009
18.000	109.638	80.001	19.993	103.815	19.947	1.138	0.074
18.500	109.699	80.001	19.995	103.814	19.942	1.477	0.086
19.000	109.686	80.002	19.996	103.818	19.944	1.344	0.063
19.500	109.727	80.002	19.996	103.818	19.940	1.656	0.038
20.000	109.781	80.000	19.994	103.818	19.939	1.687	0.061
20.500	109.769	80.001	19.995	103.815	19.939	1.693	0.069
21.000	109.835	80.001	19.996	103.791	19.937	1.853	0.048
21.500	109.876	80.002	19.995	103.765	19.941	1.548	0.080
22.000	109.908	80.002	19.995	103.752	19.938	1.783	0.090
22.500	109.967	80.002	19.995	103.746	19.938	1.768	0.083
23.000	110.002	80.001	19.994	103.754	19.934	2.080	0.092
23.500	110.052	80.000	19.994	103.780	19.935	2.047	0.089
24.000	110.071	80.003	19.996	103.810	19.936	1.907	0.077
24.500	110.104	80.002	19.995	103.870	19.936	1.951	0.061
25.000	110.154	80.003	19.995	103.904	19.939	1.729	0.067
25.500	110.212	80.002	19.995	103.915	19.938	1.810	0.095
26.000	110.278	80.002	19.995	103.922	19.934	2.095	0.116
26.500	110.277	80.002	19.995	103.921	19.935	1.995	0.095
27.000	110.343	80.002	19.995	103.879	19.939	1.748	0.065
27.500	110.428	80.003	19.995	103.858	19.937	1.831	0.108
28.000	110.450	80.002	19.995	103.854	19.933	2.168	0.129
28.500	110.524	80.003	19.995	103.854	19.931	2.324	0.102
29.000	110.606	80.002	19.995	103.858	19.935	2.008	0.126
29.500	110.652	80.002	19.995	103.865	19.935	1.983	0.142
30.000	110.731	80.002	19.995	103.871	19.931	2.345	0.126
30.500	110.807	80.003	19.995	103.877	19.932	2.264	0.140
