Time after Ignition,Cellulose_Insulation_R1,Cellulose_Insulation_R2,Cellulose_Insulation_R3,Mean,Std. Dev.
0.0,4.5,9.4,4.7,6.2,2.8
0.25,4.3,9.0,4.6,6.0,2.6
0.5,4.3,8.6,4.6,5.8,2.4
0.75,4.3,8.3,4.6,5.7,2.3
1.0,4.2,8.4,4.6,5.8,2.3
1.25,4.3,8.3,4.7,5.8,2.2
1.5,4.2,8.1,4.7,5.7,2.1
1.75,4.2,8.2,4.8,5.7,2.2
2.0,4.2,8.0,4.8,5.7,2.1
2.25,4.2,7.9,4.7,5.6,2.0
2.5,4.2,7.8,4.7,5.6,1.9
2.75,4.2,7.6,4.7,5.5,1.8
3.0,4.1,7.5,4.7,5.5,1.8
3.25,4.2,7.6,4.8,5.5,1.8
3.5,4.1,7.5,4.7,5.4,1.8
3.75,4.0,7.4,4.8,5.4,1.8
4.0,4.0,7.3,4.8,5.4,1.7
4.25,4.1,7.2,4.8,5.4,1.6
4.5,4.0,7.2,4.8,5.3,1.7
4.75,4.0,7.2,4.8,5.3,1.7
5.0,3.9,6.9,4.8,5.2,1.5
5.25,4.0,6.7,4.7,5.1,1.4
5.5,3.9,6.5,4.8,5.1,1.3
5.75,3.9,6.2,4.8,5.0,1.2
6.0,3.8,6.1,4.8,4.9,1.1
6.25,3.9,5.8,4.8,4.8,1.0
6.5,3.8,5.7,4.8,4.7,0.9
6.75,4.0,5.5,4.9,4.8,0.8
7.0,4.0,5.4,4.8,4.8,0.7
7.25,4.1,5.3,4.8,4.7,0.6
7.5,4.2,5.4,4.9,4.8,0.6
7.75,4.4,5.2,4.8,4.8,0.4
8.0,4.5,5.0,5.0,4.9,0.3
8.25,4.8,5.0,5.1,5.0,0.2
8.5,4.8,5.0,5.1,5.0,0.1
8.75,5.2,5.1,5.3,5.2,0.1
9.0,5.6,5.1,5.3,5.3,0.2
9.25,5.9,5.2,5.3,5.5,0.4
9.5,6.1,5.1,5.4,5.6,0.5
9.75,6.4,5.3,5.5,5.7,0.6
10.0,7.6,5.5,5.6,6.2,1.2
10.25,8.4,5.6,5.6,6.5,1.6
10.5,9.3,5.8,8.0,7.7,1.8
10.75,10.1,5.8,10.1,8.7,2.5
11.0,10.7,5.9,12.2,9.6,3.3
11.25,14.7,10.1,14.1,13.0,2.5
11.5,18.2,14.0,15.4,15.8,2.1
11.75,21.3,17.3,21.2,19.9,2.3
12.0,24.4,20.1,26.6,23.7,3.3
12.25,26.6,27.9,31.5,28.7,2.5
12.5,32.9,35.1,36.0,34.7,1.6
12.75,38.0,41.0,43.6,40.9,2.8
13.0,43.5,47.3,50.4,47.1,3.4
13.25,47.8,51.4,56.7,52.0,4.5
13.5,55.6,55.5,61.6,57.6,3.5
13.75,62.3,63.6,66.8,64.2,2.3
14.0,68.8,69.8,72.9,70.5,2.1
14.25,74.1,76.9,79.8,76.9,2.9
14.5,79.9,83.8,83.6,82.4,2.2
14.75,85.2,86.4,87.7,86.4,1.3
15.0,88.9,93.1,93.9,92.0,2.7
15.25,91.6,98.9,96.8,95.8,3.7
15.5,96.8,103.0,100.9,100.2,3.2
15.75,99.6,106.2,101.6,102.5,3.4
16.0,101.8,110.2,106.3,106.1,4.2
16.25,106.3,114.7,107.3,109.4,4.6
16.5,107.5,116.6,111.0,111.7,4.6
16.75,108.9,119.7,113.8,114.1,5.4
17.0,111.2,123.1,113.2,115.8,6.3
17.25,113.2,126.5,114.9,118.2,7.3
17.5,113.6,128.2,117.6,119.8,7.5
17.75,116.7,127.1,117.1,120.3,5.9
18.0,117.2,132.0,118.2,122.5,8.3
18.25,116.7,132.8,118.5,122.7,8.8
18.5,118.8,132.7,119.3,123.6,7.9
18.75,119.5,132.0,121.1,124.2,6.8
19.0,118.9,132.5,120.1,123.8,7.5
19.25,120.1,135.3,118.5,124.6,9.3
19.5,121.4,133.6,120.9,125.3,7.2
19.75,120.1,133.2,120.4,124.6,7.4
20.0,117.2,134.0,119.9,123.7,9.0
20.25,116.9,132.5,119.9,123.1,8.3
20.5,118.4,134.1,119.1,123.9,8.9
20.75,117.8,131.4,119.3,122.8,7.5
21.0,117.3,131.8,117.8,122.3,8.3
21.25,116.6,130.3,117.4,121.5,7.7
21.5,115.9,129.6,116.2,120.6,7.9
21.75,113.5,131.5,114.6,119.9,10.1
22.0,114.3,129.9,116.2,120.1,8.5
22.25,112.7,127.7,118.3,119.6,7.6
22.5,113.2,128.8,114.3,118.8,8.7
22.75,111.3,126.4,113.6,117.1,8.1
23.0,108.6,128.8,114.9,117.4,10.3
23.25,110.0,124.0,111.0,115.0,7.8
23.5,106.9,125.5,110.6,114.3,9.9
23.75,108.5,124.4,111.0,114.6,8.6
24.0,106.0,124.3,109.9,113.4,9.6
24.25,105.3,122.1,107.7,111.7,9.1
24.5,104.9,121.4,108.7,111.7,8.6
24.75,107.0,120.0,108.4,111.8,7.1
25.0,104.3,121.7,107.1,111.0,9.4
25.25,103.4,117.8,104.7,108.6,8.0
25.5,102.2,118.6,105.0,108.6,8.8
25.75,102.4,116.2,106.0,108.2,7.1
26.0,101.2,115.3,103.4,106.6,7.6
26.25,99.1,114.7,103.3,105.7,8.1
26.5,99.6,116.8,102.7,106.3,9.2
26.75,99.1,113.0,103.2,105.1,7.2
27.0,98.9,115.0,101.8,105.2,8.5
27.25,98.2,111.5,101.6,103.8,6.9
27.5,97.3,111.7,101.8,103.6,7.3
27.75,94.0,110.6,100.4,101.6,8.4
28.0,94.8,109.6,99.8,101.4,7.5
28.25,93.5,110.2,99.4,101.0,8.5
28.5,93.1,110.3,99.9,101.1,8.7
28.75,91.5,109.7,99.4,100.2,9.1
29.0,90.8,109.5,97.6,99.3,9.4
29.25,88.9,109.6,98.5,99.0,10.4
29.5,89.9,110.8,99.9,100.2,10.4
29.75,88.0,108.5,99.0,98.5,10.3
30.0,86.7,106.2,97.4,96.8,9.7
30.25,86.2,107.6,96.3,96.7,10.7
30.5,85.6,106.6,96.3,96.2,10.5
30.75,85.3,105.8,95.4,95.5,10.2
31.0,85.6,105.6,95.9,95.7,10.0
31.25,84.3,106.6,95.3,95.4,11.1
31.5,83.8,105.0,95.5,94.8,10.6
31.75,83.6,103.2,93.6,93.5,9.8
32.0,83.1,102.1,94.1,93.1,9.5
32.25,81.3,100.4,94.6,92.1,9.8
32.5,82.1,100.1,93.9,92.0,9.2
32.75,82.1,102.1,92.2,92.1,10.0
33.0,81.0,99.9,92.3,91.1,9.5
33.25,80.5,98.8,91.9,90.4,9.2
33.5,80.1,99.8,91.8,90.6,9.9
33.75,79.1,97.5,91.5,89.3,9.4
34.0,80.1,97.1,92.5,89.9,8.8
34.25,78.5,95.7,90.4,88.2,8.8
34.5,77.4,96.2,89.2,87.6,9.5
34.75,77.6,95.6,90.0,87.7,9.2
35.0,76.5,96.3,90.1,87.6,10.1
35.25,77.5,95.3,88.9,87.3,9.0
35.5,77.1,95.1,88.6,86.9,9.1
35.75,76.3,94.4,88.8,86.5,9.3
36.0,76.3,94.1,87.6,86.0,9.0
36.25,75.9,95.7,88.9,86.8,10.1
36.5,76.7,93.4,87.5,85.9,8.5
36.75,76.9,93.1,86.2,85.4,8.1
37.0,76.1,91.6,86.5,84.7,7.9
37.25,75.2,92.3,85.4,84.3,8.6
37.5,77.1,92.4,86.1,85.2,7.7
37.75,76.2,93.2,84.9,84.8,8.5
38.0,74.1,91.3,84.3,83.3,8.6
38.25,73.1,91.1,83.4,82.5,9.0
38.5,74.2,91.2,83.1,82.8,8.5
38.75,73.9,89.6,82.8,82.1,7.9
39.0,74.0,90.8,83.1,82.6,8.4
39.25,74.4,88.9,81.6,81.6,7.2
39.5,74.0,88.7,81.5,81.4,7.4
39.75,74.8,87.5,81.9,81.4,6.4
40.0,74.8,88.5,82.2,81.8,6.8
40.25,74.5,86.5,81.3,80.8,6.0
40.5,73.4,86.8,80.2,80.2,6.7
40.75,74.2,86.2,80.9,80.4,6.0
41.0,74.0,84.1,80.3,79.4,5.1
41.25,73.4,83.8,80.3,79.2,5.3
41.5,73.7,83.5,79.7,79.0,5.0
41.75,73.6,84.2,80.1,79.3,5.4
42.0,73.6,83.0,79.7,78.8,4.8
42.25,72.3,83.9,78.0,78.1,5.8
42.5,73.5,82.6,78.8,78.3,4.6
42.75,73.0,83.1,79.3,78.5,5.1
43.0,73.3,82.3,78.6,78.0,4.5
43.25,73.4,82.7,78.3,78.1,4.7
43.5,72.1,82.4,77.8,77.4,5.2
43.75,73.3,81.1,78.0,77.5,3.9
44.0,72.2,80.1,79.2,77.2,4.4
44.25,72.3,81.1,77.9,77.1,4.5
44.5,72.9,79.5,77.7,76.7,3.4
44.75,72.6,78.9,77.7,76.4,3.3
45.0,72.6,79.9,77.9,76.8,3.8
45.25,71.6,78.3,75.9,75.3,3.4
45.5,72.6,78.1,76.9,75.9,2.9
45.75,72.0,77.8,77.2,75.7,3.2
46.0,71.6,77.0,77.9,75.5,3.4
46.25,72.0,77.8,76.4,75.4,3.0
46.5,72.0,78.5,76.8,75.8,3.4
46.75,71.7,76.3,75.4,74.4,2.5
47.0,72.2,76.3,76.1,74.9,2.3
47.25,71.8,76.1,76.7,74.9,2.7
47.5,71.1,74.8,75.5,73.8,2.3
47.75,72.0,75.9,74.9,74.3,2.1
48.0,70.9,75.5,75.4,74.0,2.6
48.25,71.0,75.3,74.4,73.6,2.3
48.5,71.3,75.8,74.4,73.8,2.3
48.75,71.7,74.2,74.0,73.3,1.4
49.0,71.3,74.4,74.3,73.4,1.7
49.25,71.1,72.9,72.7,72.2,1.0
49.5,72.1,74.1,73.3,73.2,1.0
49.75,73.1,73.8,73.2,73.4,0.4
50.0,72.1,73.0,72.8,72.6,0.5
50.25,72.1,73.0,72.0,72.4,0.5
50.5,71.8,73.1,71.8,72.2,0.7
50.75,72.5,71.9,71.9,72.1,0.3
51.0,72.9,72.1,71.5,72.2,0.7
51.25,72.3,71.2,70.5,71.3,0.9
51.5,72.4,71.7,70.3,71.5,1.1
51.75,72.5,71.6,70.4,71.5,1.1
52.0,72.1,71.3,69.3,70.9,1.5
52.25,72.2,71.8,68.4,70.8,2.1
52.5,71.6,70.7,68.0,70.1,1.9
52.75,72.1,71.4,68.8,70.8,1.7
53.0,72.1,70.3,67.3,69.9,2.5
53.25,71.5,69.8,66.8,69.4,2.4
53.5,71.8,69.6,66.3,69.2,2.8
53.75,72.1,69.3,66.3,69.2,2.9
54.0,71.3,69.1,65.2,68.5,3.1
54.25,70.7,69.1,64.7,68.2,3.1
54.5,70.1,68.2,64.1,67.4,3.0
54.75,71.4,68.8,64.7,68.3,3.4
55.0,70.7,68.6,64.2,67.9,3.3
55.25,70.6,67.9,64.3,67.6,3.2
55.5,70.9,67.5,63.5,67.3,3.7
55.75,70.6,66.7,63.1,66.8,3.7
56.0,69.7,67.3,63.2,66.7,3.3
56.25,70.7,67.9,62.7,67.1,4.0
56.5,68.5,66.9,63.8,66.4,2.4
56.75,68.8,66.8,62.5,66.0,3.2
57.0,69.9,67.6,62.2,66.6,4.0
57.25,68.8,66.7,61.2,65.6,3.9
57.5,68.9,66.4,62.2,65.8,3.3
57.75,68.2,66.7,60.7,65.2,4.0
58.0,68.4,66.6,60.6,65.2,4.1
58.25,67.3,66.8,60.8,65.0,3.6
58.5,67.8,65.6,59.8,64.4,4.1
58.75,67.2,67.3,59.6,64.7,4.4
59.0,67.6,66.5,59.9,64.7,4.2
59.25,66.4,66.9,58.8,64.0,4.5
59.5,66.4,67.4,59.7,64.5,4.2
59.75,65.8,65.6,58.4,63.3,4.2
60.0,66.5,65.5,58.0,63.3,4.6
60.25,66.2,64.9,58.3,63.1,4.2
60.5,66.2,65.6,57.5,63.1,4.8
60.75,65.5,66.5,57.4,63.1,5.0
61.0,65.4,65.7,57.5,62.9,4.7
61.25,64.8,65.7,56.8,62.4,4.9
61.5,64.4,65.8,56.8,62.4,4.8
61.75,63.8,65.3,57.1,62.1,4.4
62.0,63.6,65.2,56.1,61.6,4.9
62.25,63.5,65.3,55.5,61.4,5.2
62.5,63.7,64.7,55.3,61.3,5.1
62.75,63.2,64.9,55.8,61.3,4.8
63.0,62.7,64.5,55.3,60.8,4.9
63.25,63.4,65.7,55.0,61.4,5.6
63.5,63.1,64.8,55.3,61.1,5.1
63.75,62.1,64.4,55.1,60.5,4.9
64.0,61.8,64.6,54.7,60.3,5.1
64.25,62.5,65.0,55.6,61.0,4.9
64.5,61.2,63.7,54.4,59.8,4.8
64.75,61.1,63.7,55.1,60.0,4.4
65.0,61.9,63.6,54.3,59.9,5.0
65.25,60.8,63.4,53.7,59.3,5.0
65.5,61.0,63.4,54.1,59.5,4.9
65.75,59.7,63.6,53.7,59.0,5.0
66.0,60.1,62.7,53.1,58.6,5.0
66.25,59.1,62.5,53.1,58.2,4.8
66.5,59.6,63.5,53.6,58.9,5.0
66.75,59.5,62.5,53.4,58.5,4.7
67.0,59.1,62.1,52.9,58.0,4.7
67.25,58.8,62.9,52.8,58.1,5.1
67.5,58.9,62.3,52.3,57.8,5.0
67.75,57.9,62.1,52.7,57.6,4.7
68.0,58.3,62.5,51.6,57.5,5.5
68.25,58.0,61.8,51.7,57.2,5.1
68.5,57.2,62.4,51.7,57.1,5.3
68.75,56.4,61.8,51.3,56.5,5.3
69.0,56.0,61.3,51.6,56.3,4.9
69.25,56.1,62.1,50.7,56.3,5.7
69.5,56.0,63.0,51.1,56.7,5.9
69.75,56.1,61.5,51.3,56.3,5.1
70.0,55.8,61.5,51.0,56.1,5.3
70.25,55.3,61.2,50.7,55.7,5.3
70.5,54.7,60.2,51.3,55.4,4.5
70.75,54.5,60.9,50.7,55.4,5.1
71.0,55.3,60.4,50.6,55.4,4.9
71.25,54.5,60.5,50.5,55.1,5.0
71.5,53.9,60.4,50.7,55.0,4.9
71.75,54.3,60.8,50.5,55.2,5.2
72.0,53.9,60.0,50.7,54.9,4.7
72.25,54.1,60.2,50.0,54.8,5.2
72.5,53.8,61.1,50.2,55.0,5.6
72.75,54.0,60.0,50.1,54.7,5.0
73.0,53.7,59.3,50.2,54.4,4.6
73.25,53.0,60.4,50.1,54.5,5.3
73.5,52.8,61.3,49.5,54.5,6.1
73.75,53.8,59.6,49.6,54.3,5.0
74.0,53.4,59.8,50.1,54.4,4.9
74.25,53.4,59.4,50.3,54.4,4.6
74.5,53.0,59.4,49.5,54.0,5.0
74.75,52.2,59.0,49.1,53.4,5.1
75.0,52.8,59.7,48.9,53.8,5.4
75.25,53.3,59.3,49.4,54.0,5.0
75.5,53.5,58.7,49.2,53.8,4.8
75.75,53.4,59.1,48.8,53.7,5.2
76.0,53.2,58.8,48.3,53.4,5.2
76.25,53.6,58.3,48.6,53.5,4.9
