Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13786010444164276,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.927398681640625,292.34564208984375,1,1,1,1.0009067058563232,1.044630527496338,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,22.994836807250977,23.55720329284668,162.61082458496094,103.53784942626953,101.54705047607422,-0.00031987688271328807,0.06530356407165527,20.93837547302246,-444.1547546386719,0.1779775470495224,,
1,0,22.477481842041016,23.163415908813477,167.07679748535156,104.78829193115234,102.55472564697266,-0.00028978943009860814,0.07175493985414505,20.92995834350586,197.21864318847656,0.19743075966835022,0.0,0.0
2,0.25,22.40777587890625,22.746252059936523,163.9336395263672,104.78998565673828,102.51011657714844,-0.00029872104641981423,0.07160989195108414,20.930191040039062,197.22866821289062,0.20156504213809967,0.0,0.0
3,0.5,21.851743698120117,23.446901321411133,161.35604858398438,104.7878646850586,103.17031860351562,-0.00031703573768027127,0.07147935032844543,20.930631637573242,197.1385955810547,0.14255329966545105,0.0,0.0
4,0.75,22.419055938720703,22.622461318969727,162.8230743408203,104.7963638305664,103.4379653930664,-0.0003335189539939165,0.07133959233760834,20.931028366088867,197.24868774414062,0.11955493688583374,0.0,0.0
5,1,22.017990112304688,22.013437271118164,165.4746856689453,104.7993392944336,103.73238372802734,-0.0003483538457658142,0.07121381163597107,20.931385040283203,197.26869201660156,0.09377005696296692,0.0,0.0
6,1.25,21.103744506835938,21.88227653503418,162.5948486328125,104.79593658447266,103.18816375732422,-0.00036684353835880756,0.07110060751438141,20.931705474853516,197.17861938476562,0.14167456328868866,0.0,0.0
7,1.5,20.84940528869629,21.656780242919922,160.508056640625,104.79849243164062,103.13462829589844,-0.00038348426460288465,0.07099872082471848,20.931995391845703,197.24868774414062,0.14665327966213226,0.0,0.0
8,1.75,20.867000579833984,21.657573699951172,160.22030639648438,104.80486297607422,102.47442626953125,-0.0003984609211329371,0.07082539051771164,20.932254791259766,197.24868774414062,0.2060573846101761,0.0,0.0
9,2,21.350313186645508,21.3973445892334,161.55374145507812,104.80613708496094,103.15247344970703,-0.00041193992365151644,0.07066939026117325,20.9324893951416,197.20864868164062,0.1457362174987793,0.0,0.0
10,2.25,20.746822357177734,21.185457229614258,165.55406188964844,104.80061340332031,103.44689178466797,-0.00042407101136632264,0.07052899152040482,20.932701110839844,197.25869750976562,0.11913658678531647,0.0,0.0
11,2.5,20.398977279663086,21.290014266967773,161.23011779785156,104.80486297607422,102.86698150634766,-0.00043498899322003126,0.07040262967348099,20.932889938354492,197.26869201660156,0.17102168500423431,0.0,0.0
12,2.75,21.09647560119629,21.448516845703125,160.62864685058594,104.7963638305664,102.3405990600586,-0.00044160359539091587,0.07028890401124954,20.933061599731445,197.22866821289062,0.2172887921333313,0.0,0.0
13,3,21.14912986755371,21.552738189697266,166.1509552001953,104.81591796875,102.82237243652344,-0.0004475567548070103,0.07012719660997391,20.933216094970703,197.24868774414062,0.17596198618412018,0.0,0.0
14,3.25,20.73911476135254,21.03662872314453,165.07931518554688,104.82059478759766,102.46550750732422,-0.00045291459537111223,0.0699816569685936,20.933353424072266,197.23867797851562,0.20822958648204803,0.0,0.0
15,3.5,20.509788513183594,21.708728790283203,162.87802124023438,104.81208801269531,102.89374542236328,-0.00045773666352033615,0.06985067576169968,20.9334774017334,197.21864318847656,0.1692696064710617,0.0,0.0
16,3.75,20.881912231445312,21.391799926757812,158.53880310058594,104.8086929321289,102.71531677246094,-0.00046207651030272245,0.06973279267549515,20.933589935302734,197.25869750976562,0.18487648665905,0.0,0.0
17,4,21.10307502746582,21.37318229675293,165.36172485351562,104.82611846923828,102.91159057617188,-0.00045249491813592613,0.06962669640779495,20.933691024780273,197.24868774414062,0.1689060777425766,0.0,0.0
18,4.25,21.096651077270508,21.436527252197266,160.8385467529297,104.82186889648438,102.57256317138672,-0.0004438714822754264,0.06953120976686478,20.93378257751465,197.22866821289062,0.1987723559141159,0.0,0.0
19,4.5,20.755420684814453,21.12120246887207,160.96678161621094,104.8231430053711,102.65286254882812,-0.00043611039291135967,0.06944527477025986,20.93386459350586,197.24868774414062,0.19171258807182312,0.0,0.0
20,4.75,21.12920570373535,21.770971298217773,163.7786865234375,104.8265380859375,102.733154296875,-0.00043611039291135967,0.06936793029308319,20.933937072753906,197.22866821289062,0.184845432639122,0.0,0.0
21,5,20.861854553222656,21.176029205322266,164.3542022705078,104.82823944091797,102.7509994506836,-0.00042912541539408267,0.06929831951856613,20.933937072753906,197.21864318847656,0.18340221047401428,0.0,0.0
22,5.25,20.96031951904297,21.084774017333984,163.62680053710938,104.82569122314453,102.59933471679688,-0.00040806701872497797,0.06926534324884415,20.934003829956055,197.22866821289062,0.19671550393104553,0.0,0.0
23,5.5,20.987144470214844,21.460596084594727,162.65972900390625,104.8193130493164,101.93020629882812,-0.0003891144588124007,0.0692356675863266,20.9338321685791,197.21864318847656,0.2561146020889282,0.0,0.0
24,5.75,20.888277053833008,21.731943130493164,167.00962829589844,104.82144165039062,102.28707122802734,-0.0003720571403391659,0.06920895725488663,20.933677673339844,197.21864318847656,0.2242755889892578,0.0,0.0
25,6,20.297191619873047,21.57821273803711,164.29466247558594,104.83036804199219,103.1613998413086,-0.00035670556826516986,0.06918492168188095,20.93353843688965,197.22866821289062,0.1470617800951004,0.0,0.0
26,6.25,20.854604721069336,21.262849807739258,162.1719970703125,104.84099578857422,102.9205093383789,-0.0003403198206797242,0.06916328519582748,20.933414459228516,197.21864318847656,0.16941329836845398,0.0,0.0
27,6.5,20.79060173034668,21.088085174560547,161.86363220214844,104.82951354980469,102.35844421386719,-0.00032557264785282314,0.06924029439687729,20.93330192565918,197.21864318847656,0.21858908236026764,0.0,0.0
28,6.75,21.283340454101562,21.805206298828125,161.19271850585938,104.83121490478516,101.85883331298828,-0.0003123001952189952,0.06930959969758987,20.93320083618164,197.21864318847656,0.26357394456863403,0.0,0.0
29,7,20.47169303894043,21.713115692138672,161.65525817871094,104.84354400634766,102.64393615722656,-0.00030035499366931617,0.06937197595834732,20.933109283447266,197.20864868164062,0.1942935287952423,0.0,0.0
30,7.25,20.523460388183594,21.253576278686523,164.33053588867188,104.83802032470703,103.46473693847656,-0.00029410034767352045,0.06942811608314514,20.933027267456055,197.20864868164062,0.12082605808973312,0.0,0.0
