Sample ID:	C:\MCC\MCC Cal\Test\Concrete_Block_MCC_30K_min_220224_R1.txt
Sample Weight (mg):	4.83
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	115.107	80.005	19.994	103.856	20.048	-0.033	0.002
0.500	115.090	80.005	19.993	103.861	20.045	0.134	-0.005
1.000	115.108	80.005	19.993	103.867	20.047	0.059	-0.001
1.500	115.071	80.004	19.993	103.869	20.050	-0.170	-0.009
2.000	115.076	80.003	19.994	103.864	20.049	-0.090	-0.025
2.500	115.041	80.004	19.994	103.862	20.048	-0.037	-0.031
3.000	115.057	80.003	19.994	103.857	20.047	0.016	-0.025
3.500	115.054	80.004	19.993	103.856	20.049	-0.077	-0.003
4.000	115.097	80.006	19.993	103.854	20.047	0.029	0.027
4.500	115.066	80.004	19.993	103.852	20.046	0.077	0.026
5.000	115.077	80.005	19.993	103.852	20.048	-0.050	-0.005
5.500	115.080	80.004	19.994	103.856	20.050	-0.187	-0.003
6.000	115.072	80.005	19.993	103.856	20.048	-0.068	0.005
6.500	115.052	80.003	19.993	103.859	20.047	0.046	-0.016
7.000	115.093	80.005	19.993	103.863	20.048	-0.044	-0.004
7.500	115.081	80.004	19.993	103.865	20.045	0.141	0.024
8.000	115.062	80.004	19.993	103.862	20.044	0.255	-0.001
8.501	115.081	80.004	19.993	103.864	20.045	0.143	-0.015
9.001	115.058	80.004	19.993	103.863	20.045	0.150	-0.002
9.501	115.058	80.003	19.994	103.866	20.047	0.044	-0.014
10.000	115.061	80.004	19.994	103.867	20.045	0.189	-0.010
10.500	115.033	80.003	19.993	103.869	20.043	0.288	-0.011
11.000	115.043	80.005	19.992	103.871	20.046	0.068	-0.021
11.500	115.077	80.004	19.995	103.873	20.045	0.173	0.013
12.000	114.995	80.004	19.994	103.875	20.044	0.217	-0.002
12.500	115.018	80.004	19.994	103.875	20.043	0.283	-0.054
13.000	115.023	80.003	19.995	103.877	20.043	0.330	-0.015
13.501	115.035	80.004	19.994	103.877	20.046	0.079	0.023
14.001	115.043	80.004	19.994	103.878	20.043	0.318	0.019
14.500	115.013	80.005	19.996	103.879	20.044	0.220	-0.001
15.000	114.996	80.003	19.996	103.883	20.043	0.327	-0.035
15.500	115.020	80.004	19.997	103.889	20.042	0.376	-0.020
16.000	115.059	80.002	19.996	103.896	20.041	0.441	0.035
16.500	115.052	80.003	19.996	103.903	20.039	0.556	0.047
17.000	115.020	80.002	19.995	103.908	20.037	0.694	-0.003
17.500	115.083	80.003	19.994	103.912	20.035	0.826	-0.004
18.000	115.067	80.003	19.994	103.915	20.036	0.760	0.039
18.500	115.051	80.003	19.995	103.916	20.035	0.802	0.007
19.000	115.077	80.003	19.995	103.919	20.037	0.698	-0.011
19.500	115.079	80.003	19.995	103.926	20.032	1.012	0.019
20.000	115.028	80.002	19.995	103.934	20.033	1.001	-0.011
20.500	115.058	80.003	19.994	103.943	20.033	1.001	-0.035
21.000	115.068	80.004	19.996	103.955	20.033	0.951	0.010
21.500	115.115	80.002	19.995	103.969	20.030	1.153	0.048
22.000	115.084	80.002	19.994	103.977	20.029	1.210	0.037
22.500	115.119	80.001	19.995	103.985	20.028	1.335	0.011
23.000	115.161	80.002	19.995	103.992	20.025	1.530	0.041
23.500	115.153	80.002	19.994	103.997	20.025	1.484	0.055
24.000	115.174	80.003	19.995	104.004	20.027	1.397	0.023
24.500	115.225	80.002	19.994	104.010	20.020	1.847	0.043
25.000	115.282	80.003	19.995	104.016	20.024	1.590	0.090
25.500	115.271	80.003	19.994	104.018	20.023	1.625	0.077
26.000	115.308	80.001	19.995	104.016	20.022	1.732	0.036
26.500	115.312	80.005	19.995	104.013	20.020	1.820	0.033
27.000	115.360	80.004	19.995	104.013	20.020	1.847	0.047
