0,1
#EXPORTTYPE:                 ,DATA COMPARE                              
#FILE:                       ,Concrete_Block_STA_N2_3K_230831_R1.ngb-ss3
#FORMAT:                     ,NETZSCH5                                  
#FTYPE:                      ,ANSI                                      
#IDENTITY:                   ,Concrete_Block_3K_1                       
#DECIMAL:                    ,POINT                                     
#SEPARATOR:                  ,COMMA                                     
#MTYPE:                      ,DSC                                       
#INSTRUMENT:                 ,NETZSCH STA 449F3                         
#PROJECT:                    ,NIJ 2019                                  
#DATE/TIME:                  ,8/31/2023 18:10:32 (UTC-4)                
#CORR. FILE:                 ,                                          
#TEMPCAL:                    ,28-07-2023 12:55                          
#SENSITIVITY:                ,28-07-2023 15:24                          
#LABORATORY:                 ,UL FSRI                                   
#OPERATOR:                   ,John                                      
#REMARK:                     ,Concrete Block                            
#SAMPLE:                     ,Concrete_Block_3K_1                       
#SAMPLE MASS /mg:            ,4.02                                      
#MATERIAL:                   ,concrete block                            
#REFERENCE:                  ,                                          
#REFERENCE MASS /mg:         ,0                                         
#TYPE OF CRUCIBLE:           ,PtRh20 85 µl
#SAMPLE CRUCIBLE MASS /mg:   ,237.16                                    
#REFERENCE CRUCIBLE MASS /mg:,246.46                                    
#PURGE 1 MFC:                ,NITROGEN
#PURGE 2 MFC:                ,OXYGEN
#PROTECTIVE MFC:             ,NITROGEN
#DSC RANGE /µV:              ,5000                                      
#TG RANGE /mg:               ,35000                                     
#TAU-R:                      ,---                                       
#CORR. CODE:                 ,000                                       
#EXO:                        ,-1                                        
#RANGE:                      ,27°C....900°C/0.0....3.0K/min             
#SEGMENT:                    ,S1-3/3                                    
#SEG. 1:                     ,27°C/00:15/27°C                           
#SEG. 2:                     ,27°C/3.0(K/min)/900°C                     
#SEG. 3:                     ,900°C/00:15/900°C                         
