Time after Ignition,Corrugated_Cardboard_R1,Corrugated_Cardboard_R2,Corrugated_Cardboard_R3,Mean,Std. Dev.
0.0,9.2,6.2,3.3,6.2,2.9
0.25,9.2,6.2,3.5,6.3,2.9
0.5,8.9,6.2,3.6,6.2,2.7
0.75,8.9,6.2,3.8,6.3,2.5
1.0,8.7,6.0,4.0,6.2,2.4
1.25,8.8,6.3,4.0,6.4,2.4
1.5,8.5,6.4,4.2,6.3,2.2
1.75,8.7,6.2,4.2,6.4,2.2
2.0,8.7,6.5,4.3,6.5,2.2
2.25,8.7,7.0,4.3,6.7,2.2
2.5,8.5,7.0,4.3,6.6,2.1
2.75,9.1,7.4,4.4,7.0,2.4
3.0,8.9,7.6,4.4,7.0,2.3
3.25,8.7,7.6,4.7,7.0,2.1
3.5,8.7,8.0,4.8,7.2,2.1
3.75,8.8,8.5,5.1,7.5,2.0
4.0,9.2,8.6,5.2,7.7,2.2
4.25,9.2,8.9,5.4,7.8,2.1
4.5,9.5,9.1,5.8,8.1,2.0
4.75,9.3,9.3,6.0,8.2,1.9
5.0,9.3,9.5,6.3,8.4,1.8
5.25,9.6,9.7,6.3,8.5,1.9
5.5,9.5,9.8,6.5,8.6,1.8
5.75,9.5,10.1,6.7,8.8,1.8
6.0,9.6,10.2,6.9,8.9,1.8
6.25,9.5,10.6,6.9,9.0,1.9
6.5,9.9,10.7,7.2,9.3,1.8
6.75,9.6,11.2,7.3,9.4,1.9
7.0,10.1,11.3,7.5,9.6,2.0
7.25,9.8,11.5,7.7,9.7,1.9
7.5,10.1,12.2,8.0,10.1,2.1
7.75,10.0,12.7,8.2,10.3,2.3
8.0,10.4,13.0,8.3,10.6,2.4
8.25,10.6,13.6,8.4,10.8,2.7
8.5,10.9,14.7,8.5,11.4,3.1
8.75,10.9,16.1,8.6,11.9,3.8
9.0,11.4,17.2,8.8,12.5,4.3
9.25,11.8,18.1,8.8,12.9,4.8
9.5,12.2,21.4,8.8,14.2,6.5
9.75,12.8,24.7,8.9,15.5,8.2
10.0,13.0,27.8,9.0,16.6,9.9
10.25,13.1,30.4,10.3,17.9,10.9
10.5,16.2,32.7,11.4,20.1,11.2
10.75,19.1,34.3,12.6,22.0,11.2
11.0,21.7,44.3,13.6,26.5,15.9
11.25,23.7,53.6,14.2,30.5,20.6
11.5,35.0,60.7,15.1,36.9,22.9
11.75,45.6,66.8,15.9,42.7,25.6
12.0,53.3,86.0,16.4,51.9,34.8
12.25,61.7,102.7,27.3,63.9,37.7
12.5,69.1,115.9,31.2,72.1,42.4
12.75,87.4,129.9,35.5,84.2,47.3
13.0,101.3,149.5,39.5,96.8,55.2
13.25,116.2,170.1,40.0,108.8,65.4
13.5,140.5,188.8,50.8,126.7,70.0
13.75,162.4,184.6,61.0,136.0,65.9
14.0,180.5,202.0,70.7,151.1,70.4
14.25,200.1,215.6,93.7,169.8,66.3
14.5,212.6,243.2,112.9,189.6,68.2
14.75,227.9,251.4,132.5,203.9,63.0
15.0,239.1,262.7,148.5,216.8,60.3
15.25,252.2,259.9,166.2,226.1,52.0
15.5,261.3,262.5,180.6,234.8,47.0
15.75,268.4,273.2,192.8,244.8,45.1
16.0,281.0,283.4,203.4,256.0,45.5
16.25,285.0,284.8,218.3,262.7,38.5
16.5,290.3,287.8,226.9,268.3,35.9
16.75,296.5,295.4,236.4,276.1,34.4
17.0,294.2,293.9,244.8,277.6,28.5
17.25,306.9,293.8,249.6,283.4,30.0
17.5,307.5,297.3,257.8,287.5,26.3
17.75,308.3,298.8,265.9,291.0,22.3
18.0,312.6,299.9,269.3,294.0,22.2
18.25,312.8,296.5,269.9,293.0,21.7
18.5,308.7,294.0,279.9,294.2,14.4
18.75,302.7,294.9,280.7,292.7,11.2
19.0,299.4,294.7,281.3,291.8,9.4
19.25,299.1,286.4,280.5,288.7,9.5
19.5,294.6,286.1,274.0,284.9,10.4
19.75,282.5,281.5,277.7,280.6,2.5
