Sample ID:	C:\Users\MCC\Documents\MCC Data\ULINE_CB\ULINE_CB_MCC_N2_30K_231110_R1.txt
Sample Weight (mg):	3.94
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\Users\MCC\Desktop\UMD MCC\MCC\Calibration Files\Coefficients\Coeff_231026_30K.txt
T Correction Coefficients:	0	1.0291	0
Time Shift (s):	8.5
*
Time (s)	Temperature (C)	N2 Flow (cc/min)	O2 Flow (cc/min)	End Flow (cc/min)	Oxygen (%)	HRR (W/g)
0.000	74.557	80.009	19.989	100.341	20.216	-0.071
0.500	74.595	80.009	19.989	100.343	20.215	-0.013
1.000	74.631	80.009	19.988	100.344	20.215	0.008
1.501	74.652	80.013	19.992	100.344	20.214	0.024
2.000	74.687	80.007	19.989	100.347	20.214	0.086
2.500	74.716	80.008	19.989	100.345	20.214	0.054
3.000	74.761	80.009	19.989	100.343	20.214	0.028
3.500	74.783	80.009	19.989	100.342	20.216	-0.073
4.000	74.810	80.011	19.990	100.342	20.216	-0.069
4.500	74.850	80.009	19.990	100.341	20.216	-0.115
5.000	74.888	80.008	19.989	100.343	20.215	-0.005
5.500	74.935	80.009	19.989	100.344	20.214	0.038
6.000	74.955	80.006	19.988	100.343	20.216	-0.095
6.500	74.978	80.010	19.989	100.342	20.217	-0.153
7.000	75.014	80.010	19.989	100.342	20.216	-0.122
7.500	75.071	80.010	19.989	100.341	20.218	-0.259
8.000	75.098	80.008	19.989	100.337	20.218	-0.259
8.500	75.146	80.011	19.990	100.336	20.216	-0.126
9.000	75.178	80.008	19.988	100.335	20.217	-0.207
9.500	75.209	80.009	19.989	100.334	20.217	-0.156
10.000	75.248	80.011	19.991	100.334	20.218	-0.238
10.500	75.272	80.009	19.990	100.339	20.218	-0.244
11.000	75.318	80.009	19.989	100.342	20.216	-0.117
11.500	75.359	80.009	19.989	100.345	20.218	-0.253
12.000	75.364	80.011	19.990	100.345	20.218	-0.291
12.500	75.426	80.010	19.990	100.346	20.217	-0.214
