Sample ID:	C:\MCC\MCC Cal\Test\Cotton_Felt\Cotton_Felt_MCC_30K_min_21_07_09_R4.txt
Sample Weight (mg):	4.31
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	112.894	79.997	19.995	99.944	20.220	-0.429	-0.045
0.500	112.863	79.995	19.996	99.944	20.213	0.093	-0.023
1.000	112.884	79.997	19.997	99.943	20.215	-0.068	-0.002
1.500	112.900	79.997	19.996	99.942	20.214	0.070	0.013
2.000	112.871	79.996	19.995	99.944	20.214	0.024	0.012
2.500	112.847	79.995	19.996	99.941	20.218	-0.245	-0.033
3.000	112.883	79.995	19.997	99.941	20.219	-0.292	-0.021
3.500	112.853	79.997	19.996	99.943	20.210	0.352	0.009
4.000	112.882	79.995	19.995	99.943	20.218	-0.243	0.003
4.500	112.850	79.997	19.997	99.944	20.213	0.125	-0.001
5.000	112.861	79.998	19.997	99.942	20.219	-0.336	-0.012
5.500	112.850	79.997	19.995	99.939	20.212	0.151	-0.011
6.000	112.858	79.996	19.995	99.941	20.213	0.129	-0.001
6.500	112.820	79.997	19.996	99.941	20.211	0.276	-0.016
7.000	112.827	79.997	19.995	99.940	20.215	-0.068	-0.030
7.500	112.825	79.996	19.996	99.940	20.213	0.086	-0.013
8.000	112.841	80.000	19.996	99.938	20.210	0.306	0.009
8.500	112.802	79.999	19.996	99.935	20.215	-0.070	-0.005
9.000	112.800	79.998	19.996	99.934	20.213	0.095	-0.032
9.500	112.792	79.997	19.996	99.935	20.212	0.203	-0.025
10.001	112.784	79.998	19.995	99.935	20.215	-0.070	-0.013
10.501	112.782	79.997	19.996	99.935	20.215	-0.044	-0.013
11.001	112.766	79.995	19.995	99.934	20.213	0.097	-0.014
11.501	112.797	79.997	19.996	99.933	20.211	0.251	-0.001
12.000	112.768	79.998	19.996	99.935	20.212	0.213	0.009
12.500	112.788	79.998	19.995	99.938	20.207	0.518	-0.004
13.000	112.756	79.997	19.996	99.938	20.213	0.102	-0.011
13.500	112.774	79.998	19.995	99.940	20.210	0.340	-0.013
14.001	112.732	79.998	19.995	99.941	20.211	0.265	-0.019
14.501	112.779	79.996	19.995	99.942	20.209	0.410	-0.009
15.000	112.760	79.998	19.996	99.946	20.213	0.088	0.016
15.500	112.766	79.996	19.996	99.954	20.211	0.247	0.008
16.000	112.733	79.995	19.995	99.959	20.213	0.080	-0.020
16.500	112.756	79.997	19.996	99.965	20.206	0.585	-0.018
17.000	112.757	79.995	19.996	99.966	20.207	0.570	0.007
17.500	112.740	79.997	19.996	99.966	20.209	0.370	0.004
18.000	112.771	79.998	19.996	99.968	20.207	0.572	-0.002
18.500	112.717	79.998	19.996	99.974	20.207	0.518	-0.005
19.000	112.725	79.995	19.996	99.983	20.205	0.665	-0.034
19.500	112.717	79.997	19.996	99.994	20.200	1.044	-0.023
20.000	112.703	79.997	19.996	100.002	20.202	0.884	-0.011
20.500	112.745	79.998	19.997	100.011	20.200	1.034	0.003
21.000	112.747	79.995	19.996	100.019	20.204	0.773	0.036
21.500	112.752	79.998	19.998	100.027	20.197	1.279	0.025
22.000	112.790	79.996	19.997	100.035	20.198	1.231	0.025
22.500	112.809	79.997	19.997	100.043	20.196	1.366	0.050
23.000	112.806	79.997	19.997	100.055	20.194	1.476	0.036
23.500	112.779	79.996	19.997	100.065	20.188	1.956	-0.008
24.000	112.804	79.995	19.996	100.080	20.194	1.470	-0.016
24.500	112.828	79.995	19.996	100.095	20.193	1.575	0.024
25.000	112.839	79.998	19.997	100.109	20.184	2.209	0.042
25.500	112.883	79.996	19.997	100.117	20.189	1.836	0.045
26.000	112.932	79.996	19.997	100.124	20.190	1.757	0.074
26.500	112.962	79.996	19.996	100.125	20.186	2.085	0.087
27.000	112.967	79.997	19.996	100.123	20.183	2.318	0.057
27.500	112.993	79.995	19.996	100.119	20.186	2.067	0.032
28.000	113.017	79.997	19.995	100.116	20.185	2.127	0.041
28.500	113.050	80.000	19.997	100.116	20.186	2.089	0.054
29.000	113.087	79.997	19.995	100.116	20.183	2.284	0.064
29.500	113.131	79.998	19.997	100.118	20.183	2.278	0.075
30.000	113.175	79.997	19.997	100.124	20.185	2.161	0.084
30.500	113.229	79.998	19.996	100.128	20.184	2.215	0.093
31.000	113.251	79.996	19.996	100.127	20.180	2.528	0.087
31.500	113.312	79.997	19.995	100.124	20.183	2.309	0.079
32.000	113.359	79.998	19.996	100.121	20.184	2.235	0.096
32.500	113.448	79.997	19.995	100.121	20.180	2.472	0.122
33.000	113.482	79.999	19.995	100.121	20.179	2.607	0.130
33.500	113.522	79.998	19.996	100.123	20.179	2.557	0.099
34.000	113.612	79.996	19.995	100.126	20.180	2.537	0.102
34.500	113.688	79.996	19.995	100.129	20.180	2.476	0.148
35.001	113.742	80.000	19.995	100.129	20.180	2.466	0.148
35.501	113.757	79.998	19.996	100.128	20.177	2.711	0.099
36.000	113.851	79.998	19.997	100.128	20.182	2.372	0.089
36.500	113.913	79.997	19.996	100.128	20.180	2.468	0.132
37.001	113.995	80.000	19.997	100.126	20.178	2.661	0.150
37.501	114.064	79.997	19.996	100.126	20.183	2.267	0.148
38.000	114.163	79.996	19.996	100.128	20.179	2.590	0.159
38.500	114.211	79.996	19.996	100.128	20.179	2.610	0.157
39.000	114.240	79.997	19.996	100.129	20.180	2.486	0.112
39.500	114.385	79.998	19.996	100.130	20.180	2.516	0.125
40.000	114.457	79.993	19.996	100.130	20.178	2.648	0.196
40.500	114.529	79.996	19.996	100.131	20.176	2.807	0.181
41.000	114.606	79.997	19.997	100.132	20.181	2.419	0.146
41.500	114.664	79.994	19.996	100.136	20.180	2.524	0.142
42.001	114.784	79.997	19.997	100.137	20.174	2.927	0.157
42.501	114.847	79.995	19.996	100.137	20.176	2.761	0.180
43.000	114.956	79.995	19.997	100.137	20.172	3.058	0.177
43.500	115.011	79.992	19.995	100.136	20.175	2.873	0.168
44.000	115.120	79.995	19.996	100.132	20.178	2.644	0.164
44.500	115.206	79.995	19.997	100.131	20.177	2.753	0.180
45.000	115.321	79.995	19.997	100.131	20.176	2.785	0.198
45.500	115.409	79.994	19.998	100.132	20.174	2.903	0.202
46.000	115.480	79.994	19.997	100.136	20.174	2.919	0.181
46.500	115.606	79.993	19.997	100.139	20.177	2.742	0.178
47.001	115.674	79.994	19.996	100.143	20.176	2.811	0.196
47.501	115.803	79.995	19.997	100.145	20.172	3.070	0.196
48.000	115.895	79.994	19.998	100.150	20.171	3.120	0.209
48.500	116.006	79.993	19.998	100.153	20.175	2.849	0.211
49.001	116.113	79.995	19.998	100.156	20.174	2.953	0.210
49.501	116.196	79.994	19.996	100.157	20.176	2.767	0.204
50.000	116.346	79.995	19.997	100.157	20.172	3.092	0.212
50.500	116.407	79.994	19.997	100.155	20.169	3.268	0.223
51.001	116.587	79.995	19.997	100.155	20.172	3.078	0.226
51.501	116.661	79.995	19.997	100.156	20.173	3.010	0.247
52.000	116.786	79.996	19.998	100.159	20.166	3.484	0.226
52.501	116.852	79.996	19.998	100.163	20.170	3.218	0.196
53.001	116.994	79.994	19.997	100.163	20.167	3.453	0.199
53.500	117.099	79.994	19.997	100.160	20.172	3.058	0.227
54.000	117.209	79.994	19.996	100.155	20.167	3.451	0.231
54.500	117.315	79.998	19.997	100.154	20.168	3.381	0.216
55.000	117.457	79.995	19.997	100.156	20.171	3.152	0.232
55.500	117.590	79.995	19.996	100.160	20.168	3.355	0.261
56.000	117.691	79.995	19.997	100.164	20.172	3.068	0.254
56.501	117.814	79.994	19.996	100.170	20.169	3.335	0.229
57.001	117.928	79.994	19.996	100.171	20.167	3.449	0.230
57.501	118.058	79.995	19.996	100.171	20.170	3.244	0.241
58.000	118.177	79.995	19.997	100.171	20.167	3.447	0.247
58.501	118.326	79.995	19.997	100.170	20.164	3.682	0.258
59.001	118.430	79.996	19.997	100.168	20.167	3.417	0.260
