##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
50.668,10.01,-0.04442,0.01547543,0.6235
50.768,10.55127,-0.04673563,0.0242459,0.6235
50.868,10.71137,-0.0470089,0.02569093,0.6235
50.968,10.8099,-0.04836981,0.02698437,0.6235
51.068,10.88237,-0.04968174,0.0329428,0.6235
51.168,10.94391,-0.0499519,0.03535769,0.6235
51.268,10.99364,-0.05078036,0.03845882,0.62349
51.368,11.038960000000001,-0.04964511,0.04164489,0.62349
51.468,11.07493,-0.04940582,0.04432674,0.62349
51.568,11.110430000000001,-0.04938507,0.04608482,0.62349
51.668,11.14696,-0.05118592,0.04770917,0.62349
51.768,11.1799,-0.05012605,0.05359991,0.62349
51.868,11.20927,-0.04924052,0.05469278,0.62349
51.968,11.23736,-0.05004322,0.0568525,0.62349
52.068,11.26405,-0.04976004,0.06354337,0.62349
52.168,11.28951,-0.04909017,0.06147096,0.62348
52.268,11.31348,-0.0488584,0.07148456,0.62348
52.368,11.33572,-0.04920742,0.06934524,0.62348
52.468,11.35707,-0.04986185,0.07209844,0.62348
52.568,11.377930000000001,-0.05139007,0.07099777,0.62348
52.668,11.39776,-0.04995593,0.08108211,0.62348
52.768,11.4174,-0.05003347,0.08177783,0.62348
52.868,11.43619,-0.0506556,0.08587142,0.62348
52.968,11.45453,-0.05031557,0.08543466,0.62347
53.068,11.471969999999999,-0.05049262,0.08804046,0.62347
53.168,11.48902,-0.05115389,0.08922307,0.62347
53.268,11.5053,-0.04972708,0.09101677,0.62347
53.368,11.52148,-0.04893267,0.09563664,0.62347
53.468,11.53717,-0.04728839,0.09517625,0.62347
53.568,11.5526,-0.04807347,0.0990139,0.62347
53.668,11.56795,-0.04877056,0.10196000000000001,0.62346
53.768,11.58257,-0.04999266,0.10518,0.62346
53.868,11.59725,-0.0503368,0.10533,0.62346
53.968,11.61163,-0.05035082,0.11019000000000001,0.62346
54.068,11.62556,-0.0502437,0.11032,0.62346
54.168,11.63906,-0.04944319,0.11205999999999999,0.62346
54.268,11.6523,-0.05041534,0.11914000000000001,0.62345
54.368,11.66548,-0.04981946,0.1225,0.62345
54.468,11.6784,-0.04670018,0.12497,0.62345
54.568,11.69096,-0.0438318,0.12579,0.62345
54.668,11.70317,-0.04019355,0.12285,0.62345
54.768,11.71538,-0.03732714,0.12742,0.62345
54.868,11.72766,-0.03899272,0.13055999999999998,0.62345
54.968,11.73956,-0.04603078,0.13202,0.62344
55.068,11.75124,-0.05646787,0.13371,0.62344
55.168,11.762780000000001,-0.06069493,0.13529000000000002,0.62344
55.268,11.77411,-0.06338698,0.13663,0.62344
55.368,11.78541,-0.06442186,0.14075,0.62344
55.468,11.79668,-0.06176545,0.14464000000000002,0.62344
55.568,11.80755,-0.05773729,0.14542,0.62343
55.668,11.81828,-0.05487804,0.14556,0.62343
55.768,11.82883,-0.05386256,0.14826,0.62343
55.868,11.83958,-0.05236407,0.15175,0.62343
55.968,11.8503,-0.05198742,0.15442,0.62343
56.068,11.86087,-0.05202584,0.15467999999999998,0.62342
56.168,11.87128,-0.05255076,0.15943,0.62342
56.268,11.88161,-0.05243385,0.16055999999999998,0.62342
56.368,11.891860000000001,-0.05233267,0.16429000000000002,0.62342
56.468,11.9021,-0.05191793,0.16527,0.62342
56.568,11.91208,-0.0517304,0.16514,0.62342
56.668,11.92201,-0.05018782,0.16609000000000002,0.62341
56.768,11.931610000000001,-0.05036408,0.16978,0.62341
56.868,11.94106,-0.05008017,0.17175,0.62341
56.968,11.95041,-0.05017442,0.17214000000000002,0.62341
57.068,11.959710000000001,-0.05143735,0.17555,0.62341
57.168,11.96918,-0.05100871,0.17740999999999998,0.6234
57.268,11.97832,-0.05173864,0.17740999999999998,0.6234
57.368,11.987260000000001,-0.05185771,0.1785,0.6234
57.468,11.99615,-0.05181528,0.18139,0.6234
57.568,12.00498,-0.05229184,0.18317999999999998,0.6234
57.668,12.01375,-0.05169814,0.18409,0.62339
57.768,12.02248,-0.05114166,0.18524000000000002,0.62339
57.868,12.03118,-0.05229432,0.18638,0.62339
57.968,12.03983,-0.05189755,0.18962,0.62339
58.068,12.04838,-0.05129096,0.19313,0.62339
58.168,12.05659,-0.05211626,0.19518,0.62338
58.268,12.06484,-0.05188311,0.19689,0.62338
58.368,12.073210000000001,-0.0516568,0.19941,0.62338
58.468,12.08146,-0.05243363,0.20193,0.62338
58.568,12.0897,-0.05168148,0.20301,0.62337
58.668,12.09789,-0.05174357,0.20343,0.62337
58.768,12.10592,-0.05227638,0.20525,0.62337
58.868,12.11396,-0.05208481,0.20565,0.62337
58.968,12.12195,-0.05163066,0.20546,0.62337
59.068,12.129760000000001,-0.05197547,0.20799,0.62336
59.168,12.13772,-0.05240544,0.2096,0.62336
59.268,12.145719999999999,-0.05295267,0.21051,0.62336
59.368,12.15358,-0.0536007,0.21236999999999998,0.62336
59.468,12.16135,-0.05365571,0.21547,0.62335
59.568,12.16915,-0.05306952,0.21802,0.62335
59.668,12.176860000000001,-0.05379337,0.21793,0.62335
59.768,12.18452,-0.05354983,0.21683000000000002,0.62335
59.868,12.19218,-0.05283524,0.21834,0.62334
59.968,12.199819999999999,-0.05319939,0.22205999999999998,0.62334
60.068,12.20732,-0.0526694,0.22258000000000003,0.62334
60.168,12.214960000000001,-0.0522258,0.2261,0.62334
60.268,12.22258,-0.05197029,0.22855,0.62333
60.368,12.22996,-0.05165989,0.22573000000000001,0.62333
60.468,12.23736,-0.05194157,0.22554000000000002,0.62333
60.568,12.24468,-0.05177673,0.22887,0.62333
60.668,12.25196,-0.05119292,0.23135,0.62332
60.768,12.259310000000001,-0.05107758,0.23048000000000002,0.62332
60.868,12.266630000000001,-0.05170578,0.23054000000000002,0.62332
60.968,12.27387,-0.05211702,0.23205,0.62332
61.068,12.281039999999999,-0.05210308,0.23438,0.62331
61.168,12.288219999999999,-0.05231797,0.23681999999999997,0.62331
61.268,12.29537,-0.05287434,0.23790999999999998,0.62331
61.368,12.30241,-0.05327652,0.23870999999999998,0.62331
61.468,12.3094,-0.05311626,0.24034,0.6233
61.568,12.31643,-0.05263446,0.24206,0.6233
61.668,12.32339,-0.05263798,0.24403000000000002,0.6233
61.768,12.33029,-0.05286403,0.24635,0.6233
61.868,12.33732,-0.05232918,0.24839,0.62329
61.968,12.34423,-0.05190644,0.24879,0.62329
62.068,12.35103,-0.05173173,0.2494,0.62329
62.168,12.35787,-0.05146149,0.25263,0.62329
62.268,12.36468,-0.05163263,0.25605,0.6232800000000001
62.368,12.37146,-0.05191369,0.25748000000000004,0.6232800000000001
62.468,12.378219999999999,-0.05180753,0.25684,0.6232800000000001
62.568,12.38492,-0.05175321,0.25684,0.62327
62.668,12.39157,-0.05194946,0.25759,0.62327
62.768,12.3982,-0.05244512,0.25845999999999997,0.62327
62.868,12.404819999999999,-0.05329552,0.26043,0.62327
62.968,12.41145,-0.05376315,0.26300999999999997,0.62326
63.068,12.41805,-0.05352132,0.26516999999999996,0.62326
63.168,12.42459,-0.05386356,0.26678,0.62326
63.268,12.43109,-0.05445913,0.26808000000000004,0.62325
63.368,12.437610000000001,-0.05460266,0.26928,0.62325
63.468,12.44407,-0.05518078,0.27023,0.62325
63.568,12.45042,-0.05560793,0.27076999999999996,0.62325
63.668,12.4567,-0.05483988,0.27104,0.62324
63.768,12.46296,-0.05426588,0.2722,0.62324
63.868,12.46926,-0.05439349,0.27443,0.62324
63.968,12.47557,-0.05435307,0.27668000000000004,0.6232300000000001
64.068,12.481860000000001,-0.05390958,0.27771,0.6232300000000001
64.168,12.48807,-0.05342309,0.27773000000000003,0.6232300000000001
64.268,12.49423,-0.05371848,0.27921999999999997,0.62322
64.368,12.5004,-0.05431175,0.28171,0.62322
64.468,12.50661,-0.05433025,0.2834,0.62322
64.568,12.512839999999999,-0.05434301,0.28465999999999997,0.62322
64.668,12.51903,-0.05459668,0.28601,0.62321
64.768,12.52513,-0.0547396,0.28758,0.62321
64.868,12.53122,-0.05504935,0.28902,0.62321
64.968,12.53737,-0.05557361,0.29011,0.6232
65.068,12.54359,-0.05534058,0.29125,0.6232
65.168,12.54984,-0.0547361,0.29201,0.6232
65.268,12.55608,-0.05490865,0.29183000000000003,0.6231899999999999
65.368,12.56225,-0.05500868,0.29251,0.6231899999999999
65.468,12.56837,-0.05459951,0.29448,0.6231899999999999
65.568,12.574580000000001,-0.05452673,0.29553,0.6231800000000001
65.668,12.5808,-0.05491544,0.2961,0.6231800000000001
65.768,12.586889999999999,-0.05535681,0.29766,0.6231800000000001
65.868,12.59292,-0.05521795,0.30022,0.62317
65.968,12.59895,-0.05460028,0.30335,0.62317
66.068,12.60494,-0.05431947,0.3064,0.62317
66.168,12.61093,-0.05458445,0.30845,0.62316
66.268,12.61696,-0.05520801,0.30901999999999996,0.62316
66.368,12.62297,-0.05569664,0.30883,0.62316
66.468,12.62894,-0.05591073,0.3086,0.62315
66.568,12.634889999999999,-0.05605287,0.3088,0.62315
66.668,12.64077,-0.05588514,0.30942,0.62315
66.768,12.64658,-0.05536239,0.31046999999999997,0.6231399999999999
66.868,12.652439999999999,-0.05545344,0.31243000000000004,0.6231399999999999
66.968,12.65837,-0.05621891,0.31469,0.6231399999999999
67.068,12.66421,-0.05650288,0.31543000000000004,0.6231300000000001
67.168,12.67002,-0.0563798,0.31546,0.6231300000000001
67.268,12.67591,-0.05644354,0.31642,0.6231300000000001
67.368,12.68178,-0.05647262,0.31754,0.62312
67.468,12.68757,-0.05645725,0.31813,0.62312
67.568,12.69334,-0.05702154,0.3187,0.62312
67.668,12.699119999999999,-0.05783608,0.3196,0.62311
67.768,12.70487,-0.05795653,0.32101,0.62311
67.868,12.7106,-0.0577986,0.32289,0.6231
67.968,12.716339999999999,-0.05801359,0.32503000000000004,0.6231
68.068,12.72209,-0.05835396,0.32687,0.6231
68.168,12.72787,-0.05860143,0.3281,0.6230899999999999
68.268,12.73365,-0.05879486,0.32894,0.6230899999999999
68.368,12.7394,-0.05871982,0.32977,0.6230899999999999
68.468,12.74511,-0.05810213,0.33097,0.62308
68.568,12.75079,-0.05740367,0.3322,0.62308
