Sample ID:	C:\MCC\MCC Cal\Test\Cotton_Rug_MCC_30K_min_211115_R2.txt
Sample Weight (mg):	4.82
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	107.291	80.004	19.996	103.068	20.168	0.323	0.005
0.500	107.278	80.003	19.996	103.072	20.173	-0.038	-0.011
1.000	107.279	80.004	19.996	103.073	20.171	0.077	-0.017
1.500	107.288	80.002	19.992	103.075	20.173	-0.020	-0.001
2.000	107.278	80.004	19.997	103.075	20.172	0.015	0.005
2.500	107.313	80.003	19.994	103.070	20.172	0.051	0.013
3.000	107.284	80.004	19.996	103.070	20.175	-0.157	0.016
3.500	107.303	80.004	19.995	103.073	20.172	0.044	-0.003
4.000	107.267	80.004	19.993	103.075	20.173	-0.022	-0.014
4.500	107.302	80.004	19.994	103.073	20.172	0.020	-0.009
5.000	107.289	80.004	19.995	103.072	20.172	0.055	0.010
5.500	107.301	80.004	19.994	103.069	20.174	-0.091	0.010
6.000	107.268	80.005	19.995	103.068	20.171	0.064	-0.011
6.500	107.259	80.004	19.995	103.065	20.172	0.051	-0.031
7.000	107.289	80.007	19.994	103.060	20.174	-0.131	-0.010
7.500	107.256	80.004	19.994	103.050	20.173	-0.026	0.009
8.000	107.303	80.005	19.994	103.041	20.174	-0.106	0.005
8.500	107.254	80.005	19.993	103.032	20.173	-0.009	0.006
9.000	107.277	80.004	19.994	103.025	20.174	-0.141	-0.014
9.500	107.270	80.002	19.994	103.026	20.173	-0.071	-0.005
10.000	107.268	80.004	19.997	103.033	20.173	-0.040	0.004
10.500	107.296	80.005	19.996	103.042	20.172	0.020	0.009
11.000	107.261	80.005	19.994	103.056	20.172	0.044	0.009
11.500	107.240	80.004	19.993	103.071	20.173	-0.016	-0.032
12.000	107.312	80.005	19.995	103.081	20.169	0.236	-0.003
12.500	107.251	80.005	19.992	103.090	20.170	0.152	0.031
13.000	107.286	80.004	19.996	103.092	20.172	0.046	-0.007
13.500	107.248	80.006	19.993	103.089	20.171	0.084	-0.014
14.000	107.280	80.002	19.993	103.074	20.172	0.038	-0.005
14.500	107.298	80.007	19.995	103.057	20.171	0.117	0.021
15.000	107.265	80.003	19.994	103.042	20.171	0.064	0.018
15.500	107.285	80.004	19.997	103.036	20.171	0.090	-0.014
16.000	107.285	80.004	19.994	103.033	20.170	0.159	0.003
16.500	107.271	80.005	19.995	103.040	20.169	0.199	0.003
17.000	107.270	80.004	19.992	103.050	20.169	0.245	-0.014
17.500	107.259	80.003	19.995	103.062	20.168	0.287	-0.013
18.000	107.277	80.004	19.994	103.072	20.168	0.316	-0.002
18.500	107.264	80.005	19.993	103.079	20.167	0.347	0.006
19.000	107.268	80.004	19.995	103.084	20.167	0.388	-0.002
19.500	107.284	80.005	19.994	103.088	20.165	0.483	0.006
20.000	107.327	80.005	19.994	103.093	20.164	0.576	0.039
20.500	107.328	80.005	19.994	103.095	20.166	0.444	0.051
21.000	107.317	80.004	19.994	103.101	20.163	0.602	0.017
21.500	107.315	80.003	19.994	103.110	20.162	0.678	-0.011
22.000	107.334	80.004	19.994	103.119	20.165	0.486	0.002
22.500	107.352	80.004	19.995	103.126	20.164	0.585	0.027
23.000	107.385	80.004	19.995	103.133	20.162	0.700	0.044
23.500	107.401	80.005	19.995	103.136	20.161	0.739	0.050
24.000	107.404	80.003	19.995	103.136	20.161	0.786	0.034
24.500	107.407	80.004	19.993	103.136	20.161	0.757	0.013
25.000	107.394	80.004	19.993	103.142	20.163	0.622	-0.002
25.500	107.446	80.005	19.994	103.149	20.159	0.898	0.014
26.000	107.407	80.004	19.994	103.153	20.159	0.903	0.026
26.500	107.461	80.004	19.993	103.156	20.158	0.956	0.014
27.000	107.461	80.004	19.994	103.159	20.159	0.861	0.034
27.500	107.516	80.005	19.994	103.154	20.158	0.940	0.055
28.000	107.488	80.004	19.994	103.151	20.156	1.105	0.041
28.500	107.523	80.005	19.994	103.154	20.160	0.834	0.017
29.000	107.540	80.004	19.995	103.160	20.159	0.882	0.029
29.500	107.609	80.005	19.995	103.164	20.154	1.211	0.069
30.000	107.614	80.005	19.994	103.172	20.159	0.924	0.080
30.500	107.655	80.005	19.994	103.175	20.156	1.103	0.060
31.000	107.646	80.003	19.995	103.176	20.157	1.039	0.039
31.500	107.683	80.005	19.994	103.183	20.154	1.213	0.030
32.000	107.733	80.007	19.994	103.193	20.154	1.205	0.058
32.500	107.709	80.005	19.994	103.201	20.154	1.205	0.057
33.000	107.742	80.005	19.995	103.209	20.154	1.244	0.017
33.500	107.797	80.005	19.993	103.213	20.152	1.331	0.048
34.001	107.801	80.004	19.993	103.212	20.153	1.293	0.074
34.501	107.831	80.008	19.994	103.204	20.150	1.470	0.047
35.000	107.868	80.004	19.993	103.196	20.151	1.425	0.050
35.500	107.956	80.007	19.995	103.188	20.149	1.535	0.096
36.001	108.025	80.007	19.996	103.188	20.148	1.652	0.141
36.501	108.030	80.007	19.993	103.191	20.147	1.705	0.116
37.001	108.050	80.004	19.995	103.197	20.149	1.544	0.049
37.501	108.119	80.008	19.993	103.205	20.149	1.566	0.057
38.000	108.133	80.006	19.992	103.213	20.148	1.630	0.086
38.500	108.191	80.007	19.994	103.218	20.148	1.606	0.077
39.000	108.222	80.006	19.995	103.220	20.147	1.681	0.081
39.500	108.301	80.005	19.994	103.226	20.144	1.919	0.099
40.000	108.302	80.005	19.995	103.233	20.146	1.760	0.095
40.500	108.365	80.005	19.994	103.239	20.144	1.908	0.072
41.000	108.429	80.005	19.994	103.242	20.143	1.934	0.095
41.500	108.473	80.003	19.995	103.242	20.145	1.841	0.117
42.000	108.570	80.004	19.994	103.237	20.144	1.886	0.124
42.500	108.574	80.005	19.995	103.230	20.143	1.970	0.121
43.000	108.666	80.003	19.995	103.224	20.143	1.989	0.098
43.500	108.674	80.002	19.994	103.218	20.143	1.992	0.098
44.000	108.811	80.002	19.993	103.217	20.142	2.011	0.123
44.500	108.851	80.003	19.994	103.217	20.141	2.064	0.161
45.000	108.909	80.003	19.995	103.216	20.143	1.976	0.137
45.500	108.985	80.002	19.995	103.217	20.143	1.971	0.116
46.000	109.059	80.003	19.996	103.222	20.143	1.966	0.142
46.500	109.110	80.002	19.994	103.227	20.145	1.817	0.138
47.000	109.175	80.001	19.995	103.233	20.141	2.116	0.121
47.500	109.225	80.002	19.993	103.241	20.142	2.035	0.115
48.000	109.325	80.001	19.995	103.247	20.141	2.074	0.132
48.500	109.416	80.003	19.994	103.251	20.144	1.894	0.170
49.000	109.475	80.003	19.994	103.255	20.140	2.194	0.170
49.500	109.556	80.005	19.994	103.257	20.143	1.980	0.145
50.000	109.593	80.002	19.994	103.256	20.142	2.029	0.130
50.501	109.724	80.004	19.994	103.256	20.139	2.220	0.143
51.001	109.788	80.003	19.994	103.255	20.139	2.247	0.181
51.501	109.871	80.003	19.994	103.255	20.140	2.163	0.171
52.001	109.957	80.003	19.994	103.255	20.138	2.295	0.158
52.500	110.064	80.003	19.994	103.254	20.138	2.322	0.181
53.000	110.117	80.003	19.994	103.254	20.139	2.211	0.177
53.500	110.215	80.004	19.994	103.254	20.139	2.229	0.156
54.000	110.309	80.004	19.996	103.256	20.137	2.340	0.171
54.501	110.376	80.003	19.996	103.258	20.138	2.278	0.176
55.001	110.476	80.002	19.994	103.265	20.138	2.315	0.164
55.500	110.586	80.004	19.994	103.272	20.134	2.560	0.189
56.001	110.670	80.004	19.994	103.278	20.138	2.320	0.202
56.501	110.767	80.003	19.995	103.282	20.134	2.542	0.188
57.000	110.881	80.003	19.995	103.286	20.138	2.309	0.196
57.500	110.975	80.003	19.994	103.283	20.134	2.562	0.209
58.000	111.073	80.004	19.996	103.283	20.133	2.633	0.200
58.501	111.159	80.003	19.996	103.284	20.135	2.487	0.188
59.001	111.271	80.003	19.995	103.284	20.138	2.295	0.191
59.500	111.369	80.003	19.996	103.280	20.135	2.504	0.204
60.000	111.526	80.003	19.994	103.277	20.134	2.538	0.233
60.500	111.619	80.003	19.996	103.274	20.134	2.599	0.253
61.000	111.727	80.002	19.995	103.272	20.134	2.551	0.226
61.500	111.834	80.003	19.994	103.267	20.133	2.610	0.208
62.000	111.928	80.003	19.996	103.267	20.132	2.700	0.208
62.501	112.062	80.004	19.997	103.270	20.133	2.654	0.214
63.001	112.180	80.004	19.995	103.271	20.130	2.848	0.240
63.501	112.313	80.002	19.994	103.271	20.133	2.659	0.252
64.001	112.412	80.003	19.994	103.274	20.131	2.734	0.241
64.500	112.544	80.005	19.993	103.274	20.129	2.884	0.231
65.000	112.669	80.001	19.996	103.272	20.132	2.687	0.244
65.500	112.757	80.004	19.994	103.273	20.131	2.752	0.235
66.001	112.874	80.005	19.994	103.267	20.131	2.763	0.209
66.501	113.044	80.003	19.994	103.262	20.129	2.892	0.246
67.000	113.140	80.004	19.995	103.261	20.131	2.764	0.277
67.500	113.273	80.002	19.995	103.265	20.135	2.488	0.248
68.000	113.388	80.003	19.996	103.267	20.131	2.735	0.238
68.501	113.503	80.004	19.998	103.273	20.134	2.592	0.239
69.001	113.616	80.003	19.995	103.280	20.133	2.641	0.229
69.501	113.799	80.003	19.994	103.287	20.132	2.703	0.261
70.001	113.946	80.001	19.994	103.288	20.134	2.577	0.313
70.501	114.050	80.002	19.994	103.289	20.134	2.546	0.291
71.001	114.193	80.003	19.995	103.289	20.132	2.683	0.249
71.500	114.300	80.003	19.995	103.290	20.132	2.681	0.248
72.000	114.454	80.003	19.995	103.289	20.133	2.659	0.255
72.500	114.545	80.002	19.997	103.289	20.131	2.759	0.253
73.000	114.681	80.003	19.994	103.288	20.131	2.796	0.236
73.500	114.842	80.002	19.995	103.285	20.131	2.750	0.263
74.000	114.952	80.003	19.996	103.284	20.130	2.846	0.284
74.500	115.115	80.006	19.996	103.284	20.128	2.967	0.271
75.000	115.267	80.003	19.995	103.281	20.128	2.959	0.294
75.500	115.415	80.004	19.995	103.279	20.129	2.884	0.308
76.000	115.514	80.002	19.994	103.282	20.128	2.985	0.274
76.501	115.666	80.003	19.994	103.282	20.129	2.884	0.249
77.001	115.806	80.003	19.994	103.285	20.130	2.815	0.271
77.500	115.939	80.003	19.995	103.295	20.129	2.870	0.282
78.000	116.107	80.003	19.995	103.307	20.127	3.024	0.287
78.500	116.214	80.003	19.994	103.311	20.131	2.778	0.288
79.001	116.377	80.002	19.994	103.310	20.133	2.619	0.273
79.501	116.524	80.002	19.994	103.307	20.129	2.895	0.290
80.000	116.684	80.003	19.994	103.299	20.131	2.778	0.309
80.500	116.819	80.002	19.994	103.292	20.132	2.678	0.301
81.000	116.968	80.002	19.995	103.287	20.131	2.776	0.290
81.501	117.161	80.002	19.995	103.288	20.135	2.484	0.313
82.001	117.326	80.003	19.994	103.285	20.131	2.784	0.350
82.500	117.453	80.004	19.995	103.282	20.128	2.936	0.324
83.000	117.589	80.002	19.993	103.275	20.131	2.778	0.278
83.501	117.804	80.003	19.994	103.272	20.134	2.546	0.307
84.001	117.976	80.004	19.995	103.271	20.131	2.756	0.369
84.500	118.096	80.003	19.994	103.274	20.130	2.835	0.340
85.000	118.238	80.003	19.995	103.275	20.133	2.656	0.277
85.500	118.424	80.004	19.994	103.281	20.132	2.729	0.295
86.000	118.571	80.005	19.994	103.283	20.130	2.854	0.331
86.500	118.724	80.004	19.994	103.285	20.129	2.925	0.317
87.000	118.888	80.005	19.995	103.288	20.132	2.685	0.309
87.500	119.060	80.004	19.994	103.293	20.123	3.293	0.326
88.000	119.187	80.004	19.994	103.294	20.128	2.998	0.318
88.501	119.389	80.005	19.995	103.295	20.132	2.667	0.314
89.001	119.548	80.005	19.994	103.295	20.131	2.788	0.345
89.500	119.674	80.004	19.993	103.294	20.133	2.640	0.323
90.000	119.843	80.005	19.994	103.292	20.131	2.741	0.290
90.500	120.047	80.005	19.994	103.290	20.132	2.687	0.334
91.000	120.186	80.004	19.994	103.289	20.128	2.956	0.358
