Names,Cotton_Sheet_R1,Cotton_Sheet_R2,Cotton_Sheet_R3,Mean,Std. Dev.
36,19.0,,,19.0,
37,21.6,,,21.6,
38,23.9,,,23.9,
39,26.2,,,26.2,
40,33.5,,28.2,30.8,3.7
41,40.3,,35.6,37.9,3.3
42,46.6,,41.8,44.2,3.4
43,51.4,,47.5,49.5,2.8
44,60.7,19.1,52.4,44.0,22.0
45,69.8,28.6,57.0,51.8,21.1
46,77.5,37.6,65.5,60.2,20.4
47,85.0,45.3,74.7,68.3,20.6
48,94.8,53.1,80.2,76.0,21.1
49,104.9,63.5,87.1,85.2,20.8
50,113.7,74.9,96.1,94.9,19.5
51,121.6,83.3,106.3,103.8,19.3
52,127.7,90.7,115.1,111.2,18.8
53,133.3,100.4,123.4,119.0,16.8
54,141.9,109.1,130.9,127.3,16.7
55,145.3,120.7,137.0,134.4,12.5
56,148.9,123.0,143.3,138.4,13.6
57,153.5,133.9,145.6,144.3,9.9
58,156.3,139.3,152.0,149.2,8.9
59,161.9,140.8,155.1,152.6,10.8
60,164.4,145.1,161.8,157.1,10.5
61,170.0,152.3,164.3,162.2,9.0
62,167.6,154.1,170.6,164.1,8.8
63,170.8,157.9,168.9,165.9,7.0
64,173.3,163.4,170.9,169.2,5.1
65,174.2,163.7,173.5,170.4,5.9
66,173.9,168.1,170.7,170.9,2.9
67,172.1,168.0,172.8,170.9,2.6
68,170.8,168.4,174.2,171.1,2.9
69,169.4,170.2,170.9,170.2,0.7
70,168.6,168.3,171.3,169.4,1.6
71,164.7,168.0,168.9,167.2,2.2
72,159.9,167.8,166.7,164.8,4.3
73,157.3,168.3,159.4,161.6,5.8
74,152.0,164.8,154.3,157.0,6.8
75,145.8,162.3,153.3,153.8,8.3
76,140.4,158.6,145.2,148.1,9.4
77,136.3,152.2,137.3,141.9,8.9
78,129.3,151.6,130.4,137.1,12.5
79,120.3,143.5,124.5,129.4,12.4
80,115.3,138.1,121.7,125.1,11.8
81,110.8,133.8,116.0,120.2,12.0
82,103.4,127.6,112.4,114.5,12.3
83,98.7,122.2,105.3,108.7,12.1
84,92.8,116.2,100.7,103.2,11.9
85,89.0,111.5,96.3,98.9,11.5
86,84.8,106.9,92.4,94.7,11.2
87,78.9,102.3,87.8,89.6,11.8
88,80.7,97.5,83.9,87.4,8.9
89,76.1,92.6,78.3,82.3,9.0
90,71.7,88.9,74.7,78.5,9.2
91,68.2,83.6,71.4,74.4,8.1
92,65.3,80.3,68.4,71.3,7.9
93,62.8,74.6,64.6,67.3,6.4
94,59.8,69.6,62.3,63.9,5.1
95,57.7,65.0,59.2,60.6,3.9
96,54.1,61.3,56.0,57.2,3.7
97,51.2,57.2,52.7,53.7,3.1
98,49.2,53.8,50.5,51.2,2.4
99,47.1,50.5,48.1,48.5,1.8
100,45.3,47.4,45.9,46.2,1.1
101,43.2,44.7,43.4,43.8,0.8
102,42.4,45.0,40.5,42.7,2.2
103,41.4,42.0,39.4,41.0,1.4
104,39.0,40.1,36.1,38.4,2.1
105,37.2,36.6,34.1,36.0,1.6
106,36.5,34.8,32.8,34.7,1.9
107,35.1,32.7,30.6,32.8,2.3
108,33.9,30.8,29.1,31.3,2.4
