##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
49.387,10.00917,-0.03938,0.02773512,0.61835
49.487,10.84597,-0.04025181,0.03465103,0.6184
49.587,11.03224,-0.04122928,0.03712868,0.61846
49.687,11.16163,-0.04236884,0.04006858,0.61851
49.787,11.263060000000001,-0.04222548,0.04485071,0.61856
49.887,11.35026,-0.042211,0.04754549,0.61862
49.987,11.42561,-0.04224232,0.0494145,0.6186699999999999
50.087,11.49111,-0.04215185,0.0534427,0.6187199999999999
50.187,11.55608,-0.04072998,0.0557816,0.6187699999999999
50.287,11.612860000000001,-0.04222266,0.05696617,0.61883
50.387,11.66823,-0.04209135,0.06079099,0.61888
50.487,11.718910000000001,-0.04070289,0.06267017,0.61893
50.587,11.76553,-0.04070417,0.06385217,0.6189899999999999
50.687,11.81081,-0.04189831,0.06698603,0.6190399999999999
50.787,11.85293,-0.04205918,0.06833905,0.6190899999999999
50.887,11.894,-0.04210084,0.07346963,0.61915
50.987,11.93348,-0.04288036,0.07538285,0.6192
51.087,11.97136,-0.04221705,0.07691459,0.61925
51.187,12.00769,-0.04347248,0.07715256,0.6193
51.287,12.04279,-0.04321756,0.07807401,0.61936
51.387,12.07644,-0.04307419,0.08170199,0.61941
51.487,12.1094,-0.04191117,0.08386041,0.61946
51.587,12.1416,-0.04321166,0.08545428,0.61951
51.687,12.17401,-0.04217188,0.08730404,0.61957
51.787,12.20523,-0.04295353,0.09003496,0.61962
51.887,12.23584,-0.04189997,0.09213933,0.6196699999999999
51.987,12.26569,-0.04333156,0.09198539,0.6197199999999999
52.087,12.29518,-0.04184881,0.09437612,0.61978
52.187,12.32372,-0.04325338,0.09492491,0.61983
52.287,12.35205,-0.04204287,0.09784814,0.61988
52.387,12.379380000000001,-0.04254052,0.09620352,0.61993
52.487,12.40618,-0.04231944,0.09729898,0.61998
52.587,12.43249,-0.04178439,0.0999623,0.6200399999999999
52.687,12.45825,-0.04189465,0.10364000000000001,0.6200899999999999
52.787,12.48397,-0.04246217,0.10285,0.6201399999999999
52.887,12.50913,-0.0428886,0.10492,0.62019
52.987,12.53423,-0.04250816,0.1077,0.62025
53.087,12.5586,-0.04354917,0.10747000000000001,0.6203
53.187,12.58286,-0.0449676,0.10905,0.62035
53.287,12.60715,-0.04487315,0.10983,0.6204
53.387,12.63074,-0.04486402,0.10858,0.62045
53.487,12.65465,-0.04547062,0.11287,0.62051
53.587,12.678189999999999,-0.04483947,0.1148,0.62056
53.687,12.70135,-0.04401786,0.11699000000000001,0.62061
53.787,12.72423,-0.04347861,0.11807999999999999,0.62066
53.887,12.74702,-0.04399937,0.11732000000000001,0.62071
53.987,12.76944,-0.04355144,0.11828,0.6207600000000001
54.087,12.79193,-0.0436605,0.1199,0.6208199999999999
54.187,12.81371,-0.04522321,0.12143,0.62087
54.287,12.83569,-0.04455833,0.12295,0.62092
54.387,12.85706,-0.04506702,0.12524000000000002,0.62097
54.487,12.87835,-0.04415968,0.12618,0.62102
54.587,12.89958,-0.0451009,0.12697999999999998,0.62107
54.687,12.92073,-0.04357551,0.12838,0.6211300000000001
54.787,12.94184,-0.04450391,0.12852,0.6211800000000001
54.887,12.962480000000001,-0.04355584,0.13067,0.6212300000000001
54.987,12.98306,-0.04395746,0.13094,0.62128
55.087,13.0031,-0.04463227,0.13080999999999998,0.62133
55.187,13.023480000000001,-0.0436927,0.13164,0.62138
55.287,13.043619999999999,-0.04516353,0.13022,0.62143
55.387,13.06369,-0.04468221,0.13373,0.62148
55.487,13.08348,-0.04375373,0.13646,0.62154
55.587,13.10317,-0.04375454,0.13668,0.62159
55.687,13.12274,-0.04445606,0.13733,0.62164
55.787,13.142179999999998,-0.04505845,0.13717000000000001,0.62169
55.887,13.16145,-0.04512223,0.13849,0.62174
55.987,13.180710000000001,-0.04398406,0.14074,0.62179
56.087,13.1999,-0.04380626,0.14263,0.62184
56.187,13.21902,-0.04518803,0.14253,0.6218899999999999
56.287,13.237960000000001,-0.04651746,0.14265,0.6219399999999999
56.387,13.256789999999999,-0.04659506,0.14401,0.6219899999999999
56.487,13.2754,-0.04659473,0.14234000000000002,0.62205
56.587,13.29394,-0.04636724,0.14455,0.6221
56.687,13.31238,-0.04524742,0.14665999999999998,0.62215
56.787,13.330810000000001,-0.0458114,0.14558,0.6222
56.887,13.349079999999999,-0.0456387,0.14733,0.62225
56.987,13.36687,-0.04529899,0.14643,0.6223
57.087,13.3845,-0.04527648,0.14633,0.62235
57.187,13.402439999999999,-0.04505417,0.14961,0.6224
57.287,13.420379999999998,-0.04536071,0.15192999999999998,0.62245
57.387,13.43821,-0.04531787,0.15063,0.6225
57.487,13.456029999999998,-0.04597398,0.15093,0.62255
57.587,13.4737,-0.04662522,0.15232,0.6226
57.687,13.491389999999999,-0.04661,0.15200999999999998,0.62265
57.787,13.50906,-0.04662564,0.1534,0.6227
57.887,13.526629999999999,-0.04522982,0.15354,0.62275
57.987,13.54411,-0.04652884,0.15583,0.6228
58.087,13.561620000000001,-0.04642235,0.15656,0.62285
58.187,13.57951,-0.0452957,0.15824000000000002,0.6229
58.287,13.59704,-0.04578811,0.1581,0.62295
58.387,13.61418,-0.04670748,0.15933,0.623
58.487,13.631260000000001,-0.04577803,0.15915,0.62305
58.587,13.64853,-0.04557411,0.16155,0.62311
58.687,13.665339999999999,-0.04669158,0.15971,0.62316
58.787,13.682220000000001,-0.04663895,0.16002,0.62321
58.887,13.69904,-0.04629671,0.16175,0.62326
58.987,13.715910000000001,-0.04640377,0.16342,0.62331
59.087,13.732420000000001,-0.0465985,0.16391,0.62336
59.187,13.748679999999998,-0.0466205,0.16601,0.6234
59.287,13.765279999999999,-0.04662125,0.16654000000000002,0.62345
59.387,13.781789999999999,-0.0466267,0.16715,0.6235
59.487,13.79832,-0.04659956,0.16602,0.62355
59.587,13.814810000000001,-0.04777388,0.16851,0.6236
59.687,13.831420000000001,-0.04802506,0.16839,0.62365
59.787,13.8477,-0.04804147,0.16990999999999998,0.6237
59.887,13.864189999999999,-0.04804368,0.1676,0.62375
59.987,13.88061,-0.04756369,0.17312,0.6238
60.087,13.896870000000002,-0.04655996,0.17351,0.62385
60.187,13.913179999999999,-0.04658468,0.17249,0.6239
60.287,13.92925,-0.04530028,0.17109000000000002,0.62395
60.387,13.94564,-0.04660449,0.17005,0.624
60.487,13.961929999999999,-0.04662091,0.17402,0.62405
60.587,13.9779,-0.04661595,0.17513,0.6241
60.687,13.993879999999999,-0.0465312,0.1757,0.62415
60.787,14.009770000000001,-0.04765782,0.17409000000000002,0.6242
60.887,14.02561,-0.04793314,0.17676,0.62425
60.987,14.041329999999999,-0.04792466,0.1793,0.6243
61.087,14.05688,-0.04797388,0.17851,0.62435
61.187,14.07228,-0.04700439,0.17697000000000002,0.6244
61.287,14.087539999999999,-0.0476867,0.18004,0.62444
61.387,14.10314,-0.04779545,0.18211,0.62449
61.487,14.11868,-0.04781357,0.18195999999999998,0.62454
61.587,14.134070000000001,-0.04736025,0.18115,0.62459
61.687,14.1496,-0.04650138,0.18164,0.62464
61.787,14.16504,-0.04707318,0.18004,0.62469
61.887,14.180420000000002,-0.04783404,0.18231,0.62474
61.987,14.19576,-0.04782233,0.18118,0.62479
62.087,14.21103,-0.04779699,0.18047,0.62484
62.187,14.2263,-0.0485035,0.1833,0.62489
62.287,14.24172,-0.04894655,0.18356,0.62493
62.387,14.25705,-0.04783301,0.1846,0.62498
62.487,14.272429999999998,-0.04782057,0.1832,0.62503
62.587,14.28775,-0.04782411,0.1844,0.62508
62.687,14.302829999999998,-0.04788904,0.18503,0.62513
62.787,14.317960000000001,-0.04694839,0.18654,0.6251800000000001
62.887,14.332989999999999,-0.04667005,0.18841,0.6252300000000001
62.987,14.347979999999998,-0.04787726,0.18943,0.6252800000000001
63.087,14.36297,-0.04791393,0.18913,0.62532
63.187,14.377889999999999,-0.04792883,0.18904,0.62537
63.287,14.39282,-0.04789156,0.19268,0.62542
63.387,14.40771,-0.0484691,0.19297999999999998,0.62547
63.487,14.4226,-0.04930204,0.19108,0.62552
63.587,14.437389999999999,-0.04924513,0.19301,0.62557
63.687,14.452010000000001,-0.04924903,0.19233,0.62561
63.787,14.466679999999998,-0.04925014,0.19297999999999998,0.62566
63.887,14.48125,-0.04925002,0.19424,0.62571
63.987,14.49596,-0.04925,0.1942,0.62576
64.087,14.510679999999999,-0.04925,0.19402,0.6258100000000001
64.187,14.525329999999999,-0.04925,0.19438,0.6258600000000001
64.287,14.53992,-0.04925,0.19549,0.6259
64.387,14.55446,-0.04925,0.19644,0.62595
64.487,14.56901,-0.04925,0.19841,0.626
64.587,14.58344,-0.04925,0.19838,0.62605
64.687,14.59785,-0.04925001,0.19898,0.6261
64.787,14.61224,-0.04925009,0.20075,0.6261399999999999
64.887,14.62659,-0.0492495,0.20229,0.6261899999999999
64.987,14.641029999999999,-0.04924728,0.20248,0.62624
65.087,14.655339999999999,-0.04935567,0.20353,0.62629
65.187,14.66968,-0.050586,0.20499,0.62634
65.287,14.68392,-0.05053451,0.20551999999999998,0.62638
65.387,14.697770000000002,-0.05056066,0.20506999999999997,0.62643
65.487,14.71168,-0.05054703,0.20528000000000002,0.62648
65.587,14.725620000000001,-0.05065798,0.20572,0.62653
65.687,14.73976,-0.049523,0.20644,0.62657
65.787,14.753929999999999,-0.04923025,0.20603000000000002,0.62662
65.887,14.768,-0.04924827,0.20477,0.62667
65.987,14.78209,-0.04937056,0.20758000000000001,0.6267199999999999
66.087,14.796170000000002,-0.0504245,0.20855,0.62676
66.187,14.810139999999999,-0.05055262,0.20778000000000002,0.6268100000000001
66.287,14.824129999999998,-0.05057659,0.20881999999999998,0.6268600000000001
66.387,14.8381,-0.05053296,0.21070999999999998,0.6269100000000001
66.487,14.852089999999999,-0.0514597,0.20961,0.62695
66.587,14.866,-0.05191397,0.21183000000000002,0.627
66.687,14.87982,-0.0518813,0.21288,0.62705
66.787,14.89373,-0.05187906,0.21254,0.6271
66.887,14.908,-0.05188004,0.21456999999999998,0.6271399999999999
66.987,14.92195,-0.05187984,0.21615,0.6271899999999999
67.087,14.93604,-0.0518812,0.21832,0.6272399999999999
67.187,14.94987,-0.05188213,0.21818,0.6272800000000001
67.287,14.96365,-0.05182294,0.21721999999999997,0.62733
67.387,14.977429999999998,-0.05242446,0.21773,0.62738
67.487,14.99111,-0.05242028,0.21896,0.62742
67.587,15.00475,-0.05182373,0.22024000000000002,0.62747
67.687,15.018579999999998,-0.05188172,0.2194,0.62752
67.787,15.03226,-0.05188003,0.22004,0.62757
67.887,15.045829999999999,-0.05188704,0.21918,0.62761
67.987,15.059389999999999,-0.05153088,0.22066,0.62766
68.087,15.07288,-0.05046218,0.22038000000000002,0.62771
68.187,15.08646,-0.05071459,0.22032,0.62775
68.287,15.099979999999999,-0.05203575,0.22285,0.6278
68.387,15.11359,-0.05195809,0.22496999999999998,0.62785
68.487,15.12713,-0.05200399,0.22246,0.62789
68.587,15.140229999999999,-0.05202827,0.22429000000000002,0.6279399999999999
68.687,15.15329,-0.05299145,0.2249,0.6279899999999999
68.787,15.166520000000002,-0.05330519,0.22585999999999998,0.62803
68.887,15.17959,-0.05364897,0.22664,0.62808
68.987,15.19294,-0.05362983,0.22693000000000002,0.62813
69.087,15.206220000000002,-0.05364115,0.22575,0.62817
69.187,15.2195,-0.05363965,0.22559,0.62822
69.287,15.232610000000001,-0.05365796,0.22871,0.62826
69.387,15.24584,-0.05354394,0.23087,0.62831
69.487,15.259120000000001,-0.05461631,0.22983,0.62836
69.587,15.27227,-0.05495648,0.23001999999999997,0.6284
69.687,15.28555,-0.05494872,0.23108,0.62845
69.787,15.298670000000001,-0.05495002,0.23306,0.6285
69.887,15.31189,-0.05494947,0.23337,0.62854
69.987,15.32496,-0.05495389,0.23385,0.62859
70.087,15.33831,-0.0549439,0.23306,0.62863
70.187,15.35171,-0.05483972,0.23446999999999998,0.62868
70.287,15.36514,-0.05383042,0.23523000000000002,0.62873
70.387,15.37841,-0.05362007,0.23631,0.6287699999999999
70.487,15.391739999999999,-0.0542073,0.23558,0.6288199999999999
70.587,15.404739999999999,-0.05503565,0.23755,0.6288600000000001
70.687,15.41777,-0.05494291,0.23825,0.6289100000000001
70.787,15.43082,-0.0549475,0.23744,0.6289600000000001
70.887,15.44387,-0.05496283,0.23817,0.629
70.987,15.4569,-0.05490587,0.23975,0.62905
71.087,15.46979,-0.05566231,0.24079,0.6290899999999999
71.187,15.48275,-0.0563051,0.24114000000000002,0.6291399999999999
71.287,15.49559,-0.05628256,0.24194000000000002,0.6291899999999999
71.387,15.50855,-0.05622119,0.24191999999999997,0.6292300000000001
71.487,15.521279999999999,-0.05723867,0.24411999999999998,0.6292800000000001
71.587,15.53403,-0.05634674,0.24399,0.62932
71.687,15.54677,-0.05626578,0.24477,0.62937
71.787,15.559529999999999,-0.05626991,0.2439,0.62941
71.887,15.5723,-0.0562686,0.24341999999999997,0.62946
71.987,15.585,-0.05627922,0.24599000000000001,0.6295
72.087,15.597760000000001,-0.0562478,0.24645,0.62955
72.187,15.61031,-0.05661936,0.24650999999999998,0.62959
72.287,15.622829999999999,-0.05659026,0.24770999999999999,0.62964
72.387,15.635329999999998,-0.05660195,0.24620999999999998,0.62969
72.487,15.647829999999999,-0.05659978,0.24781999999999998,0.62973
72.587,15.66044,-0.0565997,0.24884,0.62978
72.687,15.67305,-0.05660332,0.24859,0.6298199999999999
72.787,15.68574,-0.05658414,0.25035999999999997,0.6298699999999999
72.887,15.698279999999999,-0.05687692,0.25061,0.6299100000000001
72.987,15.710939999999999,-0.0576363,0.25217,0.6299600000000001
73.087,15.7236,-0.05757388,0.2526,0.63
73.187,15.736229999999999,-0.05759264,0.25351,0.63005
73.287,15.74885,-0.05758994,0.2549,0.6300899999999999
73.387,15.761420000000001,-0.05758993,0.25358,0.6301399999999999
73.487,15.773970000000002,-0.05759002,0.25411999999999996,0.6301800000000001
73.587,15.7865,-0.05759,0.25448000000000004,0.6302300000000001
73.687,15.79889,-0.05759,0.25454,0.63027
73.787,15.811420000000002,-0.05758998,0.25556,0.63032
73.887,15.824079999999999,-0.05759012,0.25505,0.63036
73.987,15.836829999999999,-0.05758957,0.25667,0.6304
74.087,15.84935,-0.05758979,0.25601999999999997,0.63045
74.187,15.86191,-0.05761109,0.25714000000000004,0.63049
74.287,15.874239999999999,-0.05845161,0.25783,0.63054
74.387,15.8866,-0.05894945,0.25889,0.63058
74.487,15.89892,-0.05889895,0.25795999999999997,0.63063
74.587,15.91128,-0.05889844,0.26045,0.63067
74.687,15.92361,-0.0589006,0.26169000000000003,0.63072
74.787,15.93586,-0.05889945,0.26181,0.63076
74.887,15.948189999999999,-0.05890083,0.26119000000000003,0.63081
74.987,15.960429999999999,-0.05890567,0.26192,0.63085
75.087,15.972710000000001,-0.05883598,0.26186,0.63089
75.187,15.98499,-0.05936264,0.26391,0.63094
75.287,15.997179999999998,-0.05903565,0.26461999999999997,0.63098
75.387,16.009420000000002,-0.05890345,0.26493,0.63103
75.487,16.021620000000002,-0.05889508,0.26489,0.63107
75.587,16.0337,-0.05889548,0.26461,0.63112
75.687,16.045939999999998,-0.05892501,0.26433,0.63116
75.787,16.05811,-0.05884986,0.26566,0.6312
