Sample ID:	C:\MCC\MCC Cal\Test\Countertop_Plastic_LaminateB_MCC_30K_min_211215_R1.txt
Sample Weight (mg):	4.52
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	109.723	80.003	19.996	102.990	20.388	-0.130	0.050
0.499	109.687	80.005	19.998	102.992	20.390	-0.283	-0.018
1.000	109.651	80.002	19.995	103.000	20.387	-0.070	-0.068
1.500	109.733	80.000	19.995	103.001	20.390	-0.293	-0.013
2.000	109.719	80.000	19.997	102.996	20.388	-0.126	0.057
2.500	109.659	80.003	19.993	102.994	20.388	-0.163	-0.003
3.000	109.757	80.002	19.996	102.992	20.391	-0.368	-0.018
3.500	109.669	80.007	19.994	102.990	20.387	-0.097	0.024
4.000	109.756	80.004	19.996	102.990	20.392	-0.457	0.005
4.500	109.696	80.008	19.995	102.991	20.393	-0.506	0.013
5.000	109.712	80.004	19.995	102.992	20.390	-0.267	-0.008
5.500	109.691	80.004	19.994	102.993	20.392	-0.411	-0.025
6.000	109.697	80.004	19.994	102.991	20.393	-0.531	-0.011
6.500	109.692	80.002	19.995	102.990	20.395	-0.637	-0.007
7.000	109.730	80.003	19.995	102.991	20.387	-0.058	0.017
7.500	109.693	80.003	19.993	102.992	20.391	-0.376	0.017
8.000	109.696	79.999	19.996	102.994	20.390	-0.254	-0.017
8.500	109.729	80.002	19.993	102.995	20.391	-0.328	0.002
9.000	109.684	80.003	19.995	102.996	20.389	-0.203	0.012
9.499	109.692	80.003	19.995	103.001	20.392	-0.413	-0.025
10.000	109.723	80.003	19.992	103.007	20.392	-0.440	0.000
10.500	109.733	80.003	19.992	103.010	20.385	0.093	0.040
10.999	109.713	80.003	19.994	103.013	20.389	-0.229	0.016
11.499	109.722	80.004	19.996	103.014	20.389	-0.238	-0.010
11.999	109.680	80.001	19.995	103.013	20.387	-0.093	-0.022
12.499	109.707	80.005	19.994	103.012	20.386	0.019	-0.024
13.000	109.691	80.002	19.994	103.013	20.389	-0.176	-0.002
13.500	109.693	80.004	19.994	103.016	20.385	0.072	-0.002
13.999	109.708	80.004	19.993	103.018	20.384	0.138	0.001
14.500	109.750	80.005	19.993	103.016	20.386	-0.023	0.037
15.001	109.714	80.003	19.994	103.015	20.386	0.031	0.031
15.500	109.724	80.012	19.996	103.014	20.383	0.233	-0.010
16.000	109.737	80.003	19.995	103.013	20.383	0.211	-0.001
16.500	109.721	79.998	19.996	103.017	20.386	0.027	0.010
17.000	109.765	80.007	19.993	103.024	20.384	0.136	0.012
17.500	109.772	80.000	19.993	103.031	20.383	0.202	0.039
18.000	109.764	79.999	19.996	103.040	20.382	0.283	0.025
18.500	109.759	80.005	19.995	103.048	20.381	0.372	-0.007
19.000	109.813	80.002	19.996	103.051	20.379	0.506	0.018
19.500	109.790	80.004	19.994	103.054	20.379	0.514	0.040
20.000	109.853	80.004	19.996	103.054	20.382	0.256	0.036
20.500	109.796	80.002	19.996	103.053	20.382	0.281	0.023
21.000	109.861	80.003	19.994	103.053	20.378	0.543	0.007
21.500	109.879	80.003	19.997	103.054	20.379	0.471	0.045
22.000	109.862	80.006	19.998	103.057	20.379	0.475	0.042
22.500	109.882	80.006	19.996	103.063	20.380	0.431	0.003
23.000	109.928	80.005	19.995	103.068	20.375	0.799	0.035
23.500	109.908	80.008	19.996	103.074	20.374	0.855	0.046
24.000	109.957	80.002	19.997	103.075	20.372	1.020	0.027
24.501	109.923	80.006	19.994	103.076	20.373	0.896	0.022
25.000	109.954	80.005	19.994	103.079	20.374	0.836	0.006
25.499	109.968	80.007	19.995	103.082	20.373	0.943	0.021
25.999	109.983	80.004	19.996	103.089	20.371	1.089	0.037
26.500	110.038	80.005	19.994	103.103	20.372	0.982	0.049
27.000	110.038	80.005	19.995	103.115	20.373	0.943	0.063
27.501	110.060	80.008	19.995	103.122	20.367	1.356	0.039
28.000	110.040	80.006	19.996	103.128	20.368	1.292	0.012
28.500	110.105	80.006	19.996	103.134	20.368	1.259	0.023
29.000	110.145	80.007	19.995	103.142	20.365	1.492	0.075
29.499	110.180	80.004	19.996	103.151	20.364	1.587	0.090
29.999	110.229	80.006	19.996	103.158	20.368	1.269	0.080
30.499	110.253	80.006	19.995	103.163	20.366	1.457	0.079
30.999	110.244	80.005	19.995	103.158	20.366	1.461	0.044
31.500	110.324	80.006	19.993	103.151	20.368	1.271	0.043
32.000	110.345	80.003	19.994	103.145	20.366	1.397	0.086
32.499	110.371	80.003	19.996	103.140	20.367	1.347	0.074
32.999	110.447	80.003	19.994	103.136	20.368	1.262	0.074
33.500	110.454	80.004	19.993	103.136	20.362	1.708	0.092
34.001	110.557	80.001	19.995	103.136	20.364	1.557	0.097
34.500	110.555	80.004	19.999	103.135	20.362	1.689	0.106
35.000	110.591	80.002	20.002	103.141	20.362	1.728	0.067
35.500	110.680	80.001	19.996	103.148	20.360	1.829	0.079
35.999	110.743	80.006	19.996	103.156	20.358	2.031	0.138
36.499	110.767	80.003	19.994	103.166	20.362	1.704	0.120
36.999	110.841	80.010	19.994	103.176	20.357	2.056	0.093
37.499	110.887	79.994	19.998	103.181	20.356	2.120	0.109
