Time after Ignition,EPDM_Membrane_R1,EPDM_Membrane_R2,EPDM_Membrane_R3,EPDM_Membrane_R4,Mean,Std. Dev.
0.0,17.4,9.8,10.2,13.9,12.8,3.6
0.25,19.4,13.8,12.1,15.1,15.1,3.1
0.5,23.6,17.3,13.6,18.5,18.3,4.1
0.75,27.7,20.5,14.9,21.7,21.2,5.3
1.0,30.9,23.0,18.7,24.1,24.2,5.1
1.25,34.0,25.8,22.6,26.6,27.3,4.8
1.5,36.5,31.1,25.1,28.6,30.3,4.8
1.75,42.0,36.9,27.9,32.9,35.0,6.0
2.0,47.0,40.6,35.1,37.7,40.1,5.1
2.25,50.8,44.3,41.0,40.7,44.2,4.7
2.5,54.6,49.3,45.5,45.2,48.6,4.4
2.75,58.7,54.9,50.7,47.2,52.9,5.0
3.0,61.0,61.7,58.4,55.6,59.2,2.8
3.25,67.7,67.4,66.2,62.5,66.0,2.4
3.5,72.2,71.9,71.5,68.1,70.9,1.9
3.75,76.1,76.0,77.5,73.0,75.6,1.9
4.0,78.9,83.3,86.3,85.5,83.5,3.3
4.25,86.4,89.0,93.3,93.9,90.7,3.6
4.5,89.2,96.0,100.3,103.3,97.2,6.1
4.75,95.3,99.6,107.8,111.1,103.4,7.3
5.0,97.6,106.9,118.2,117.5,110.1,9.8
5.25,100.2,113.5,123.3,132.6,117.4,13.9
5.5,102.1,120.0,130.7,147.9,125.2,19.2
5.75,108.7,126.7,135.9,159.5,132.7,21.2
6.0,113.8,134.5,143.9,170.4,140.6,23.5
6.25,119.7,142.5,153.2,184.5,150.0,26.9
6.5,123.6,148.2,158.2,197.4,156.9,30.7
6.75,134.2,159.5,161.2,210.5,166.3,31.9
7.0,141.3,166.8,169.1,220.4,174.4,33.2
7.25,148.7,173.2,172.8,235.8,182.6,37.3
7.5,154.2,183.0,180.2,252.2,192.4,41.9
7.75,160.5,186.9,185.8,260.0,198.3,42.9
8.0,168.1,198.0,189.0,264.4,204.9,41.6
8.25,178.6,202.4,196.1,284.4,215.4,47.1
8.5,183.7,205.7,198.3,296.3,221.0,51.0
8.75,191.3,214.2,203.9,305.3,228.7,52.0
9.0,195.1,216.3,206.8,313.7,233.0,54.5
9.25,196.5,225.0,210.4,324.5,239.1,58.1
9.5,207.9,227.9,216.2,337.6,247.4,60.7
9.75,213.7,236.5,221.5,341.4,253.2,59.5
10.0,220.7,245.2,229.1,360.3,263.9,65.1
10.25,229.1,249.2,234.8,361.6,268.7,62.6
10.5,232.6,251.3,237.7,359.8,270.3,60.1
10.75,239.4,264.1,238.1,373.2,278.7,64.1
11.0,248.2,266.1,252.9,397.3,291.1,71.2
11.25,250.5,279.3,257.9,396.1,296.0,67.9
11.5,262.7,282.1,258.7,404.3,302.0,69.0
11.75,269.0,286.0,265.4,407.4,306.9,67.6
12.0,281.2,293.7,268.5,423.3,316.7,71.8
12.25,280.3,301.2,271.0,431.5,321.0,74.7
12.5,289.4,304.3,284.7,428.7,326.8,68.4
12.75,299.4,317.5,292.2,440.2,337.4,69.4
13.0,307.3,315.9,285.1,455.6,341.0,77.5
13.25,311.7,326.3,296.5,454.2,347.2,72.4
13.5,318.8,332.7,306.7,471.6,357.4,76.9
13.75,322.3,344.7,307.2,472.8,361.8,75.6
14.0,331.0,342.1,309.9,473.3,364.1,74.0
14.25,340.3,356.2,309.7,494.5,375.2,81.8
14.5,347.7,371.0,315.8,499.9,383.6,80.8
14.75,348.5,372.3,323.2,499.3,385.8,78.3
15.0,349.2,378.2,327.2,497.9,388.1,76.1
15.25,358.6,377.9,327.0,507.8,392.8,79.5
15.5,371.9,384.3,335.2,520.3,403.0,81.0
15.75,371.8,389.5,344.1,517.0,405.6,76.6
16.0,372.4,408.8,336.4,500.7,404.6,70.6
16.25,378.7,395.9,347.7,525.6,412.0,78.3
16.5,387.6,401.2,353.7,532.4,418.7,78.4
16.75,395.8,405.8,346.6,540.2,422.1,82.9
17.0,393.6,401.2,350.3,526.3,417.8,75.7
17.25,403.4,413.3,363.1,541.3,430.3,77.1
17.5,400.4,414.7,369.8,551.5,434.1,80.5
17.75,413.0,425.4,374.1,537.6,437.5,70.2
18.0,411.8,426.2,368.1,547.6,438.5,76.9
18.25,407.5,425.3,376.2,542.3,437.8,72.6
18.5,418.7,426.2,383.9,548.8,444.4,72.0
18.75,415.9,434.3,393.0,560.7,451.0,75.1
19.0,431.9,432.2,389.9,551.0,451.2,69.4
19.25,430.9,423.9,382.1,568.4,451.3,80.9
19.5,427.2,440.0,403.1,549.0,454.8,64.6
19.75,435.3,433.9,389.9,565.0,456.0,75.6
20.0,439.8,448.5,401.1,563.3,463.2,69.8
20.25,452.4,449.2,402.1,577.1,470.2,74.9
20.5,439.9,454.1,393.5,559.7,461.8,70.2
20.75,444.8,434.9,398.6,583.8,465.5,81.3
21.0,456.4,456.2,407.2,550.8,467.6,60.1
21.25,458.5,446.4,410.5,544.5,465.0,56.8
21.5,450.2,461.8,419.0,565.9,474.2,63.8
21.75,463.1,459.3,416.9,572.6,478.0,66.5
22.0,450.7,466.2,415.5,560.5,473.2,62.0
22.25,468.9,469.0,425.8,567.7,482.9,60.1
22.5,471.7,469.5,426.8,560.1,482.0,56.0
22.75,472.0,466.2,426.8,579.8,486.2,65.5
23.0,480.5,461.1,427.0,583.8,488.1,67.5
23.25,478.5,464.9,429.1,578.6,487.8,64.0
23.5,477.3,465.6,434.7,588.5,491.5,67.1
23.75,477.2,479.7,437.2,570.6,491.2,56.4
24.0,478.8,478.4,436.6,569.4,490.8,56.0
24.25,482.1,480.2,441.0,571.5,493.7,55.2
24.5,486.1,474.9,441.1,569.2,492.8,54.4
24.75,492.5,488.0,455.7,572.3,502.1,49.5
25.0,490.8,493.7,448.0,566.2,499.7,49.1
25.25,495.1,484.0,457.1,572.9,502.3,49.7
25.5,483.2,493.0,456.2,563.9,499.1,45.9
25.75,489.5,482.6,463.0,585.8,505.2,54.8
26.0,500.2,490.4,465.4,559.1,503.8,39.7
26.25,503.1,495.0,475.9,557.1,507.8,34.8
26.5,489.9,505.0,459.8,574.8,507.4,48.7
26.75,511.4,498.2,464.0,567.3,510.2,43.0
27.0,498.1,498.5,473.3,569.7,509.9,41.6
27.25,485.0,500.0,476.0,564.6,506.4,40.0
27.5,495.9,506.4,478.7,552.4,508.3,31.5
27.75,504.8,493.2,462.0,554.5,503.6,38.4
28.0,504.2,497.2,477.9,572.4,512.9,41.2
28.25,498.6,501.3,481.2,565.8,511.7,37.1
28.5,499.5,501.8,478.1,579.2,514.6,44.3
28.75,493.3,491.5,463.0,554.3,500.5,38.4
29.0,488.4,504.3,486.4,554.2,508.3,31.6
29.25,505.2,503.0,477.6,569.7,513.9,39.2
29.5,505.8,503.8,484.0,558.6,513.0,31.9
29.75,498.5,499.6,480.9,549.1,507.0,29.3
30.0,502.9,514.8,485.1,555.6,514.6,30.0
30.25,482.7,506.7,493.2,558.5,510.3,33.6
30.5,498.3,500.2,477.7,550.6,506.7,31.0
30.75,500.1,500.5,482.8,556.0,509.9,31.9
31.0,487.1,506.1,483.5,552.9,507.4,31.9
31.25,503.5,512.3,486.5,554.2,514.1,28.8
31.5,499.5,496.5,487.2,544.6,506.9,25.7
31.75,505.3,500.6,481.5,550.0,509.3,29.0
32.0,488.1,493.0,492.1,541.5,503.7,25.3
32.25,490.3,507.2,492.4,547.6,509.4,26.6
32.5,500.3,502.7,488.0,540.7,507.9,22.8
32.75,510.1,506.9,485.2,537.5,509.9,21.5
33.0,487.0,511.2,482.1,556.8,509.3,34.1
33.25,498.7,501.5,481.8,554.3,509.1,31.3
33.5,490.8,501.6,482.6,530.1,501.3,20.8
33.75,487.4,491.3,480.4,534.0,498.3,24.2
34.0,493.4,501.8,490.5,543.2,507.2,24.4
34.25,499.2,499.8,486.4,542.9,507.1,24.7
34.5,495.8,484.6,487.3,531.4,499.8,21.6
34.75,486.8,498.5,489.7,526.9,500.5,18.3
35.0,492.8,492.6,489.1,518.5,498.2,13.6
35.25,499.9,490.0,495.1,533.2,504.6,19.5
35.5,495.8,491.9,494.2,526.1,502.0,16.1
35.75,502.0,481.3,484.5,540.7,502.1,27.3
36.0,492.8,488.1,491.4,520.0,498.1,14.7
36.25,489.0,504.5,478.4,519.6,497.9,18.0
36.5,491.1,479.0,490.7,514.5,493.8,14.9
36.75,478.9,484.8,487.0,515.7,491.6,16.4
37.0,494.3,485.8,477.5,513.9,492.9,15.6
37.25,490.0,473.4,488.3,533.1,496.2,25.7
37.5,485.1,475.1,479.5,514.8,488.6,17.9
37.75,486.9,490.4,477.2,509.9,491.1,13.7
