Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.1385955810546875,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.849123001098633,15.262179374694824,1,1,1,1.0008713006973267,1.0311846733093262,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,33.22978210449219,34.34020233154297,137.28973388671875,105.35530853271484,106.75162506103516,0.000846893701236695,0.0462639145553112,20.995784759521484,-451.0841369628906,-0.11904030293226242,,
1,0,33.04298782348633,34.305049896240234,135.59010314941406,105.53193664550781,106.59491729736328,0.0010566269047558308,0.054959189146757126,20.98615074157715,120.30472564697266,-0.09065569937229156,0.0,0.0
2,0.25,32.99602127075195,34.46732711791992,135.9007568359375,105.53447723388672,106.67130279541016,0.0010424425126984715,0.05474767088890076,20.986263275146484,120.09454345703125,-0.0969173014163971,0.0,0.0
3,0.5,32.5258674621582,34.166080474853516,137.89901733398438,105.53743743896484,106.68295288085938,0.0010296765249222517,0.054557304829359055,20.986364364624023,120.16460418701172,-0.0976513922214508,0.0,0.0
4,0.75,32.748722076416016,34.35237121582031,138.132568359375,105.52264404296875,106.87903594970703,0.001018187147565186,0.05438597500324249,20.9864559173584,120.28471374511719,-0.11552993953227997,0.0,0.0
5,1,31.557933807373047,33.56835174560547,131.86380004882812,105.53404998779297,106.6969223022461,0.0010020912159234285,0.05423177778720856,20.98653793334961,120.24467468261719,-0.09912630170583725,0.0,0.0
6,1.25,31.839521408081055,32.75815963745117,136.92889404296875,105.53363037109375,106.11471557617188,0.0009876048425212502,0.054093003273010254,20.986610412597656,120.19463348388672,-0.04966914653778076,0.0,0.0
7,1.5,31.5052547454834,32.93125915527344,135.8564910888672,105.52560424804688,106.11145782470703,0.0009745671413838863,0.05390331149101257,20.986677169799805,120.27470397949219,-0.05007954314351082,0.0,0.0
8,1.75,31.370521545410156,32.53778839111328,140.34759521484375,105.51757049560547,106.81196594238281,0.0009628331754356623,0.05373258888721466,20.986736297607422,120.18463134765625,-0.1102868840098381,0.0,0.0
9,2,30.84880256652832,32.246944427490234,134.94131469726562,105.53870391845703,106.50456237792969,0.0009509940282441676,0.0535789392888546,20.98678970336914,120.19463348388672,-0.0824052095413208,0.0,0.0
10,2.25,30.9674015045166,32.73996353149414,135.96792602539062,105.5522232055664,106.12589263916016,0.0009403388248756528,0.053440652787685394,20.98706817626953,120.29472351074219,-0.04902837797999382,0.0,0.0
11,2.5,31.522289276123047,33.03840637207031,139.61485290527344,105.52982330322266,106.74256896972656,0.000930749112740159,0.05326581373810768,20.98731803894043,120.29472351074219,-0.10335776209831238,0.0,0.0
12,2.75,31.606916427612305,32.784400939941406,135.14053344726562,105.522216796875,107.05463409423828,0.0009221183718182147,0.05310845747590065,20.9875431060791,120.14459228515625,-0.13041584193706512,0.0,0.0
13,3,31.000839233398438,32.930267333984375,136.8510284423828,105.52729034423828,106.92142486572266,0.0009162687929347157,0.05296683683991432,20.987747192382812,120.20464324951172,-0.11871854215860367,0.0,0.0
14,3.25,30.961265563964844,32.49287033081055,138.43788146972656,105.53109741210938,106.3434066772461,0.0009110041428357363,0.05283937603235245,20.987930297851562,120.25469207763672,-0.06935980916023254,0.0,0.0
15,3.5,31.39481544494629,32.896148681640625,132.63775634765625,105.53785705566406,106.94843292236328,0.0009062659810297191,0.05272466316819191,20.988094329833984,120.21465301513672,-0.12009744346141815,0.0,0.0
16,3.75,31.501590728759766,32.424747467041016,137.01513671875,105.52898406982422,106.30335235595703,0.0009020016295835376,0.052549462765455246,20.988243103027344,120.17461395263672,-0.06613316386938095,0.0,0.0
17,4,31.547813415527344,33.11972427368164,144.854736328125,105.53616333007812,106.67829132080078,0.0008981637074612081,0.05239178240299225,20.98837661743164,120.24467468261719,-0.09736581891775131,0.0,0.0
18,4.25,30.797096252441406,32.72494125366211,137.45631408691406,105.53532409667969,106.92887115478516,0.000894709606654942,0.05224987119436264,20.988496780395508,120.21465301513672,-0.1186600774526596,0.0,0.0
19,4.5,31.80235481262207,32.80186080932617,138.03717041015625,105.54208374023438,106.58001708984375,0.0008864859119057655,0.052122149616479874,20.988605499267578,120.18463134765625,-0.08852172642946243,0.0,0.0
20,4.75,31.264732360839844,32.71217346191406,138.08372497558594,105.52687072753906,106.54927825927734,0.0008790845749899745,0.051935259252786636,20.98893165588379,120.20464324951172,-0.08721622079610825,0.0,0.0
