##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
48.459,10.01,-0.00657,0.0054061940000000005,1.06964
48.559,10.31231,-0.005494505,0.01201431,1.0696299999999999
48.659,10.38625,-0.006136459,0.01772671,1.06962
48.759,10.43168,-0.0073182690000000005,0.02424262,1.06961
48.859,10.46861,-0.007406805,0.03070498,1.0696
48.959,10.50019,-0.006239143000000001,0.0343349,1.0696
49.059,10.52823,-0.00586532,0.04107765,1.06959
49.159,10.55282,-0.005581504,0.04704105,1.06958
49.259,10.57478,-0.006033052,0.05406409,1.0695700000000001
49.359,10.59457,-0.005869801,0.05794358,1.06956
49.459,10.613380000000001,-0.0055152790000000005,0.06142428,1.06955
49.559,10.6311,-0.005627703,0.06864542,1.06954
49.659,10.648489999999999,-0.005329751,0.07348027,1.0695299999999999
49.759,10.663969999999999,-0.00637971,0.07776236,1.06952
49.859,10.67945,-0.006763703,0.08598468,1.06952
49.959,10.693719999999999,-0.005996491999999999,0.0885532,1.06951
50.059,10.70779,-0.006098204,0.09395666,1.0695
50.159,10.721160000000001,-0.005916522,0.09710514,1.06949
50.259,10.733830000000001,-0.006555129,0.1045,1.06948
50.359,10.7463,-0.006018444,0.10757,1.0694700000000001
50.459,10.758469999999999,-0.006807224000000001,0.1104,1.06946
50.559,10.77026,-0.006678051,0.11682000000000001,1.06945
50.659,10.7817,-0.007036110999999999,0.12134,1.06944
50.759,10.79284,-0.006393575,0.12522,1.0694299999999999
50.859,10.803519999999999,-0.0061368,0.13041,1.06942
50.959,10.81407,-0.006578598000000001,0.13584000000000002,1.06941
51.059,10.82462,-0.006346057,0.13885999999999998,1.0694
51.159,10.8348,-0.0064550319999999994,0.14473,1.0694
51.259,10.844669999999999,-0.0055280419999999995,0.1489,1.06939
51.359,10.8542,-0.005499986,0.15198,1.06938
51.459,10.8636,-0.005846685999999999,0.15566,1.0693700000000002
51.559,10.87278,-0.005688139,0.16,1.06936
51.659,10.8817,-0.006303520999999999,0.16430999999999998,1.06935
51.759,10.89062,-0.0061001119999999995,0.16755,1.06934
51.859,10.89944,-0.005890269,0.1719,1.06933
51.959,10.90804,-0.00650138,0.17603,1.06932
52.059,10.9165,-0.006290175,0.18075,1.06931
52.159,10.92484,-0.006283943,0.18338,1.0693
52.259,10.93309,-0.006614564,0.18558,1.06929
52.359,10.94122,-0.006123205,0.19045,1.06928
52.459,10.94918,-0.005383055,0.19523,1.0692700000000002
52.559,10.95701,-0.005791052,0.19733,1.06926
52.659,10.964830000000001,-0.005690946,0.2013,1.06925
52.759,10.97251,-0.005378464,0.20647,1.06924
52.859,10.98,-0.005809998,0.20953000000000002,1.06923
52.959,10.98747,-0.0057493959999999995,0.21195,1.06922
53.059,10.99478,-0.005216531,0.21561999999999998,1.06921
53.159,11.00199,-0.005329863000000001,0.21955999999999998,1.0692
53.259,11.0092,-0.00629669,0.22246999999999997,1.0691899999999999
53.359,11.01634,-0.006325361,0.22558000000000003,1.06918
53.459,11.02333,-0.006369479,0.22844,1.0691700000000002
53.559,11.03015,-0.006804441,0.23125,1.06916
53.659,11.03683,-0.006615198,0.23509000000000002,1.06915
53.759,11.04354,-0.0060277559999999996,0.23933000000000001,1.06914
53.859,11.05026,-0.005821341999999999,0.24356,1.06913
53.959,11.05684,-0.006465649,0.24788000000000002,1.06912
54.059,11.06338,-0.006601359,0.25179,1.06911
54.159,11.0699,-0.00624051,0.25538,1.0691
54.259,11.07639,-0.006620422,0.25913,1.0690899999999999
54.359,11.08292,-0.0069865809999999995,0.26233,1.06908
54.459,11.08945,-0.006725676,0.26484,1.06907
54.559,11.09587,-0.00611632,0.26746,1.0690600000000001
54.659,11.10219,-0.005980167,0.27054,1.06905
54.759,11.10848,-0.006407967,0.27399,1.06904
54.859,11.11478,-0.0063220740000000004,0.27731999999999996,1.06903
54.959,11.12113,-0.00599948,0.28043,1.06902
55.059,11.12752,-0.006019408,0.28359,1.06901
