LABORATORY,FSRI 
TEST IDENT,EngWoodFurn_HF50_2
OPERATOR,Dow
MATERIAL,Engineered Wood Furniture - Wood Veneer on MDF
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.040247540920972824
SPEC HOLDER DIFF,-566
SPECIMEN MASS,111.69999694824219
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,5246
TIME TO IGN,28.75
END OF TEST SCAN,4766
END OF TEST TIME,1191.5
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.98 x 100.04 x 13.74 mm
POST TEST CMT,"The sample formed cracks while burning and warped into an arched shape during the fire decay phase. Warping was less pronounced than shown in the representative test picture."
