Names,Engineered_Wood_Furniture_R1,Engineered_Wood_Furniture_R2,Engineered_Wood_Furniture_R3,Mean,Std. Dev.
92,11.9,,98.3,55.1,61.1
93,13.1,,109.5,61.3,68.2
94,17.3,,118.0,67.6,71.2
95,20.6,,131.6,76.1,78.5
96,23.7,,148.7,86.2,88.4
97,26.4,,169.4,97.9,101.1
98,34.8,,185.8,110.3,106.7
99,42.8,,199.0,120.9,110.4
100,49.5,,215.5,132.5,117.4
101,54.6,,235.2,144.9,127.7
102,71.2,,251.2,161.2,127.3
103,85.6,,262.5,174.0,125.1
104,97.8,,290.1,193.9,135.9
105,109.9,,288.9,199.4,126.6
106,118.5,,301.8,210.2,129.6
107,139.8,,319.3,229.6,126.9
108,157.2,,329.1,243.2,121.6
109,172.3,,354.3,263.3,128.7
110,189.3,,344.6,267.0,109.8
111,182.0,,373.5,277.8,135.4
112,204.3,,380.0,292.1,124.3
113,227.8,,383.5,305.6,110.1
114,260.6,,403.4,332.0,101.0
115,262.8,,411.5,337.1,105.2
116,272.4,11.7,414.7,232.9,204.4
117,291.8,13.4,416.7,240.6,206.5
118,316.9,18.8,426.5,254.1,211.0
119,325.3,24.6,427.0,259.0,209.3
120,343.0,29.0,440.5,270.8,215.1
121,364.4,33.1,450.5,282.7,220.4
122,378.9,36.4,451.6,289.0,221.7
123,386.3,45.5,454.6,295.4,219.2
124,395.9,53.8,450.7,300.1,215.1
125,415.7,60.3,448.9,308.3,215.4
126,413.6,65.9,444.0,307.8,210.1
127,435.4,78.9,457.2,323.9,212.4
128,434.1,93.0,447.7,324.9,201.0
129,444.9,99.6,443.4,329.3,198.9
130,456.2,110.3,441.8,336.1,195.7
131,457.4,126.4,430.0,337.9,183.7
132,462.7,134.6,417.7,338.3,177.9
133,480.2,147.9,408.2,345.5,174.8
134,495.8,158.6,406.8,353.7,174.7
135,500.0,174.7,399.4,358.0,166.5
136,505.2,187.1,404.0,365.4,162.5
137,498.2,195.0,398.9,364.0,154.6
138,504.8,210.6,394.4,369.9,148.7
139,500.8,228.8,385.1,371.6,136.5
140,498.1,240.5,381.6,373.4,129.0
141,499.3,259.3,371.3,376.6,120.1
142,489.2,267.2,361.5,372.6,111.4
143,490.2,277.4,360.4,376.0,107.2
144,482.6,285.5,353.5,373.9,100.1
145,472.4,298.1,343.1,371.2,90.5
146,470.2,311.5,337.8,373.2,85.1
147,461.9,336.9,333.0,377.3,73.3
148,448.7,335.3,323.5,369.1,69.2
149,448.5,345.3,315.3,369.7,69.9
150,432.7,350.5,308.7,364.0,63.1
151,429.5,389.1,300.6,373.1,65.9
152,420.3,394.1,286.5,366.9,70.9
153,412.6,412.2,282.3,369.0,75.1
154,409.7,420.4,274.9,368.3,81.1
155,393.7,417.1,266.4,359.1,81.1
156,383.0,426.9,262.4,357.4,85.2
157,376.1,451.5,251.6,359.7,101.0
158,367.2,456.1,248.3,357.2,104.3
159,356.2,460.2,245.9,354.1,107.2
160,348.7,468.7,236.3,351.2,116.2
161,330.2,483.9,233.0,349.0,126.5
162,325.6,485.6,233.5,348.2,127.5
163,316.9,502.2,226.4,348.5,140.6
164,313.1,499.0,219.4,343.8,142.3
165,302.0,495.1,216.5,337.8,142.7
166,299.8,505.8,216.7,340.8,148.9
167,288.5,509.7,213.7,337.3,153.9
168,287.3,505.7,210.6,334.5,153.1
169,275.9,510.4,209.2,331.8,158.2
170,274.8,514.3,205.2,331.4,162.1
171,269.6,507.6,202.9,326.7,160.2
172,265.2,508.3,204.2,325.9,160.8
173,257.2,502.9,204.9,321.6,159.1
174,258.7,497.3,204.8,320.3,155.7
175,255.5,491.3,205.4,317.4,152.7
176,251.1,491.0,202.8,315.0,154.3
177,249.7,480.0,202.2,310.6,148.6
178,248.6,474.6,207.5,310.2,143.8
179,241.8,460.6,203.2,301.9,138.8
180,243.9,465.4,209.3,306.2,139.0
181,238.0,454.4,214.3,302.2,132.3
182,239.9,443.0,208.5,297.1,127.3
183,241.1,441.7,215.1,299.3,124.0
184,240.8,430.5,219.3,296.8,116.2
185,238.3,419.7,220.7,292.9,110.1
186,237.9,412.7,221.0,290.6,106.1
187,236.5,408.1,224.5,289.7,102.8
188,238.1,403.3,227.4,289.6,98.6
189,244.1,397.6,227.1,289.6,93.9
190,246.1,393.8,231.0,290.3,90.0
191,239.6,389.9,230.0,286.5,89.7
192,243.8,377.5,233.3,284.9,80.4
193,245.9,382.5,234.8,287.7,82.2
194,243.4,373.8,235.5,284.3,77.7
195,248.0,365.6,239.8,284.5,70.4
196,248.7,366.8,239.3,285.0,71.0
197,248.0,359.3,242.3,283.2,66.0
198,249.0,355.9,242.2,282.4,63.7
199,252.5,348.7,247.0,282.7,57.2
200,253.1,346.3,247.2,282.2,55.6
201,255.3,350.4,252.2,286.0,55.9
202,252.5,353.4,254.1,286.7,57.8
203,258.2,346.7,256.0,287.0,51.7
204,258.7,334.2,261.7,284.9,42.8
205,257.0,342.8,258.7,286.2,49.1
206,264.3,345.9,256.0,288.8,49.7
207,262.7,339.6,262.9,288.4,44.3
208,265.6,339.1,262.0,288.9,43.5
209,265.6,341.2,264.5,290.4,44.0
210,267.0,342.0,270.1,293.0,42.4
211,267.6,342.0,270.0,293.2,42.3
212,267.0,336.5,277.6,293.7,37.4
213,269.9,342.6,276.3,296.3,40.2
214,274.8,340.0,273.6,296.1,38.0
215,276.5,340.3,279.3,298.7,36.1
216,277.5,335.9,279.3,297.6,33.2
217,273.3,336.2,279.3,296.3,34.7
218,279.8,342.0,282.2,301.3,35.3
219,280.6,337.5,281.7,299.9,32.6
