LABORATORY,FSRI 
TEST IDENT,Eng_Wood_Tab_HF50_R2
OPERATOR,Marino
MATERIAL,Engineered Wood Table
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.04035254567861557
SPEC HOLDER DIFF,-566
SPECIMEN MASS,337.9200134277344
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,14811
TIME TO IGN,24.25
END OF TEST SCAN,14331
END OF TEST TIME,3582.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.72 x 100.45 x 46.28 mm; with tie wires
POST TEST CMT,"Intermittant flashes of flame prior to sustained ignition. Some burning occurred between the sample edge and foil due to volume shrinking. Test was ended after one hour despite ongoing flaming combustion, in accordance with ASTM 1354. Sample charred and partly delamainted, and continued to smolder after end of test."
