Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13701781630516052,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.163639068603516,15.081976890563965,1,1,1,1.000864028930664,1.0436846017837524,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,49.01441955566406,50.94248962402344,135.87278747558594,99.73196411132812,107.2958755493164,0.0005268038366921246,0.0493176244199276,21.003816604614258,-450.1809387207031,-0.6692487597465515,,
1,0,48.343448638916016,50.7057991027832,138.09112548828125,99.29974365234375,106.72219848632812,0.0004938554484397173,0.0516057088971138,20.993581771850586,209.69102478027344,-0.6599584221839905,0.0,0.0
2,0.25,48.349700927734375,50.69709396362305,135.03955078125,99.30738067626953,106.90998840332031,0.0004815292195416987,0.051740653812885284,20.99337387084961,209.70103454589844,-0.6753494143486023,0.0,0.0
3,0.5,47.72209548950195,49.511451721191406,136.29820251464844,99.314208984375,106.54499816894531,0.00047043562517501414,0.05186210200190544,20.993186950683594,209.78111267089844,-0.6434113383293152,0.0,0.0
4,0.75,46.782012939453125,48.48649597167969,138.5849609375,99.30778503417969,106.62324523925781,0.00045916621456854045,0.05197140574455261,20.993019104003906,209.81112670898438,-0.6507244110107422,0.0,0.0
5,1,46.539283752441406,48.41459274291992,135.0074920654297,99.3158187866211,106.39264678955078,0.0004490237624850124,0.05205521732568741,20.993101119995117,209.80111694335938,-0.6301624178886414,0.0,0.0
6,1.25,45.86250305175781,48.0079345703125,138.08731079101562,99.30335998535156,106.26976013183594,0.0004398955497890711,0.052130647003650665,20.993173599243164,209.78111267089844,-0.620729923248291,0.0,0.0
7,1.5,45.82044219970703,48.08185958862305,136.40048217773438,99.31782531738281,106.14686584472656,0.00043168014963157475,0.05219853296875954,20.993240356445312,209.76107788085938,-0.6088030338287354,0.0,0.0
