Sample ID:	C:\MCC\MCC Cal\Test\Eucalyptus_Flooring_30K_min_211026_R2.txt
Sample Weight (mg):	4.14
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
-0.001	105.916	79.999	19.996	103.030	20.452	-0.004	-0.009
0.500	105.902	79.998	19.995	103.031	20.450	0.127	-0.024
1.000	105.901	79.997	19.996	103.033	20.449	0.266	-0.018
1.500	105.891	79.998	19.996	103.036	20.449	0.268	-0.014
2.000	105.910	79.998	19.996	103.030	20.453	-0.046	-0.001
2.500	105.909	79.997	19.996	103.018	20.449	0.255	0.014
3.000	105.932	79.998	19.996	103.009	20.448	0.301	0.020
3.500	105.905	79.996	19.996	102.996	20.448	0.325	0.009
4.000	105.904	79.997	19.997	102.979	20.447	0.380	-0.016
4.500	105.900	79.997	19.996	102.969	20.451	0.059	-0.017
5.000	105.906	79.996	19.997	102.966	20.446	0.434	-0.002
5.500	105.946	79.995	19.996	102.959	20.446	0.436	0.024
6.000	105.912	79.996	19.997	102.951	20.444	0.637	0.026
6.500	105.902	79.997	19.995	102.944	20.445	0.548	-0.019
7.000	105.967	79.996	19.997	102.937	20.449	0.214	0.006
7.500	105.919	79.996	19.997	102.936	20.444	0.635	0.036
8.000	105.894	79.997	19.997	102.946	20.448	0.345	-0.028
8.500	105.931	79.995	19.997	102.956	20.449	0.225	-0.031
9.000	105.906	79.996	19.997	102.967	20.446	0.432	0.012
9.500	105.928	79.995	19.997	102.980	20.450	0.190	0.005
10.000	105.918	79.995	19.996	102.986	20.447	0.410	0.005
10.500	105.922	79.996	19.997	102.990	20.447	0.384	0.003
