Names,Excelsior_R1,Excelsior_R2,Excelsior_R3,Mean,Std. Dev.
76,26.6,,,26.6,
77,29.4,,,29.4,
78,36.8,,,36.8,
79,43.4,,,43.4,
80,50.0,,,50.0,
81,55.3,,,55.3,
82,63.4,35.1,,49.2,20.1
83,69.9,40.6,22.1,44.2,24.1
84,78.2,44.3,27.7,50.1,25.7
85,82.4,48.1,32.5,54.3,25.6
86,90.4,52.7,37.1,60.1,27.4
87,94.9,58.7,46.3,66.6,25.3
88,102.2,64.2,53.4,73.3,25.7
89,107.7,69.5,59.8,79.0,25.4
90,112.9,73.7,68.9,85.2,24.1
91,116.0,80.0,75.8,90.6,22.1
92,121.6,86.0,83.1,96.9,21.4
93,124.6,90.8,89.1,101.5,20.0
94,127.7,95.8,94.2,105.9,18.9
95,133.0,101.2,100.7,111.6,18.5
96,137.7,104.6,106.9,116.4,18.5
97,135.6,109.5,107.4,117.5,15.7
98,138.3,112.9,114.9,122.0,14.1
99,143.0,117.1,118.5,126.2,14.6
100,144.1,122.7,118.8,128.5,13.6
101,142.8,123.2,124.7,130.3,10.9
102,150.1,130.3,129.3,136.6,11.7
103,150.6,131.2,129.7,137.2,11.7
104,150.6,136.2,132.6,139.8,9.5
105,156.1,139.3,134.8,143.4,11.2
106,156.9,139.6,139.4,145.3,10.1
107,159.1,144.0,139.4,147.5,10.3
108,159.5,145.0,141.7,148.7,9.5
109,162.8,147.7,143.3,151.3,10.2
110,164.4,149.0,146.6,153.3,9.7
111,169.3,153.2,148.6,157.0,10.8
112,165.0,155.0,147.1,155.7,9.0
113,168.5,155.3,151.3,158.4,9.0
114,169.2,161.3,149.6,160.0,9.8
115,171.5,160.0,152.8,161.4,9.4
116,176.3,162.1,152.0,163.5,12.2
117,172.9,161.7,158.0,164.2,7.8
118,176.7,162.0,152.8,163.8,12.1
119,173.1,164.4,157.7,165.1,7.7
120,176.9,164.1,157.9,166.3,9.7
121,176.4,165.4,156.9,166.3,9.8
122,178.3,168.8,159.0,168.7,9.7
123,177.4,168.2,160.4,168.7,8.5
124,183.5,171.3,160.5,171.8,11.5
125,185.0,174.1,161.2,173.5,11.9
126,184.3,170.2,163.5,172.7,10.6
127,187.3,176.8,164.1,176.1,11.6
128,187.4,176.3,165.7,176.5,10.8
129,186.5,174.6,164.8,175.3,10.9
130,190.4,180.3,166.0,178.9,12.2
131,194.4,181.3,167.8,181.2,13.3
132,192.6,182.9,167.1,180.9,12.8
133,195.8,180.6,169.1,181.8,13.4
134,194.2,188.1,169.3,183.9,13.0
135,195.6,184.8,171.2,183.9,12.3
136,195.4,184.8,170.0,183.4,12.8
137,197.5,187.8,175.6,187.0,11.0
138,197.2,190.2,173.2,186.9,12.4
139,197.3,189.4,171.8,186.2,13.1
140,199.5,193.1,171.6,188.1,14.6
141,205.4,190.1,171.9,189.2,16.8
142,204.2,190.4,176.7,190.4,13.8
143,204.9,192.8,172.8,190.1,16.2
144,202.7,192.1,177.3,190.7,12.8
145,211.8,195.9,175.1,194.3,18.4
146,205.4,195.5,178.4,193.1,13.7
147,206.1,196.4,173.4,192.0,16.8
148,209.8,193.6,175.7,193.0,17.0
149,206.1,197.4,175.9,193.2,15.6
150,206.8,201.5,178.5,195.6,15.0
151,209.8,196.1,176.6,194.2,16.7
152,210.0,196.6,173.6,193.4,18.4
153,213.8,197.9,179.1,196.9,17.4
154,214.3,201.8,175.2,197.1,19.9
155,212.5,202.7,177.1,197.4,18.3
156,213.6,201.8,176.7,197.4,18.8
157,216.7,200.2,172.5,196.5,22.4
158,214.5,199.6,177.4,197.2,18.7
159,216.8,197.5,172.1,195.5,22.4
160,212.1,198.1,172.2,194.2,20.2
161,218.3,196.6,175.6,196.8,21.3
162,217.5,200.1,176.9,198.2,20.4
163,216.1,201.2,175.1,197.5,20.8
164,215.1,194.7,174.9,194.9,20.1
165,218.8,202.8,170.4,197.3,24.7
166,217.9,198.1,168.9,195.0,24.7
167,216.9,196.2,171.2,194.7,22.9
168,219.7,199.9,172.4,197.3,23.7
