##Temp./°C,Time/min,Mass loss(subtr.)/mg,DSC(subtr.2)/(mW/mg),Integral(DSC (subtr.2), 2, 199.3..406.4°C)/%,DTG(subtr.)/(mg/min),Sensit./(uV/mW)
49.699,10.01,-0.02677,0.02365368,            ,0.0,1.0751600000000001,,
49.799,10.426039999999999,-0.02810396,0.02945728,            ,-0.01109197,1.0751,,
49.899,10.52782,-0.02925742,0.03429419,            ,0.01563114,1.07505,,
49.999,10.59558,-0.02823092,0.04253788,            ,0.009064934,1.075,,
50.099,10.64873,-0.02694508,0.0473693,            ,-0.002109443,1.07495,,
50.199,10.69445,-0.02790637,0.05103525,            ,-0.02320161,1.0749,,
50.299,10.7345,-0.02873529,0.05482566,            ,-0.01271174,1.07484,,
50.399,10.771510000000001,-0.02864744,0.0588373,            ,-0.001169981,1.07479,,
50.499,10.80579,-0.02927072,0.06477703,            ,-0.002598709,1.07474,,
50.599,10.8379,-0.02968204,0.06913242,            ,0.001076485,1.07469,,
50.699,10.86779,-0.02971143,0.07215367,            ,0.01184685,1.07463,,
50.799,10.8968,-0.02881571,0.07487337,            ,0.01322285,1.0745799999999999,,
50.899,10.923860000000001,-0.02839681,0.07913933,            ,-0.006672376999999999,1.07453,,
50.999,10.9497,-0.02940299,0.08410264,            ,-0.01824043,1.0744799999999999,,
51.099,10.97448,-0.02966886,0.08905199,            ,-0.02023658,1.07443,,
51.199,10.99807,-0.03006136,0.08935115,            ,-0.01439307,1.07437,,
51.299,11.02101,-0.02977893,0.09021032,            ,-0.004191886,1.0743200000000002,,
51.399,11.043389999999999,-0.02981941,0.09710931,            ,0.005141307,1.07427,,
51.499,11.06482,-0.02956299,0.09920036,            ,0.009176041,1.0742200000000002,,
51.599,11.08579,-0.0298125,0.10312,            ,-0.0007946384,1.07417,,
51.699,11.10599,-0.02951151,0.10613,            ,-0.01733538,1.0741100000000001,,
51.799,11.12575,-0.03055597,0.10808,            ,-0.02209611,1.07406,,
51.899,11.14528,-0.03069756,0.11001,            ,-0.016095,1.0740100000000001,,
51.999,11.16417,-0.03057487,0.11522,            ,-0.009915899,1.07396,,
52.099,11.18282,-0.03130364,0.11655,            ,-0.007408614,1.0739100000000001,,
52.199,11.20098,-0.03103877,0.1207,            ,-0.01250967,1.07385,,
52.299,11.21898,-0.03084053,0.12295,            ,-0.02081635,1.0738,,
52.399,11.23673,-0.03235468,0.1232,            ,-0.02132877,1.07375,,
52.499,11.25399,-0.03209255,0.12569,            ,-0.01272033,1.0737,,
52.599,11.2712,-0.03261862,0.12680999999999998,            ,-0.0015535129999999999,1.07364,,
52.699,11.28797,-0.03194861,0.13115,            ,0.007528143,1.07359,,
52.799,11.30451,-0.03274556,0.1342,            ,0.01456022,1.07354,,
52.899,11.32062,-0.03101687,0.13631,            ,0.01989474,1.07349,,
52.999,11.33618,-0.03212466,0.13719,            ,0.0261055,1.07344,,
53.099,11.35201,-0.03072376,0.13939000000000001,            ,0.0364028,1.07338,,
53.199,11.36768,-0.03069959,0.14185,            ,0.04299933,1.07333,,
53.299,11.38307,-0.02922707,0.14558,            ,0.03698589,1.07328,,
53.399,11.3983,-0.02869237,0.14599,            ,0.02062302,1.07323,,
53.499,11.41359,-0.0289484,0.14962,            ,0.002737645,1.07318,,
53.599,11.42865,-0.02911171,0.14861,            ,-0.007756348000000001,1.07312,,
53.699,11.443439999999999,-0.02927157,0.15018,            ,-0.009005044,1.07307,,
53.799,11.4581,-0.02943242,0.15400999999999998,            ,-0.004367091,1.07302,,
53.899,11.472560000000001,-0.02940214,0.15375999999999998,            ,0.002625445,1.07297,,
53.999,11.486930000000001,-0.02942472,0.15813,            ,0.01089407,1.07292,,
54.099,11.50137,-0.0291737,0.16204000000000002,            ,0.01988841,1.0728600000000001,,
54.199,11.51563,-0.02893926,0.16030999999999998,            ,0.02523419,1.07281,,
54.299,11.53004,-0.02764166,0.16314,            ,0.02757597,1.07276,,
54.399,11.54458,-0.02852359,0.164,            ,0.03091461,1.07271,,
54.499,11.55863,-0.02739124,0.16657,            ,0.03554446,1.07266,,
54.599,11.5724,-0.02682793,0.16833,            ,0.03759916,1.0726,,
54.699,11.58635,-0.02648377,0.17085,            ,0.03168677,1.07255,,
54.799,11.60018,-0.02545403,0.17144,            ,0.01742511,1.0725,,
54.899,11.61386,-0.02579426,0.17415999999999998,            ,-0.002014668,1.07245,,
54.999,11.627369999999999,-0.02550501,0.1742,            ,-0.01689929,1.07239,,
55.099,11.640789999999999,-0.02719959,0.17563,            ,-0.02424918,1.07234,,
55.199,11.65418,-0.02613031,0.17715999999999998,            ,-0.02663561,1.07229,,
55.299,11.66756,-0.0272989,0.1802,            ,-0.02547039,1.0722399999999999,,
55.399,11.68083,-0.02746361,0.18293,            ,-0.01926718,1.07219,,
55.499,11.69411,-0.02808657,0.17973,            ,-0.009240001999999999,1.07213,,
55.599,11.70725,-0.02731171,0.18372,            ,-0.001802177,1.07208,,
55.699,11.720360000000001,-0.02798065,0.1863,            ,-0.0008327558,1.0720299999999998,,
55.799,11.73338,-0.02744399,0.18706,            ,-0.006062051999999999,1.07198,,
55.899,11.74624,-0.02729498,0.18689,            ,-0.01005661,1.0719299999999998,,
55.999,11.75912,-0.02847276,0.18942,            ,-0.006110605,1.07187,,
56.099,11.77196,-0.02849691,0.19033,            ,0.00357942,1.07182,,
56.199,11.78476,-0.02771014,0.19255,            ,0.006865321,1.0717700000000001,,
56.299,11.797369999999999,-0.02714919,0.19255999999999998,            ,-0.001755931,1.07172,,
56.399,11.80993,-0.02753444,0.19457,            ,-0.01246388,1.0716700000000001,,
56.499,11.82244,-0.0286107,0.19589,            ,-0.01336542,1.07161,,
