Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.14251860976219177,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.082632064819336,14.755513191223145,1,1,1,1.0008814334869385,1.0374339818954468,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,41.71135330200195,42.44723129272461,138.45852661132812,100.03793334960938,106.56372833251953,0.00018092742539010942,0.04595459625124931,20.99741554260254,-443.98651123046875,-0.5750618577003479,,
1,0,40.80883026123047,41.539283752441406,136.98876953125,99.87324523925781,106.4312515258789,0.00011107037425972521,0.05046213045716286,20.99337387084961,80.8912353515625,-0.5787556171417236,0.0,0.0
2,0.25,40.09934997558594,41.17768859863281,134.47071838378906,99.8560791015625,106.43621063232422,9.827837493503466e-05,0.050506602972745895,20.993343353271484,81.2315444946289,-0.5807437300682068,0.0,0.0
3,0.5,40.137794494628906,40.775718688964844,142.7156219482422,99.85847473144531,106.36595916748047,8.676557627040893e-05,0.0505097433924675,20.993316650390625,80.99132537841797,-0.5745166540145874,0.0,0.0
4,0.75,40.05756759643555,40.693992614746094,140.91505432128906,99.86925506591797,106.37947082519531,7.640405237907544e-05,0.05051256716251373,20.9932918548584,80.8912353515625,-0.574690580368042,0.0,0.0
5,1,40.164527893066406,40.75837326049805,138.20619201660156,99.86286926269531,106.29120635986328,6.707868305966258e-05,0.05051511153578758,20.993270874023438,81.03135681152344,-0.5677189230918884,0.0,0.0
6,1.25,40.50233459472656,40.75593566894531,139.49459838867188,99.86286926269531,106.39252471923828,5.868585139978677e-05,0.05051739886403084,20.99325180053711,81.03135681152344,-0.5763887763023376,0.0,0.0
7,1.5,39.84577941894531,40.351661682128906,138.5397491455078,99.85647583007812,106.24752807617188,5.113230145070702e-05,0.05046044662594795,20.993234634399414,80.8912353515625,-0.5645608305931091,0.0,0.0
8,1.75,39.853939056396484,40.703033447265625,139.27096557617188,99.8572769165039,106.47988891601562,5.8009696658700705e-05,0.050409190356731415,20.99321937561035,80.96129608154297,-0.5843683481216431,0.0,0.0
9,2,39.949073791503906,40.517189025878906,142.2904815673828,99.86366271972656,106.400634765625,6.419935380108654e-05,0.05036306008696556,20.99320411682129,80.96129608154297,-0.5770106911659241,0.0,0.0
10,2.25,39.91865539550781,40.73734664916992,138.2893829345703,99.8604736328125,106.33714294433594,6.97700452292338e-05,0.0503215417265892,20.99319076538086,80.9412841796875,-0.5718691349029541,0.0,0.0
11,2.5,39.79558181762695,40.669044494628906,137.28033447265625,99.84889221191406,106.43981170654297,7.478366751456633e-05,0.05028417333960533,20.993179321289062,80.9813232421875,-0.5817063450813293,0.0,0.0
12,2.75,40.01969909667969,40.78822326660156,136.52928161621094,99.8616714477539,106.56724548339844,7.929592538857833e-05,0.05018417537212372,20.993167877197266,80.99132537841797,-0.5914309024810791,0.0,0.0
13,3,40.30371856689453,40.946075439453125,140.24871826171875,99.85128784179688,106.10298156738281,8.922110282583162e-05,0.05009417608380318,20.9931583404541,80.8912353515625,-0.5526444315910339,0.0,0.0
14,3.25,40.146705627441406,40.74357986450195,141.08908081054688,99.8572769165039,106.10658264160156,9.815375960897654e-05,0.05001317709684372,20.99338150024414,80.9212646484375,-0.5524075031280518,0.0,0.0
15,3.5,40.05841827392578,40.687225341796875,138.8984832763672,99.84689331054688,106.3164291381836,0.00010619315435178578,0.04994028061628342,20.993581771850586,80.9813232421875,-0.5713337063789368,0.0,0.0
16,3.75,40.233497619628906,41.10662078857422,141.04405212402344,99.84769439697266,106.42675018310547,0.00011342860670993105,0.049874670803546906,20.993762969970703,80.9412841796875,-0.5806992053985596,0.0,0.0
17,4,39.78014373779297,41.07110595703125,135.931640625,99.84609985351562,106.31777954101562,0.00011928865569643676,0.04977875575423241,20.993925094604492,80.8912353515625,-0.5715219974517822,0.0,0.0
18,4.25,39.834205627441406,40.662078857421875,138.99771118164062,99.86446380615234,106.1300048828125,0.00012456269178073853,0.04969243332743645,20.99407196044922,80.96129608154297,-0.5537615418434143,0.0,0.0
19,4.5,40.55415725708008,41.26922607421875,137.4368133544922,99.8592758178711,106.13810729980469,0.0001293093228014186,0.049614742398262024,20.994203567504883,80.9312744140625,-0.5549288988113403,0.0,0.0
20,4.75,40.05387878417969,40.63714599609375,141.87449645996094,99.83891296386719,106.1070327758789,0.0001335812994511798,0.04954482242465019,20.994321823120117,80.87122344970703,-0.5541200637817383,0.0,0.0
21,5,40.2835693359375,40.704261779785156,139.5816192626953,99.84969329833984,106.03408813476562,0.00013416819274425507,0.049481894820928574,20.994428634643555,80.9012451171875,-0.5468789935112,0.0,0.0
22,5.25,39.859130859375,40.996734619140625,136.9536590576172,99.83332061767578,105.89494323730469,0.00013469639816321433,0.04942525923252106,20.9947566986084,80.9212646484375,-0.5364216566085815,0.0,0.0
23,5.5,40.21234893798828,41.015689849853516,136.52699279785156,99.83252716064453,105.99986267089844,0.00013517178012989461,0.04931531101465225,20.995052337646484,80.85120391845703,-0.5455058217048645,0.0,0.0
