LABORATORY,FSRI 
TEST IDENT,FDNY_LDF_HF50_R2
OPERATOR,Dow
MATERIAL,FDNY Low Density Fiberboard
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.0415135882794857
SPEC HOLDER DIFF,-566
SPECIMEN MASS,27.079999923706055
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,1903
TIME TO IGN,5.5
END OF TEST SCAN,1423
END OF TEST TIME,355.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 99.09 x 99.25 x 12.01 mm; with tie wires
POST TEST CMT,Sample shrank. See post test pictures.
