Sample ID:	C:\MCC\MCC Cal\Test\FDNY_LDF_MCC_30K_min_211208_R2.txt
Sample Weight (mg):	4.55
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	108.843	80.009	19.996	103.067	20.224	-0.455	-0.004
0.500	108.848	80.006	19.996	103.067	20.220	-0.146	-0.003
1.000	108.860	80.005	19.997	103.067	20.221	-0.178	0.013
1.500	108.873	80.006	19.995	103.067	20.220	-0.135	0.021
2.001	108.846	80.006	19.995	103.068	20.219	-0.047	0.006
2.501	108.867	80.006	19.995	103.065	20.216	0.146	-0.010
3.000	108.848	80.005	19.995	103.064	20.218	-0.020	-0.003
3.500	108.820	80.005	19.995	103.065	20.216	0.125	-0.023
4.000	108.865	80.005	19.995	103.065	20.216	0.178	-0.015
4.500	108.839	80.006	19.997	103.062	20.219	-0.062	0.018
5.000	108.873	80.005	19.995	103.059	20.219	-0.070	0.014
5.500	108.848	80.006	19.996	103.060	20.216	0.176	0.009
6.000	108.851	80.006	19.997	103.066	20.218	-0.027	-0.007
6.500	108.842	80.007	19.995	103.072	20.218	0.021	-0.014
7.000	108.852	80.006	19.995	103.078	20.216	0.131	-0.002
7.500	108.830	80.007	19.993	103.083	20.216	0.160	-0.005
8.000	108.874	80.007	19.994	103.088	20.217	0.061	0.005
8.500	108.844	80.006	19.996	103.089	20.215	0.197	0.018
9.000	108.887	80.007	19.993	103.092	20.216	0.152	0.014
9.500	108.894	80.008	19.994	103.100	20.216	0.168	0.032
10.001	108.867	80.007	19.996	103.108	20.214	0.314	0.015
10.501	108.856	80.006	19.996	103.116	20.213	0.387	-0.029
11.000	108.872	80.006	19.996	103.122	20.212	0.455	-0.016
11.500	108.885	80.008	19.992	103.119	20.208	0.732	0.017
12.000	108.893	80.006	19.997	103.098	20.210	0.562	0.025
12.500	108.888	80.006	19.994	103.089	20.208	0.685	0.012
13.000	108.890	80.006	19.994	103.086	20.212	0.436	-0.000
13.501	108.926	80.008	19.993	103.086	20.210	0.590	0.017
14.001	108.930	80.007	19.994	103.096	20.207	0.752	0.039
14.500	108.918	80.007	19.994	103.133	20.208	0.680	0.016
15.000	108.916	80.009	19.996	103.170	20.210	0.588	-0.011
15.500	108.928	80.007	19.995	103.175	20.211	0.483	-0.002
16.000	108.947	80.008	19.995	103.175	20.209	0.635	0.021
16.500	108.919	80.008	19.995	103.175	20.209	0.627	0.011
17.001	108.970	80.008	19.995	103.161	20.207	0.756	0.007
17.502	108.950	80.007	19.994	103.139	20.208	0.733	0.027
18.000	109.000	80.007	19.993	103.139	20.206	0.883	0.030
18.500	108.990	80.006	19.996	103.141	20.208	0.717	0.034
19.000	109.026	80.007	19.995	103.146	20.206	0.821	0.033
19.500	109.036	80.008	19.994	103.151	20.207	0.780	0.036
20.000	109.069	80.008	19.995	103.150	20.205	0.901	0.045
20.500	109.088	80.006	19.995	103.155	20.203	1.030	0.048
21.000	109.093	80.007	19.995	103.159	20.204	1.022	0.038
21.500	109.117	80.007	19.994	103.161	20.204	1.022	0.026
22.000	109.114	80.008	19.993	103.163	20.203	1.049	0.025
22.500	109.162	80.007	19.996	103.169	20.203	1.079	0.033
23.000	109.201	80.008	19.994	103.178	20.200	1.278	0.066
23.500	109.211	80.008	19.993	103.189	20.200	1.294	0.068
24.001	109.267	80.006	19.995	103.207	20.197	1.505	0.057
24.501	109.300	80.007	19.996	103.221	20.195	1.650	0.078
25.000	109.294	80.005	19.995	103.230	20.198	1.394	0.058
25.500	109.358	80.006	19.993	103.235	20.197	1.460	0.042
26.000	109.356	80.006	19.996	103.238	20.197	1.515	0.060
26.500	109.419	80.007	19.994	103.238	20.190	2.005	0.061
27.000	109.441	80.008	19.995	103.239	20.192	1.845	0.073
27.500	109.479	80.007	19.995	103.245	20.190	1.951	0.073
28.000	109.538	80.007	19.993	103.247	20.191	1.880	0.079
28.500	109.614	80.006	19.994	103.251	20.190	1.957	0.116
29.000	109.654	80.006	19.995	103.252	20.189	2.029	0.125
29.500	109.732	80.008	19.994	103.252	20.188	2.092	0.117
30.000	109.751	80.006	19.993	103.252	20.189	2.049	0.108
30.500	109.807	80.008	19.993	103.252	20.187	2.227	0.086
31.000	109.865	80.006	19.994	103.252	20.188	2.133	0.094
31.500	109.934	80.007	19.994	103.253	20.185	2.315	0.120
32.001	109.991	80.007	19.995	103.254	20.187	2.162	0.126
32.501	110.063	80.007	19.994	103.256	20.186	2.299	0.128
33.001	110.139	80.007	19.994	103.259	20.186	2.235	0.139
33.500	110.195	80.007	19.993	103.263	20.185	2.338	0.140
34.000	110.287	80.007	19.993	103.269	20.185	2.358	0.140
34.500	110.338	80.007	19.994	103.275	20.184	2.411	0.145
35.000	110.384	80.007	19.995	103.281	20.184	2.401	0.119
35.500	110.472	80.008	19.995	103.279	20.185	2.368	0.115
36.000	110.546	80.008	19.995	103.279	20.184	2.377	0.148
36.500	110.630	80.008	19.996	103.278	20.187	2.209	0.160
37.000	110.700	80.007	19.993	103.278	20.183	2.463	0.156
37.501	110.768	80.007	19.994	103.279	20.182	2.547	0.146
38.002	110.831	80.007	19.995	103.287	20.183	2.461	0.134
38.501	110.916	80.008	19.994	103.291	20.179	2.749	0.139
39.000	111.059	80.009	19.994	103.294	20.175	3.034	0.188
