Time after Ignition,FRP_Panel_R1,FRP_Panel_R2,FRP_Panel_R3,Mean,Std. Dev.
0.0,10.5,30.8,23.8,21.7,10.3
0.25,13.7,37.1,32.2,27.6,12.3
0.5,16.4,42.3,39.9,32.9,14.3
0.75,24.9,48.5,47.1,40.2,13.3
1.0,32.0,53.2,59.6,48.3,14.5
1.25,38.6,64.8,70.4,57.9,17.0
1.5,54.0,73.6,80.6,69.4,13.8
1.75,67.8,81.3,91.3,80.1,11.8
2.0,81.6,88.9,99.0,89.8,8.7
2.25,90.9,103.3,112.1,102.1,10.6
2.5,101.8,113.2,125.4,113.4,11.8
2.75,119.0,124.8,137.5,127.1,9.5
3.0,132.0,145.8,146.2,141.4,8.1
3.25,147.1,146.2,155.6,149.6,5.2
3.5,162.2,179.9,159.9,167.3,10.9
3.75,175.6,193.5,167.8,179.0,13.2
4.0,196.0,205.4,185.8,195.7,9.8
4.25,212.1,205.3,193.8,203.7,9.3
4.5,222.4,228.3,201.8,217.5,13.9
4.75,238.9,255.7,212.7,235.8,21.7
5.0,248.0,267.7,225.6,247.1,21.0
5.25,265.1,281.8,243.0,263.3,19.5
5.5,284.1,306.4,259.8,283.4,23.3
5.75,298.9,337.0,269.1,301.7,34.0
6.0,324.7,353.8,275.2,317.9,39.7
6.25,322.0,385.0,304.8,337.3,42.2
6.5,347.6,387.9,328.7,354.7,30.2
6.75,354.1,404.2,358.7,372.3,27.7
7.0,379.5,443.1,354.9,392.5,45.5
7.25,417.0,461.6,374.8,417.8,43.4
7.5,432.7,483.8,390.5,435.7,46.7
7.75,430.2,496.6,429.2,452.0,38.6
8.0,480.0,537.8,475.0,497.6,34.9
8.25,494.9,569.8,488.8,517.8,45.1
8.5,487.2,590.3,510.5,529.4,54.1
8.75,517.1,612.7,532.2,554.0,51.4
9.0,560.8,617.2,569.3,582.4,30.4
9.25,567.5,619.0,579.8,588.8,26.9
9.5,586.2,647.1,613.3,615.5,30.5
9.75,604.5,685.2,654.7,648.2,40.7
10.0,639.3,659.4,637.6,645.5,12.1
10.25,657.9,711.9,677.0,682.3,27.4
10.5,676.0,720.9,684.7,693.9,23.8
10.75,677.5,732.2,724.6,711.4,29.6
11.0,719.4,731.5,718.5,723.1,7.3
11.25,719.6,761.5,735.3,738.8,21.2
11.5,772.9,751.9,744.2,756.3,14.8
11.75,742.1,772.9,745.1,753.4,17.0
12.0,762.1,746.9,762.7,757.2,9.0
12.25,782.5,733.7,787.0,767.7,29.5
12.5,774.7,771.3,792.0,779.3,11.1
12.75,783.7,789.8,811.4,795.0,14.6
13.0,810.6,782.9,811.5,801.7,16.3
13.25,821.9,807.1,817.7,815.6,7.6
13.5,823.9,796.4,842.3,820.9,23.1
13.75,840.6,784.1,828.6,817.8,29.8
14.0,853.9,796.0,846.4,832.1,31.5
14.25,858.2,805.9,823.9,829.4,26.6
14.5,888.5,840.2,851.4,860.0,25.3
14.75,869.2,859.8,930.4,886.5,38.4
15.0,909.8,838.6,858.4,868.9,36.7
15.25,849.7,897.0,904.3,883.7,29.6
15.5,912.5,853.0,883.7,883.0,29.8
15.75,876.2,882.2,858.9,872.4,12.1
16.0,890.5,876.7,888.4,885.2,7.4
16.25,873.8,885.9,908.5,889.4,17.6
16.5,932.1,893.3,887.3,904.2,24.3
16.75,905.3,866.8,898.9,890.3,20.6
17.0,916.4,877.8,884.6,892.9,20.6
17.25,914.4,930.5,931.7,925.5,9.7
17.5,959.9,922.3,914.3,932.2,24.4
17.75,898.3,925.7,901.0,908.3,15.1
18.0,878.2,902.4,949.1,909.9,36.0
18.25,955.1,940.9,923.1,939.7,16.1
18.5,926.5,938.7,960.9,942.0,17.4
18.75,966.6,955.2,918.6,946.8,25.1
19.0,944.5,918.6,966.7,943.2,24.1
19.25,975.9,962.9,966.5,968.4,6.7
19.5,932.2,987.8,939.4,953.1,30.2
19.75,961.0,949.6,979.9,963.5,15.3
20.0,958.2,962.5,951.2,957.3,5.7
20.25,1051.1,964.8,974.2,996.7,47.4
20.5,961.8,951.4,944.9,952.7,8.5
20.75,922.8,1027.9,1062.7,1004.5,72.9
21.0,966.1,968.7,1002.1,979.0,20.1
21.25,968.9,984.9,1001.6,985.1,16.4
21.5,955.4,1027.7,1012.6,998.6,38.1
21.75,1009.2,1033.0,1022.8,1021.7,11.9
22.0,994.1,1021.5,987.7,1001.1,18.0
22.25,1032.0,975.3,1064.7,1024.0,45.3
22.5,979.9,1107.4,1021.9,1036.4,65.0
22.75,990.6,1032.0,1004.2,1008.9,21.1
23.0,989.6,1014.2,1060.8,1021.5,36.2
23.25,1021.4,1022.4,1027.1,1023.6,3.0
23.5,1016.7,1057.0,1055.2,1043.0,22.8
23.75,1003.5,1071.2,1049.4,1041.4,34.6
24.0,988.8,1045.8,1124.3,1053.0,68.0
24.25,1077.5,1066.1,1017.6,1053.7,31.8
24.5,994.2,1102.8,1095.1,1064.0,60.6
24.75,999.4,1052.9,1091.3,1047.8,46.2
25.0,1109.5,1035.6,1042.1,1062.4,40.9
25.25,1063.7,1069.9,1083.4,1072.3,10.1
25.5,983.7,1073.6,1086.5,1047.9,56.0
25.75,1015.4,1116.9,1021.4,1051.2,57.0
26.0,1025.6,1067.1,1070.3,1054.3,24.9
26.25,1014.4,1142.7,1034.4,1063.8,69.0
26.5,1051.6,1089.7,1153.4,1098.2,51.5
26.75,1045.4,1073.0,1037.6,1052.0,18.6
27.0,1044.6,1056.6,1101.9,1067.7,30.2
27.25,1066.3,1141.8,1077.3,1095.1,40.8
27.5,1074.0,1061.8,1100.5,1078.8,19.8
27.75,1099.3,1077.4,1098.9,1091.9,12.5
28.0,1041.4,1085.7,1106.9,1078.0,33.4
28.25,1016.7,1056.9,1128.8,1067.5,56.8
28.5,1099.2,1134.3,1086.1,1106.5,24.9
28.75,1057.6,1109.2,1081.4,1082.7,25.8
29.0,1045.3,1071.7,1099.9,1072.3,27.3
29.25,1069.6,1100.1,1135.8,1101.8,33.1
29.5,1092.0,1091.1,1069.7,1084.3,12.6
29.75,1111.9,1121.6,1075.8,1103.1,24.1
30.0,1104.3,1045.5,1117.0,1088.9,38.2
30.25,1064.5,1112.2,1169.1,1115.3,52.4
30.5,1105.4,1099.7,1115.5,1106.9,8.0
30.75,1070.0,1121.8,1122.7,1104.8,30.2
31.0,1053.2,1051.3,1118.1,1074.2,38.1
31.25,1080.0,1138.2,1142.1,1120.1,34.8
31.5,1059.8,1084.5,1086.1,1076.8,14.7
31.75,1113.3,1137.4,1082.2,1111.0,27.7
32.0,1078.5,1074.3,1080.6,1077.8,3.2
32.25,1091.6,1043.8,1119.4,1084.9,38.2
32.5,1127.3,1082.2,1073.4,1094.3,28.9
32.75,1069.9,1064.6,1106.1,1080.2,22.6
33.0,1055.5,1112.4,1091.8,1086.6,28.8
33.25,1043.5,1133.0,1129.9,1102.1,50.8
33.5,1042.0,1038.2,1100.2,1060.1,34.7
33.75,1057.6,1127.7,1104.8,1096.7,35.8
34.0,1024.6,1077.4,1090.2,1064.1,34.8
34.25,1094.0,1099.8,1060.9,1084.9,21.0
34.5,1096.7,1093.3,1037.2,1075.8,33.4
34.75,1086.3,1090.2,1094.3,1090.3,4.0
35.0,987.9,1096.5,1091.6,1058.6,61.3
35.25,1069.2,1049.9,1031.4,1050.2,18.9
35.5,1054.3,1085.4,1071.3,1070.3,15.6
35.75,1072.7,1088.0,1063.9,1074.9,12.2
36.0,1049.4,1044.9,1096.5,1063.6,28.6
36.25,1027.9,1063.2,1054.5,1048.6,18.4
36.5,1051.9,1054.1,1060.4,1055.5,4.4
36.75,1014.5,1097.8,1061.6,1058.0,41.7
37.0,1030.3,1070.0,1095.2,1065.2,32.7
37.25,1035.5,1092.9,1069.2,1065.9,28.8
37.5,1026.9,1066.7,1038.2,1044.0,20.5
37.75,995.4,1026.4,1041.0,1021.0,23.3
38.0,1007.8,1079.7,1028.1,1038.5,37.1
38.25,1013.0,1032.7,1063.8,1036.5,25.6
38.5,1005.9,1031.0,1012.0,1016.3,13.1
38.75,1019.5,1021.1,1024.8,1021.8,2.8
39.0,1021.5,1031.1,993.1,1015.2,19.7
39.25,985.5,1011.9,985.1,994.2,15.4
39.5,956.2,978.3,1003.2,979.2,23.5
39.75,990.0,992.5,998.6,993.7,4.4
40.0,971.7,978.3,994.7,981.6,11.8
40.25,930.4,983.7,980.3,964.8,29.8
40.5,924.3,987.7,964.8,958.9,32.1
40.75,946.5,928.1,938.9,937.9,9.3
41.0,974.4,920.5,944.3,946.4,27.0
41.25,956.8,921.6,965.3,947.9,23.1
41.5,940.8,921.4,952.1,938.1,15.5
41.75,927.1,884.9,914.6,908.9,21.6
42.0,926.7,874.8,911.5,904.3,26.7
42.25,925.6,865.7,886.0,892.5,30.4
42.5,909.4,845.2,872.7,875.8,32.2
