Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13441315293312073,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.846179008483887,17.06614875793457,1,1,1,1.000896692276001,1.0499846935272217,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,32.824012756347656,36.802730560302734,178.40721130371094,102.0272216796875,103.97470092773438,0.003447208320721984,0.06977615505456924,20.99636459350586,-937.8021240234375,-0.17410065233707428,,
1,0,30.941879272460938,33.25532913208008,183.3543701171875,102.48783874511719,104.77286529541016,0.0033042654395103455,0.07752161473035812,20.989456176757812,64.93817138671875,-0.20309540629386902,0.0,0.0
2,0.25,31.255287170410156,33.80025100708008,181.79042053222656,102.49586486816406,104.653076171875,0.0033084063325077295,0.07766697555780411,20.98923110961914,64.92816925048828,-0.19183744490146637,0.0,0.0
3,0.5,30.69590950012207,33.21125793457031,177.37945556640625,102.5030517578125,105.05254364013672,0.0033235272858291864,0.0777978003025055,20.98902702331543,64.90814971923828,-0.22628170251846313,0.0,0.0
4,0.75,30.990737915039062,33.45463562011719,176.93064880371094,102.50347137451172,104.51557922363281,0.0033371360041201115,0.07782967388629913,20.98884391784668,64.85810852050781,-0.17904533445835114,0.0,0.0
5,1,31.373376846313477,33.24629592895508,173.70428466796875,102.5102310180664,104.30048370361328,0.0033493840601295233,0.07785836607217789,20.988679885864258,64.86811065673828,-0.15946288406848907,0.0,0.0
6,1.25,31.00758171081543,33.940940856933594,177.1344451904297,102.50643157958984,104.95306396484375,0.003360407194122672,0.07788418233394623,20.9885311126709,64.92816925048828,-0.21725186705589294,0.0,0.0
7,1.5,31.0061092376709,34.09393310546875,178.40757751464844,102.51319122314453,104.42495727539062,0.0033703281078487635,0.07790742069482803,20.9883975982666,64.90814971923828,-0.1701824814081192,0.0,0.0
8,1.75,30.904075622558594,34.200565338134766,176.08416748046875,102.50939178466797,104.04528045654297,0.003382609225809574,0.07783535122871399,20.988277435302734,64.89813995361328,-0.13697496056556702,0.0,0.0
9,2,30.976116180419922,33.65596389770508,176.69784545898438,102.50135803222656,104.48172760009766,0.0033936621621251106,0.07777048647403717,20.988168716430664,64.97821044921875,-0.17625145614147186,0.0,0.0
10,2.25,31.091955184936523,34.056114196777344,179.98374938964844,102.530517578125,103.76976776123047,0.003403609851375222,0.07771211117506027,20.98807144165039,64.93817138671875,-0.11065557599067688,0.0,0.0
11,2.5,30.678749084472656,33.82501983642578,179.95779418945312,102.53009033203125,104.15829467773438,0.003412562655285001,0.07765957713127136,20.98798370361328,64.87812042236328,-0.14511434733867645,0.0,0.0
12,2.75,31.442726135253906,33.969966888427734,186.48837280273438,102.51657104492188,103.92809295654297,0.003423302434384823,0.07761229574680328,20.987905502319336,64.85810852050781,-0.12594996392726898,0.0,0.0
13,3,30.954683303833008,34.295005798339844,174.94308471679688,102.52291107177734,104.43485260009766,0.0034329681657254696,0.07746964693069458,20.98806381225586,64.92816925048828,-0.17018193006515503,0.0,0.0
