Names,Face_Shield_R1,Mean,Std. Dev.
94,42.1,42.1,
95,47.0,47.0,
96,51.8,51.8,
97,57.2,57.2,
98,60.9,60.9,
99,67.8,67.8,
100,75.5,75.5,
101,80.5,80.5,
102,87.7,87.7,
103,95.6,95.6,
104,102.4,102.4,
105,111.7,111.7,
106,114.7,114.7,
107,127.2,127.2,
108,139.0,139.0,
109,143.8,143.8,
110,152.8,152.8,
111,161.0,161.0,
112,168.6,168.6,
113,178.3,178.3,
114,183.4,183.4,
115,191.6,191.6,
116,195.7,195.7,
117,207.1,207.1,
118,217.2,217.2,
119,218.2,218.2,
120,224.5,224.5,
121,226.1,226.1,
122,235.5,235.5,
123,238.2,238.2,
124,243.8,243.8,
125,245.1,245.1,
126,249.5,249.5,
127,251.1,251.1,
128,256.1,256.1,
129,257.2,257.2,
130,259.7,259.7,
131,257.9,257.9,
132,262.5,262.5,
133,264.6,264.6,
134,263.2,263.2,
135,259.9,259.9,
136,255.9,255.9,
137,250.5,250.5,
138,241.3,241.3,
139,243.3,243.3,
140,242.1,242.1,
141,241.7,241.7,
142,235.1,235.1,
143,223.3,223.3,
144,217.8,217.8,
145,212.2,212.2,
146,209.4,209.4,
147,200.3,200.3,
148,197.4,197.4,
149,193.1,193.1,
150,185.0,185.0,
151,183.0,183.0,
152,179.1,179.1,
153,173.1,173.1,
154,163.9,163.9,
155,158.8,158.8,
156,156.2,156.2,
157,146.4,146.4,
158,141.5,141.5,
159,133.6,133.6,
160,132.1,132.1,
161,126.2,126.2,
162,121.2,121.2,
163,111.5,111.5,
164,107.9,107.9,
165,102.1,102.1,
166,95.5,95.5,
167,91.2,91.2,
168,84.9,84.9,
169,80.4,80.4,
170,76.0,76.0,
171,71.3,71.3,
172,67.1,67.1,
173,65.7,65.7,
174,61.8,61.8,
175,58.4,58.4,
176,54.7,54.7,
177,51.5,51.5,
178,49.1,49.1,
179,47.0,47.0,
180,44.0,44.0,
181,42.3,42.3,
182,39.9,39.9,
183,38.1,38.1,
184,35.9,35.9,
185,33.9,33.9,
186,32.3,32.3,
187,30.7,30.7,
188,28.7,28.7,
189,27.7,27.7,
190,25.9,25.9,
191,24.4,24.4,
192,23.3,23.3,
193,22.1,22.1,
194,20.7,20.7,
195,20.0,20.0,
196,19.3,19.3,
197,18.1,18.1,
198,17.5,17.5,
199,16.8,16.8,
200,16.3,16.3,
201,15.5,15.5,
202,14.9,14.9,
203,14.7,14.7,
204,13.9,13.9,
205,13.3,13.3,
206,13.0,13.0,
207,12.4,12.4,
208,11.7,11.7,
209,11.2,11.2,
210,10.7,10.7,
211,10.4,10.4,
212,9.9,9.9,
213,9.4,9.4,
214,9.1,9.1,
215,8.6,8.6,
216,8.2,8.2,
217,7.9,7.9,
218,7.8,7.8,
219,7.5,7.5,
220,7.3,7.3,
221,6.9,6.9,
222,6.7,6.7,
223,6.3,6.3,
224,6.2,6.2,
225,5.8,5.8,
226,5.6,5.6,
227,5.3,5.3,
228,5.0,5.0,
229,4.9,4.9,
230,4.6,4.6,
231,4.5,4.5,
232,4.3,4.3,
233,4.2,4.2,
234,4.0,4.0,
235,3.9,3.9,
236,3.6,3.6,
237,3.4,3.4,
238,3.2,3.2,
239,3.0,3.0,
240,2.8,2.8,
241,2.7,2.7,
242,2.6,2.6,
243,2.4,2.4,
244,2.2,2.2,
245,2.0,2.0,
246,1.8,1.8,
247,1.6,1.6,
248,1.5,1.5,
249,1.3,1.3,
250,1.2,1.2,
251,1.1,1.1,
252,1.0,1.0,
253,0.9,0.9,
254,0.8,0.8,
255,0.8,0.8,
256,0.7,0.7,
257,0.6,0.6,
258,0.6,0.6,
259,0.4,0.4,
260,0.3,0.3,
261,0.1,0.1,
262,0.0,0.0,
263,-0.1,-0.1,
264,-0.2,-0.2,
265,-0.3,-0.3,
266,-0.4,-0.4,
267,-0.4,-0.4,
268,-0.5,-0.5,
269,-0.6,-0.6,
270,-0.6,-0.6,
271,-0.7,-0.7,
272,-0.7,-0.7,
273,-0.7,-0.7,
274,-0.8,-0.8,
275,-0.8,-0.8,
276,-0.8,-0.8,
