Time after Ignition,Face_Shield_R1,Mean,Std. Dev.
0.0,-0.23417797728791923,-0.23417797728791923,
0.25,0.24642219315330804,0.24642219315330804,
0.5,0.6802274381424633,0.6802274381424633,
0.75,1.0689160920107954,1.0689160920107954,
1.0,1.435405161723744,1.435405161723744,
1.25,1.7530669055983426,1.7530669055983426,
1.5,2.1626385951898577,2.1626385951898577,
1.75,2.521578153959822,2.521578153959822,
2.0,2.869980533958097,2.869980533958097,
2.25,3.150101286546464,3.150101286546464,
2.5,3.3696674528895203,3.3696674528895203,
2.75,3.686336297166885,3.686336297166885,
3.0,4.024853880656913,4.024853880656913,
3.25,4.2555655647701025,4.2555655647701025,
3.5,4.599228061235007,4.599228061235007,
3.75,4.787001837236355,4.787001837236355,
4.0,5.138104949672314,5.138104949672314,
4.25,5.500521878876153,5.500521878876153,
4.5,5.673008063415751,5.673008063415751,
4.75,5.9828758401378925,5.9828758401378925,
5.0,6.213373905731093,6.213373905731093,
5.25,6.496262519015005,6.496262519015005,
5.5,6.643001781401772,6.643001781401772,
5.75,6.739613075497442,6.739613075497442,
6.0,7.00887550979484,7.00887550979484,
6.25,7.8639235239790155,7.8639235239790155,
6.5,8.820746122803552,8.820746122803552,
6.75,9.59104425008241,9.59104425008241,
7.0,10.302237326033657,10.302237326033657,
7.25,10.993915153979739,10.993915153979739,
7.5,11.757274991320655,11.757274991320655,
7.75,12.374036572065421,12.374036572065421,
8.0,12.941755064213218,12.941755064213218,
8.25,13.472568912558712,13.472568912558712,
8.5,14.00362657857502,14.00362657857502,
8.75,14.489688838197628,14.489688838197628,
9.0,14.575589858149652,14.575589858149652,
9.25,15.02117372755462,15.02117372755462,
9.5,15.74559304081081,15.74559304081081,
9.75,16.19304144416883,16.19304144416883,
10.0,16.54924310382242,16.54924310382242,
10.25,16.793672822264135,16.793672822264135,
10.5,17.29506233043698,17.29506233043698,
10.75,17.55433005191863,17.55433005191863,
11.0,17.774953015667183,17.774953015667183,
11.25,18.160221122115633,18.160221122115633,
11.5,18.236791530238058,18.236791530238058,
11.75,18.656923361924882,18.656923361924882,
12.0,19.029729742029843,19.029729742029843,
12.25,19.180844970177922,19.180844970177922,
12.5,18.990475943238728,18.990475943238728,
12.75,19.499925745460878,19.499925745460878,
13.0,18.772167299320003,18.772167299320003,
13.25,18.614757973017486,18.614757973017486,
13.5,18.539634234987147,18.539634234987147,
13.75,18.15665054791418,18.15665054791418,
14.0,17.858840309680062,17.858840309680062,
14.25,16.77047463993106,16.77047463993106,
14.5,16.364882719786035,16.364882719786035,
14.75,16.093653364891427,16.093653364891427,
15.0,14.988719590604811,14.988719590604811,
15.25,14.320105865132344,14.320105865132344,
15.5,13.520585147522441,13.520585147522441,
15.75,12.984696577315573,12.984696577315573,
16.0,12.357824390236512,12.357824390236512,
16.25,11.484964792983428,11.484964792983428,
16.5,11.644584925769804,11.644584925769804,
16.75,10.873767324712421,10.873767324712421,
17.0,10.186865979540892,10.186865979540892,
17.25,9.635466068527204,9.635466068527204,
17.5,9.074492121855949,9.074492121855949,
17.75,8.389668449250266,8.389668449250266,
18.0,7.9368167639010005,7.9368167639010005,
18.25,7.571560286965221,7.571560286965221,
18.5,6.995526196636198,6.995526196636198,
18.75,6.654061570888214,6.654061570888214,
19.0,6.409135313174414,6.409135313174414,
19.25,6.06170171562297,6.06170171562297,
19.5,5.545877884928478,5.545877884928478,
19.75,5.131819634835186,5.131819634835186,
20.0,4.675172520791284,4.675172520791284,
20.25,4.382035928429638,4.382035928429638,
20.5,4.004555993573719,4.004555993573719,
20.75,3.673290939481796,3.673290939481796,
21.0,3.403193514058212,3.403193514058212,
21.25,3.123539396918568,3.123539396918568,
21.5,2.947945883336732,2.947945883336732,
21.75,2.725094646442739,2.725094646442739,
22.0,2.500099624276797,2.500099624276797,
22.25,2.1329184460166535,2.1329184460166535,
22.5,1.7634324838471112,1.7634324838471112,
22.75,1.4108016972182986,1.4108016972182986,
23.0,1.1338162704496142,1.1338162704496142,
23.25,0.8560027367647531,0.8560027367647531,
23.5,0.6227719428759074,0.6227719428759074,
23.75,0.4066383708374202,0.4066383708374202,
24.0,0.08460617384734005,0.08460617384734005,
24.25,-0.20088341523028175,-0.20088341523028175,
24.5,-0.46277009039707573,-0.46277009039707573,
24.75,-0.6790895615836812,-0.6790895615836812,
25.0,-0.890478858217211,-0.890478858217211,
25.25,-1.0932952490965853,-1.0932952490965853,
25.5,-1.0979481443505188,-1.0979481443505188,
25.75,-1.2643566806281215,-1.2643566806281215,
26.0,-1.5442626933735808,-1.5442626933735808,
26.25,-1.7991253539706484,-1.7991253539706484,
26.5,-2.015876530649452,-2.015876530649452,
26.75,-2.215992360627081,-2.215992360627081,
27.0,-2.4076763073568284,-2.4076763073568284,
27.25,-2.555402794406444,-2.555402794406444,
27.5,-2.7152519118034832,-2.7152519118034832,
27.75,-2.789634047132365,-2.789634047132365,
28.0,-2.944243110262847,-2.944243110262847,
28.25,-3.0441653123737926,-3.0441653123737926,
28.5,-3.1437394685171562,-3.1437394685171562,
28.75,-3.180280251624778,-3.180280251624778,
