##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/mW,Sensit./(uV/mW)
50.694,10.01,-0.02381,0.0562874,0.6235
50.794,10.570780000000001,-0.02514477,0.07331211,0.6235
50.894,10.710989999999999,-0.02504676,0.06552543,0.6235
50.994,10.80729,-0.02490503,0.0711472,0.6235
51.094,10.877469999999999,-0.02628115,0.09738979,0.6235
51.194,10.93993,-0.02567626,0.10402,0.6235
51.294,10.991539999999999,-0.02644835,0.11370999999999999,0.62349
51.394,11.03359,-0.0261049,0.12695,0.62349
51.494,11.07214,-0.02576439,0.12885,0.62349
51.594,11.109919999999999,-0.02512561,0.14195,0.62349
51.694,11.14328,-0.02657627,0.15757000000000002,0.62349
51.794,11.174339999999999,-0.02624227,0.16134,0.62349
51.894,11.20319,-0.02543672,0.17062,0.62349
51.994,11.23091,-0.02602581,0.17387,0.62349
52.094,11.25709,-0.02827719,0.18261,0.62349
52.194,11.281839999999999,-0.02876413,0.1936,0.62348
52.294,11.304969999999999,-0.02764696,0.20453,0.62348
52.394,11.327169999999999,-0.02735529,0.2105,0.62348
52.494,11.348230000000001,-0.02846514,0.22341,0.62348
52.594,11.36862,-0.02890543,0.22211,0.62348
52.694,11.38899,-0.02958635,0.23858000000000001,0.62348
52.794,11.408610000000001,-0.02930153,0.24774000000000002,0.62348
52.894,11.427389999999999,-0.02905766,0.24584,0.62347
52.994,11.44581,-0.02796267,0.25893,0.62347
53.094,11.46342,-0.02811055,0.27709,0.62347
53.194,11.48015,-0.02908356,0.27781999999999996,0.62347
53.294,11.49661,-0.02983591,0.28824,0.62347
53.394,11.51264,-0.02983169,0.29462,0.62347
53.494,11.5283,-0.03071337,0.3011,0.62347
53.594,11.54377,-0.03078454,0.31285,0.62347
53.694,11.55912,-0.03041805,0.31561999999999996,0.62346
53.794,11.57408,-0.03041201,0.32377,0.62346
53.894,11.588519999999999,-0.03043184,0.3273,0.62346
53.994,11.60248,-0.02984043,0.3292,0.62346
54.094,11.61646,-0.03006129,0.3393,0.62346
54.194,11.63008,-0.03071495,0.35249,0.62346
54.294,11.643419999999999,-0.03007809,0.36369,0.62345
54.394,11.65625,-0.02976723,0.37699,0.62345
54.494,11.669210000000001,-0.02917293,0.37990999999999997,0.62345
54.594,11.68191,-0.02909341,0.39294,0.62345
54.694,11.69435,-0.02859338,0.38856999999999997,0.62345
54.794,11.70646,-0.02851337,0.3974,0.62345
54.894,11.71838,-0.02823485,0.40853,0.62344
54.994,11.7301,-0.02787321,0.41613999999999995,0.62344
55.094,11.74163,-0.02814689,0.42449,0.62344
55.194,11.75303,-0.02827414,0.43163999999999997,0.62344
55.294,11.76441,-0.02870434,0.44004,0.62344
55.394,11.77557,-0.02752402,0.44885,0.62344
55.494,11.78663,-0.02577462,0.45296000000000003,0.62343
55.594,11.79758,-0.02209972,0.4597,0.62343
55.694,11.80823,-0.01848443,0.46416999999999997,0.62343
55.794,11.81886,-0.0172344,0.47098999999999996,0.62343
55.894,11.82934,-0.01665557,0.46646000000000004,0.62343
55.994,11.8399,-0.02156375,0.46868000000000004,0.62343
56.094,11.85003,-0.02656818,0.47118000000000004,0.62342
56.194,11.86011,-0.03288188,0.48356000000000005,0.62342
56.294,11.8702,-0.03812809,0.49454,0.62342
56.394,11.880180000000001,-0.0399518,0.49558,0.62342
56.494,11.89,-0.04048,0.49318999999999996,0.62342
56.594,11.89992,-0.03819541,0.49927,0.62341
56.694,11.90957,-0.03703863,0.50279,0.62341
56.794,11.91928,-0.03487435,0.51169,0.62341
56.894,11.92875,-0.03251481,0.5281600000000001,0.62341
56.994,11.93816,-0.0324551,0.5374800000000001,0.62341
57.094,11.94737,-0.03175618,0.55297,0.62341
57.194,11.9566,-0.03069833,0.56013,0.6234
57.294,11.965710000000001,-0.03085215,0.5623199999999999,0.6234
57.394,11.974739999999999,-0.03019652,0.5616399999999999,0.6234
57.494,11.98373,-0.02952677,0.56529,0.6234
57.594,11.9926,-0.02951462,0.57416,0.6234
57.694,12.00147,-0.02827306,0.5757899999999999,0.62339
57.794,12.01027,-0.02785491,0.58148,0.62339
57.894,12.01897,-0.0272485,0.5845899999999999,0.62339
57.994,12.027619999999999,-0.02733446,0.58901,0.62339
58.094,12.03603,-0.02758918,0.59045,0.62338
58.194,12.044410000000001,-0.02771739,0.59344,0.62338
58.294,12.05288,-0.02800157,0.59604,0.62338
58.394,12.06121,-0.02849297,0.5966899999999999,0.62338
58.494,12.06944,-0.02912743,0.60524,0.62338
58.594,12.07777,-0.02998243,0.61234,0.62337
58.694,12.08596,-0.02913651,0.6218100000000001,0.62337
58.794,12.09395,-0.02910552,0.63385,0.62337
58.894,12.10187,-0.02997393,0.6428699999999999,0.62337
58.994,12.109739999999999,-0.02930506,0.64842,0.62336
59.094,12.117560000000001,-0.02941805,0.65869,0.62336
59.194,12.125639999999999,-0.02950134,0.66861,0.62336
59.294,12.13365,-0.0293777,0.6734399999999999,0.62336
59.394,12.1414,-0.02957607,0.67453,0.62336
59.494,12.14921,-0.02976715,0.6755,0.62335
59.594,12.156930000000001,-0.02905743,0.67729,0.62335
59.694,12.16455,-0.02944724,0.68411,0.62335
59.794,12.1721,-0.02983633,0.6896800000000001,0.62335
59.894,12.17963,-0.02877746,0.68904,0.62334
59.994,12.18727,-0.02912892,0.69296,0.62334
60.094,12.19485,-0.03016139,0.69922,0.62334
60.194,12.20239,-0.03068234,0.70613,0.62334
60.294,12.20993,-0.03061072,0.7135100000000001,0.62333
60.394,12.21734,-0.03065864,0.7186,0.62333
60.494,12.224689999999999,-0.03085578,0.72083,0.62333
60.594,12.23197,-0.03113169,0.7229800000000001,0.62333
60.694,12.23921,-0.03128433,0.7276600000000001,0.62332
60.794,12.24651,-0.03092495,0.73338,0.62332
60.894,12.253730000000001,-0.03060076,0.73729,0.62332
60.994,12.260860000000001,-0.0304796,0.7412,0.62332
61.094,12.26806,-0.03024062,0.74846,0.62331
61.194,12.27515,-0.03005122,0.75412,0.62331
61.294,12.282160000000001,-0.02970073,0.75971,0.62331
61.394,12.28918,-0.02929394,0.76679,0.62331
61.494,12.29614,-0.02950451,0.77055,0.6233
61.594,12.30308,-0.02895343,0.7712,0.6233
61.694,12.31001,-0.02797985,0.77237,0.6233
61.794,12.3169,-0.02874437,0.77777,0.6233
61.894,12.323780000000001,-0.02936795,0.78475,0.62329
61.994,12.330630000000001,-0.02890213,0.79133,0.62329
62.094,12.33743,-0.02820142,0.79735,0.62329
62.194,12.34421,-0.02823766,0.80214,0.6232800000000001
62.294,12.35095,-0.02897831,0.80762,0.6232800000000001
62.394,12.357619999999999,-0.02969987,0.81475,0.6232800000000001
62.494,12.3643,-0.02988215,0.8174600000000001,0.6232800000000001
62.594,12.37101,-0.02985759,0.81796,0.62327
62.694,12.37772,-0.0301124,0.82363,0.62327
62.794,12.38441,-0.03015276,0.83759,0.62327
62.894,12.39103,-0.03021308,0.8509200000000001,0.62327
62.994,12.39755,-0.030635,0.8542200000000001,0.62326
63.094,12.404069999999999,-0.03062846,0.85544,0.62326
63.194,12.4106,-0.03025074,0.85992,0.62326
63.294,12.41714,-0.03004306,0.86745,0.62325
63.394,12.42366,-0.02978348,0.87274,0.62325
63.494,12.43013,-0.02962153,0.87403,0.62325
63.594,12.4365,-0.02990593,0.87336,0.62324
63.694,12.44282,-0.03007907,0.8726200000000001,0.62324
63.794,12.44917,-0.02979324,0.87555,0.62324
63.894,12.45562,-0.02928202,0.8860299999999999,0.62324
