Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13420715928077698,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.844285011291504,15.407133102416992,1,1,1,1.0007895231246948,1.0293573141098022,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,19.084367752075195,19.581472396850586,144.0702667236328,104.9051513671875,104.93415832519531,0.0005169161595404148,0.041083402931690216,21.008602142333984,-444.22650146484375,-0.002522021997720003,,
1,0,18.007394790649414,19.421689987182617,143.13720703125,104.96569061279297,104.69590759277344,0.00044897853513248265,0.044984858483076096,21.00472068786621,446.3321228027344,0.02323741465806961,0.0,0.0
2,0.25,17.68417739868164,19.126264572143555,144.2935791015625,104.94879150390625,104.83555603027344,0.00043881236342713237,0.04516315460205078,21.004316329956055,446.0718994140625,0.009747945703566074,0.0,0.0
3,0.5,17.87114906311035,19.118358612060547,143.67303466796875,104.96231079101562,104.98084259033203,0.00042966281762346625,0.04532362148165703,21.003952026367188,446.0018310546875,-0.0015942807076498866,0.0,0.0
4,0.75,16.822139739990234,17.686166763305664,141.96788024902344,104.94963073730469,105.01516723632812,0.0004214282089378685,0.0454680398106575,21.003623962402344,446.3020935058594,-0.005636683199554682,0.0,0.0
5,1,17.34714126586914,17.86728858947754,143.03799438476562,104.94033813476562,104.86658477783203,0.0004159197851549834,0.045598018914461136,21.00333023071289,446.3020935058594,0.006348494440317154,0.0,0.0
6,1.25,17.51119613647461,17.98113441467285,144.59811401367188,104.93527221679688,104.77207946777344,0.0004109622095711529,0.04574356973171234,21.00306510925293,446.0519104003906,0.014053226448595524,0.0,0.0
7,1.5,17.1959285736084,17.862125396728516,144.17144775390625,104.93062591552734,104.53510284423828,0.00040650038863532245,0.045874565839767456,21.002826690673828,446.0919189453125,0.03409921005368233,0.0,0.0
8,1.75,17.083513259887695,17.857816696166992,144.02261352539062,104.92301940917969,104.58964538574219,0.00040248475852422416,0.04599246382713318,21.00261116027832,446.2720642089844,0.028734860941767693,0.0,0.0
9,2,17.05803108215332,17.42159652709961,144.3179931640625,104.90907287597656,104.82662200927734,0.0003988707030657679,0.04609857127070427,21.002418518066406,446.2120056152344,0.0070992582477629185,0.0,0.0
10,2.25,17.156618118286133,18.10708236694336,145.631591796875,104.91203308105469,104.87128448486328,0.00039561802987009287,0.04619406908750534,21.00224494934082,446.1419677734375,0.0035072879400104284,0.0,0.0
11,2.5,17.07080078125,17.718843460083008,141.6892852783203,104.90950012207031,104.87834167480469,0.00039269065018743277,0.046265728771686554,21.0019474029541,446.2120056152344,0.0026819761842489243,0.0,0.0
12,2.75,17.347139358520508,18.28089714050293,145.5003204345703,104.90612030029297,104.65406036376953,0.00042635085992515087,0.046330224722623825,21.001991271972656,446.1919860839844,0.02172132395207882,0.0,0.0
13,3,17.14369010925293,17.934568405151367,147.68479919433594,104.88541412353516,104.62020874023438,0.0004407007363624871,0.04638826847076416,21.002029418945312,446.1019287109375,0.022860560566186905,0.0,0.0
14,3.25,17.2525634765625,17.626773834228516,145.9292755126953,104.89132690429688,104.67192840576172,0.0004407007363624871,0.04644050821661949,21.002029418945312,446.1419677734375,0.018906433135271072,0.0,0.0
15,3.5,17.177244186401367,18.07753562927246,146.3513641357422,104.88626098632812,104.3080062866211,0.00045361561933532357,0.046444665640592575,21.002063751220703,446.1719970703125,0.04991840198636055,0.0,0.0
16,3.75,17.368146896362305,17.736186981201172,143.75469970703125,104.8761215209961,104.39263916015625,0.0004938335623592138,0.04644840583205223,21.002010345458984,446.1019287109375,0.04172245040535927,0.0,0.0
17,4,17.751117706298828,17.787612915039062,143.74630737304688,104.86851501464844,104.1942138671875,0.000530029705259949,0.04645177349448204,21.00196075439453,446.0819396972656,0.058247022330760956,0.0,0.0
18,4.25,17.348892211914062,17.852251052856445,141.80377197265625,104.8778076171875,104.13638305664062,0.0005626062047667801,0.04645480588078499,21.001916885375977,446.1619873046875,0.06405987590551376,0.0,0.0
19,4.5,17.47854995727539,17.717308044433594,141.8175048828125,104.85457611083984,104.48573303222656,0.0006339416722767055,0.04645753279328346,21.001876831054688,446.1719970703125,0.03181806206703186,0.0,0.0
20,4.75,18.02994155883789,18.06491470336914,143.6806640625,104.86048889160156,104.48808288574219,0.0006981435581110418,0.04645998775959015,21.001611709594727,446.1219482421875,0.03212482109665871,0.0,0.0
21,5,17.352895736694336,17.822925567626953,143.20437622070312,104.84527587890625,104.29389953613281,0.0007559252553619444,0.04701274633407593,21.001373291015625,446.1219482421875,0.04761126637458801,0.0,0.0
22,5.25,17.23806381225586,17.7810001373291,144.1256561279297,104.8511962890625,103.99485778808594,0.000807928794529289,0.04751022905111313,21.001157760620117,446.1819763183594,0.07404748350381851,0.0,0.0
23,5.5,16.64569091796875,17.444416046142578,143.41351318359375,104.8309097290039,104.17399597167969,0.0008547320030629635,0.048360925167798996,21.00096321105957,446.1119384765625,0.056760333478450775,0.0,0.0
24,5.75,17.656763076782227,18.030872344970703,141.0641632080078,104.83683013916016,103.74189758300781,0.0008968548499979079,0.04872358962893486,20.99135398864746,446.0819396972656,0.09480130672454834,0.0,0.0
25,6,17.43202018737793,17.7178955078125,141.53662109375,104.82626342773438,103.62059020996094,0.0008968548499979079,0.052182529121637344,20.98270606994629,446.1119384765625,0.10445495694875717,0.0,0.0
26,6.25,17.74102020263672,17.462678909301758,141.92359924316406,104.82626342773438,103.52796173095703,0.0009347654413431883,0.052182529121637344,20.98270606994629,446.0618896484375,0.11253040283918381,0.0,0.0
27,6.5,17.392942428588867,17.61800193786621,144.92709350585938,104.82669067382812,102.91389465332031,0.0010781774763017893,0.05529557541012764,20.974924087524414,445.9317932128906,0.16628438234329224,0.0,0.0
28,6.75,17.571510314941406,17.670372009277344,146.86505126953125,104.82161712646484,103.60883331298828,0.0012072483077645302,0.058097317814826965,20.967920303344727,445.9617919921875,0.10507950186729431,0.0,0.0
29,7,17.47014808654785,18.183238983154297,135.412109375,104.80767822265625,105.62734985351562,0.001323412056080997,0.06061888486146927,20.949190139770508,445.9518127441406,-0.07034225016832352,0.0,1.0
30,7.25,17.846336364746094,17.88739585876465,136.99131774902344,104.81232452392578,106.50895690917969,0.001427959417924285,0.06780292838811874,20.93233299255371,445.83172607421875,-0.1449921727180481,0.0,1.0
31,7.5,17.454296112060547,17.92568588256836,133.65122985839844,104.80091857910156,107.6844253540039,0.0015220519853755832,0.07426856458187103,20.91716194152832,445.89178466796875,-0.24508123099803925,0.0,1.0
32,7.75,17.21331214904785,18.075592041015625,127.27177429199219,104.79246520996094,107.5537109375,0.001670937635935843,0.08008763939142227,20.903507232666016,445.69158935546875,-0.23484206199645996,0.0,1.0
33,8,17.57916259765625,18.202543258666992,125.40404510498047,104.79246520996094,107.39055633544922,0.0018049346981570125,0.08532480895519257,20.887075424194336,445.511474609375,-0.2211347222328186,0.0,1.0
34,8.25,17.941102981567383,18.190410614013672,125.7032470703125,104.79795837402344,107.44133758544922,0.001925532124005258,0.0900382548570633,20.87228775024414,445.4613952636719,-0.22493009269237518,0.0,1.0
35,8.5,17.877145767211914,18.061098098754883,122.68525695800781,104.80387115478516,106.39657592773438,0.0020875190384685993,0.09428036212921143,20.858978271484375,445.72161865234375,-0.13618850708007812,0.0,1.0
36,8.75,17.982065200805664,18.431987762451172,127.95796203613281,104.83345031738281,105.21217346191406,0.002233307110145688,0.10353478789329529,20.847000122070312,445.6215515136719,-0.03256089985370636,0.0,1.0
37,9,18.563108444213867,18.84729766845703,128.16175842285156,104.82415008544922,103.59989929199219,0.0023645164910703897,0.10353478789329529,20.836219787597656,445.5614929199219,0.10607635974884033,0.0,1.0
38,9.25,18.615671157836914,17.943872451782227,124.7483901977539,104.8473892211914,101.58937072753906,0.0024826049339026213,0.11186376959085464,20.82651710510254,445.6716003417969,0.28503262996673584,0.0,1.0
