Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.1345367431640625,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,14.858515739440918,16.652210235595703,1,1,1,1.000867486000061,1.0138020515441895,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,20.76854705810547,21.361574172973633,140.30262756347656,111.89105987548828,112.7758560180664,0.0003093968261964619,0.052141714841127396,21.01247215270996,-833.9738159179688,-0.07003261148929596,,
1,0,20.533477783203125,21.160608291625977,141.90391540527344,111.53545379638672,112.07362365722656,0.0003023831231985241,0.058691494166851044,21.005903244018555,-330.8868103027344,-0.042806413024663925,0.0,0.0
2,0.25,20.397077560424805,20.649208068847656,140.7376251220703,111.52684020996094,112.17119598388672,0.00029645953327417374,0.058762434870004654,21.005826950073242,-330.7867126464844,-0.051232222467660904,0.0,0.0
3,0.5,20.363563537597656,21.10161781311035,143.8006591796875,111.50869750976562,112.28858184814453,0.00029112829361110926,0.058826278895139694,21.00575828552246,-330.7967224121094,-0.061980679631233215,0.0,0.0
4,0.75,19.069183349609375,19.72989845275879,140.83609008789062,111.5141372680664,112.00298309326172,0.0002863301779143512,0.05888374149799347,21.005695343017578,-330.7867126464844,-0.03889889642596245,0.0,0.0
5,1,19.32927894592285,20.01570701599121,143.7121124267578,111.52003479003906,112.094970703125,0.0002820118679665029,0.05893545597791672,21.005638122558594,-330.7366638183594,-0.045729391276836395,0.0,0.0
6,1.25,19.19180679321289,19.905651092529297,141.2627716064453,111.5236587524414,111.91506958007812,0.00028840606682933867,0.059112533926963806,21.005355834960938,-330.87677001953125,-0.03115655668079853,0.0,0.0
7,1.5,19.69976043701172,20.14463233947754,144.79290771484375,111.5155029296875,112.0421142578125,0.00029416085453704,0.059271905571222305,21.005102157592773,-330.7666931152344,-0.04189674183726311,0.0,0.0
8,1.75,19.14131736755371,19.79900550842285,142.19931030273438,111.52320861816406,112.3973388671875,0.00029934014310128987,0.059415340423583984,21.004873275756836,-330.8267517089844,-0.0694325789809227,0.0,0.0
9,2,19.195905685424805,20.193599700927734,143.66555786132812,111.5155029296875,112.14730834960938,0.00030400152900256217,0.059544432908296585,21.004667282104492,-330.8267517089844,-0.050242260098457336,0.0,0.0
10,2.25,19.198259353637695,20.079069137573242,140.14990234375,111.52230072021484,112.4964370727539,0.00032169936457648873,0.05987105891108513,21.00448226928711,-330.7967224121094,-0.07734200358390808,0.0,0.0
11,2.5,19.610095977783203,20.165800094604492,137.67689514160156,111.52593231201172,112.38768005371094,0.0003376274253241718,0.06016502529382706,21.004314422607422,-330.84674072265625,-0.06845127791166306,0.0,0.0
12,2.75,19.18789291381836,20.143098831176758,139.45379638671875,111.4982681274414,112.6092529296875,0.00035196266253478825,0.060429591685533524,21.00416374206543,-330.80670166015625,-0.08817240595817566,0.0,0.0
13,3,19.113475799560547,19.865293502807617,139.5446319580078,111.51142120361328,112.46238708496094,0.0003648643905762583,0.06066770479083061,21.0040283203125,-330.84674072265625,-0.07551781833171844,0.0,0.0
14,3.25,19.183631896972656,19.77142333984375,141.73751831054688,111.52094268798828,112.35160064697266,0.0003648643905762583,0.06088200584053993,21.0040283203125,-330.8167419433594,-0.06599341332912445,0.0,0.0
15,3.5,19.47029685974121,20.06553840637207,142.4618682861328,111.50552368164062,112.5157470703125,0.00037647594581358135,0.06126370280981064,21.00390625,-330.8267517089844,-0.08020628988742828,0.0,0.0
16,3.75,18.91618537902832,19.80782127380371,138.68899536132812,111.51368713378906,112.37650299072266,0.00039722013752907515,0.061607230454683304,21.003564834594727,-330.84674072265625,-0.06854315102100372,0.0,0.0
17,4,19.37003517150879,20.258296966552734,139.76902770996094,111.51686096191406,112.31450653076172,0.00041588989552110434,0.06191640719771385,21.003257751464844,-330.83673095703125,-0.06338247656822205,0.0,0.0
18,4.25,19.58049774169922,19.867502212524414,139.62171936035156,111.50008392333984,112.61483764648438,0.0004326926718931645,0.062194664031267166,21.002981185913086,-330.84674072265625,-0.088468998670578,0.0,0.0
19,4.5,19.070581436157227,20.557090759277344,141.3528289794922,111.50688171386719,112.5538558959961,0.0004516767803579569,0.06244509667158127,21.002731323242188,-330.83673095703125,-0.08310948312282562,0.0,0.0
20,4.75,19.385725021362305,20.152555465698242,139.0546112060547,111.50416564941406,112.56401824951172,0.000468762475065887,0.06269227713346481,21.002506256103516,-330.84674072265625,-0.08412932604551315,0.0,0.0
21,5,19.455949783325195,20.356290817260742,139.92703247070312,111.50643157958984,112.57113647460938,0.00048413960030302405,0.06291474401950836,21.002304077148438,-330.84674072265625,-0.08451086282730103,0.0,0.0
22,5.25,19.783418655395508,19.942842483520508,138.71495056152344,111.52411651611328,112.50608825683594,0.0004979789955541492,0.0631149634718895,21.00212287902832,-330.84674072265625,-0.07796013355255127,0.0,0.0
23,5.5,19.619159698486328,20.098955154418945,137.39219665527344,111.52456665039062,112.51625061035156,0.0005085035809315741,0.0632951557636261,21.0019588470459,-330.86676025390625,-0.07872750610113144,0.0,0.0
24,5.75,19.30809783935547,20.395240783691406,136.8609619140625,111.51595306396484,112.82624816894531,0.0005179757135920227,0.06334110349416733,21.002044677734375,-330.8567810058594,-0.1038820818066597,0.0,0.0
25,6,20.015878677368164,19.87771987915039,140.97119140625,111.52003479003906,112.5157470703125,0.0005265006329864264,0.06338246166706085,21.002120971679688,-330.87677001953125,-0.07904945313930511,0.0,0.0
26,6.25,19.902721405029297,20.14107322692871,136.83119201660156,111.51912689208984,112.18135833740234,0.0005341730429790914,0.06338246166706085,21.00218963623047,-330.87677001953125,-0.05265311896800995,0.0,0.0
