Sample ID:	C:\MCC\MCC Cal\Test\Fiberglas_Inaulation1_MCC_30K_min_220124_R2.txt
Sample Weight (mg):	4.78
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
-0.001	113.134	80.005	19.993	103.752	20.131	0.223	-0.019
0.499	113.172	80.009	19.994	103.750	20.136	-0.092	-0.017
0.999	113.144	79.995	19.994	103.749	20.133	0.060	0.004
1.499	113.187	80.010	19.991	103.745	20.136	-0.126	0.012
1.999	113.144	80.005	19.994	103.748	20.137	-0.163	0.008
2.499	113.126	80.000	19.995	103.746	20.133	0.107	-0.030
2.999	113.159	80.008	19.992	103.746	20.136	-0.101	-0.023
3.499	113.183	80.020	19.993	103.747	20.132	0.174	0.036
3.999	113.175	80.006	19.997	103.750	20.133	0.098	0.037
4.499	113.150	80.011	19.994	103.745	20.134	0.041	-0.008
4.999	113.117	80.011	19.993	103.747	20.133	0.073	-0.046
5.499	113.134	80.007	19.998	103.750	20.132	0.141	-0.038
6.000	113.168	80.008	19.995	103.745	20.132	0.141	0.017
6.500	113.170	80.014	19.993	103.746	20.133	0.071	0.044
6.999	113.148	80.006	19.993	103.749	20.135	-0.071	0.008
7.499	113.136	79.990	19.996	103.748	20.133	0.084	-0.027
7.999	113.140	79.992	19.997	103.744	20.134	0.032	-0.021
8.499	113.136	79.993	19.995	103.747	20.137	-0.203	-0.004
8.999	113.145	80.000	19.996	103.745	20.135	-0.058	0.002
9.499	113.170	80.011	19.996	103.739	20.132	0.133	0.020
9.999	113.148	79.992	19.994	103.736	20.132	0.126	0.018
10.499	113.168	80.016	19.994	103.735	20.134	0.047	0.001
10.999	113.136	80.017	19.992	103.737	20.133	0.096	-0.007
11.499	113.160	79.999	19.995	103.738	20.130	0.278	-0.010
11.999	113.100	80.016	19.994	103.743	20.132	0.120	-0.022
12.499	113.155	80.003	19.993	103.748	20.134	0.039	-0.021
12.999	113.147	80.011	19.993	103.757	20.129	0.347	0.021
13.499	113.132	80.018	19.994	103.764	20.131	0.195	0.012
13.999	113.105	80.014	19.993	103.771	20.130	0.315	-0.032
14.499	113.088	80.016	19.994	103.778	20.132	0.150	-0.043
14.999	113.133	80.018	19.992	103.783	20.129	0.340	-0.009
15.499	113.105	80.004	19.993	103.787	20.128	0.390	0.022
15.999	113.139	80.013	19.994	103.789	20.126	0.536	0.012
16.499	113.148	80.005	19.997	103.796	20.125	0.597	0.025
16.999	113.138	80.002	19.995	103.805	20.127	0.488	0.021
17.499	113.121	80.008	19.996	103.809	20.125	0.630	-0.014
17.999	113.130	80.011	19.994	103.811	20.126	0.574	-0.018
18.499	113.186	80.003	19.994	103.815	20.123	0.779	0.029
