LABORATORY,FSRI 
TEST IDENT,R30Insulation_HF75_1
OPERATOR,Dow
MATERIAL,R30 Fiberglass Insulation
ORIENTATION,Horizontal
HEAT FLUX,75
SURF AREA,0.009999999776482582
C FACTOR,0.04175092279911041
SPEC HOLDER DIFF,-566
SPECIMEN MASS,4.389999866485596
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,7685
TIME TO IGN,0
END OF TEST SCAN,7205
END OF TEST TIME,1801.25
TEST STATUS,1
PRE TEST CMT,Dimensions: 110 x 100 x 54 mm
POST TEST CMT,Within the first minute of exposure the sample shriveled significantly (see post test pictures).No ignition. Test ended after 30 minutes. 
