Names,Fiberglass_Insulation_R30_Paper_Faced_R1,Fiberglass_Insulation_R30_Paper_Faced_R2,Fiberglass_Insulation_R30_Paper_Faced_R3,Mean,Std. Dev.
35,56.7,74.4,45.6,58.9,14.5
36,61.8,82.0,56.5,66.8,13.5
37,70.9,87.4,64.2,74.2,11.9
38,79.0,91.1,74.2,81.4,8.7
39,88.6,96.6,83.6,89.6,6.6
40,94.6,100.4,88.8,94.6,5.8
41,104.1,103.9,94.4,100.8,5.6
42,110.3,108.3,100.7,106.4,5.0
43,116.3,111.6,107.7,111.8,4.3
44,121.2,112.0,111.0,114.7,5.6
45,128.0,113.2,115.3,118.8,8.0
46,133.1,114.0,120.9,122.6,9.6
47,137.5,113.0,124.0,124.8,12.3
48,142.4,112.2,124.7,126.4,15.2
49,145.4,108.8,128.8,127.6,18.3
50,148.9,107.7,131.6,129.4,20.7
51,152.2,106.3,134.0,130.8,23.1
52,148.8,105.0,138.3,130.7,22.9
53,147.6,102.1,137.3,129.0,23.8
54,143.6,99.6,133.7,125.6,23.1
55,141.2,98.6,132.8,124.2,22.6
56,139.7,95.5,133.0,122.7,23.8
57,132.6,93.9,131.1,119.2,21.9
58,128.0,92.5,126.1,115.5,20.0
59,124.5,91.2,125.5,113.7,19.5
60,120.7,87.2,121.9,109.9,19.7
61,116.3,85.8,120.3,107.5,18.8
62,110.4,83.2,115.3,103.0,17.3
