LABORATORY,FSRI 
TEST IDENT,Dekalb_Fiber_HF50_R3
OPERATOR,Marino
MATERIAL,Dekalb_Fiberglass
ORIENTATION,Horizontal
HEAT FLUX,50
SURF AREA,0.009999999776482582
C FACTOR,0.03901611641049385
SPEC HOLDER DIFF,-566
SPECIMEN MASS,21.799999237060547
SCAN TIME,0.25
O2 DELAY TIME,9
CO DELAY TIME,8
CO2 DELAY TIME,7
FLOW FACTOR,1
SCAN COUNT,916
TIME TO IGN,12
END OF TEST SCAN,436
END OF TEST TIME,109
TEST STATUS,1
PRE TEST CMT,Dimensions: 100.81 x 98.38 x 2.31 mm; sample composed of 2 pieces
POST TEST CMT,"Sample started off gassing, bubbles started to form on the surface of the sample. Sample ignited and burned with a sooty flame. Sample edges warped upwards approximately 3 millimeters."
