LABORATORY,FSRI 
TEST IDENT,Standard_Gypsum_25_2
OPERATOR,Dow
MATERIAL,Standard Gypsum
ORIENTATION,Horizontal
HEAT FLUX,25
SURF AREA,0.009999999776482582
C FACTOR,0.04185835272073746
SPEC HOLDER DIFF,-566
SPECIMEN MASS,78.0999984741211
SCAN TIME,0.25
O2 DELAY TIME,11
CO DELAY TIME,11
CO2 DELAY TIME,8
FLOW FACTOR,1
SCAN COUNT,2883
TIME TO IGN,0
END OF TEST SCAN,2403
END OF TEST TIME,600.75
TEST STATUS,1
PRE TEST CMT,Dimensions: 102.79 x 103.58 x 12.73 mm
POST TEST CMT,"The gypsum paper turned a dark color before shriveling and curling upwards. As it curled, the paper turned a glowing orange color, however there was no ignition. Test ended after 10 minutes. "
