Sample ID:	C:\MCC\MCC Cal\Test\Gypsum_Wallboard_GypsumCore_MCC_30K_min_211004_R1.txt
Sample Weight (mg):	4.73
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	106.812	79.994	19.997	100.627	20.034	-0.092	0.001
0.500	106.816	79.993	19.998	100.627	20.030	0.132	0.010
1.000	106.780	79.994	19.996	100.628	20.031	0.074	-0.011
1.500	106.784	79.994	19.995	100.630	20.033	-0.052	-0.032
2.000	106.807	79.994	19.996	100.629	20.030	0.170	-0.003
2.500	106.800	79.994	19.996	100.628	20.033	-0.065	0.022
3.000	106.792	79.995	19.996	100.627	20.033	-0.054	0.000
3.500	106.799	79.994	19.996	100.624	20.031	0.112	-0.008
4.000	106.800	79.993	19.996	100.622	20.032	0.036	0.004
4.500	106.796	79.995	19.996	100.622	20.030	0.177	0.002
5.000	106.822	79.994	19.996	100.622	20.029	0.212	0.010
5.500	106.824	79.994	19.996	100.623	20.028	0.255	0.025
6.000	106.813	79.993	19.996	100.626	20.031	0.092	0.009
6.500	106.780	79.993	19.997	100.628	20.030	0.148	-0.027
7.000	106.777	79.994	19.996	100.628	20.030	0.127	-0.040
7.500	106.781	79.994	19.995	100.628	20.029	0.244	-0.017
8.000	106.791	79.993	19.996	100.631	20.028	0.298	0.008
8.500	106.799	79.995	19.996	100.636	20.029	0.226	0.016
9.000	106.787	79.994	19.997	100.641	20.027	0.356	0.007
9.500	106.787	79.994	19.996	100.645	20.027	0.385	-0.008
10.000	106.777	79.992	19.996	100.650	20.028	0.291	-0.011
10.500	106.784	79.994	19.998	100.650	20.027	0.336	-0.006
11.001	106.789	79.994	19.996	100.651	20.026	0.389	0.004
11.501	106.775	79.995	19.996	100.654	20.025	0.459	0.001
12.001	106.781	79.995	19.995	100.656	20.026	0.431	-0.008
12.501	106.823	79.993	19.996	100.660	20.024	0.541	0.021
13.000	106.813	79.992	19.995	100.666	20.023	0.601	0.040
13.500	106.795	79.993	19.996	100.668	20.026	0.434	0.002
14.000	106.786	79.996	19.997	100.674	20.024	0.586	-0.028
14.500	106.816	79.993	19.997	100.682	20.021	0.760	-0.003
15.000	106.834	79.994	19.997	100.689	20.020	0.818	0.034
15.500	106.842	79.994	19.997	100.694	20.025	0.519	0.037
16.000	106.863	79.994	19.997	100.702	20.022	0.664	0.027
16.500	106.847	79.994	19.996	100.705	20.022	0.697	0.017
17.000	106.902	79.994	19.997	100.710	20.021	0.775	0.022
17.500	106.876	79.994	19.997	100.711	20.019	0.898	0.034
18.000	106.910	79.994	19.995	100.711	20.017	0.994	0.018
18.500	106.916	79.993	19.996	100.711	20.016	1.099	0.024
19.000	106.900	79.995	19.995	100.718	20.014	1.216	0.015
19.500	106.911	79.995	19.996	100.701	20.017	1.030	-0.008
20.000	106.939	79.994	19.996	100.685	20.013	1.314	0.017
20.500	106.976	79.994	19.998	100.678	20.015	1.176	0.052
21.000	107.008	79.994	19.997	100.680	20.015	1.175	0.067
21.500	107.015	79.993	19.996	100.681	20.014	1.202	0.054
22.000	107.057	79.994	19.996	100.705	20.010	1.470	0.044
22.500	107.049	79.994	19.995	100.754	20.013	1.263	0.041
23.000	107.047	79.994	19.996	100.800	20.011	1.430	0.012
23.500	107.118	79.993	19.996	100.822	20.010	1.459	0.030
24.000	107.180	79.993	19.995	100.829	20.010	1.495	0.101
24.500	107.212	79.995	19.995	100.833	20.005	1.795	0.113
25.000	107.235	79.994	19.995	100.819	20.007	1.667	0.075
25.500	107.283	79.995	19.995	100.800	20.010	1.459	0.063
26.000	107.327	79.994	19.995	100.797	20.006	1.763	0.081
26.500	107.357	79.993	19.995	100.803	20.006	1.765	0.083
27.000	107.413	79.994	19.996	100.806	20.007	1.709	0.080
27.500	107.466	79.995	19.996	100.806	20.004	1.881	0.097
28.000	107.491	79.995	19.994	100.806	20.004	1.900	0.094
28.500	107.529	79.995	19.996	100.804	20.004	1.899	0.070
29.000	107.579	79.994	19.996	100.805	20.003	1.949	0.075
29.500	107.662	79.995	19.995	100.809	20.003	1.922	0.111
30.000	107.701	79.995	19.996	100.808	20.002	2.024	0.128
30.500	107.761	79.996	19.995	100.811	20.004	1.909	0.111
31.000	107.825	79.994	19.995	100.813	20.001	2.076	0.111
31.500	107.885	79.995	19.996	100.814	20.002	2.034	0.124
32.001	107.930	79.995	19.996	100.815	19.999	2.195	0.115
32.500	108.000	79.995	19.995	100.819	20.002	2.009	0.110
33.000	108.064	79.995	19.996	100.820	20.001	2.103	0.124
33.500	108.137	79.997	19.995	100.820	19.999	2.246	0.136
34.000	108.207	79.995	19.995	100.820	19.998	2.284	0.140
34.500	108.289	79.996	19.995	100.820	19.997	2.348	0.147
35.000	108.353	79.996	19.995	100.820	20.001	2.089	0.149
35.500	108.470	79.997	19.995	100.820	20.000	2.172	0.164
36.000	108.523	79.996	19.996	100.819	19.998	2.269	0.176
36.500	108.589	79.996	19.995	100.819	20.000	2.124	0.144
37.000	108.663	79.995	19.996	100.818	19.999	2.201	0.130
37.500	108.752	79.996	19.995	100.818	19.999	2.244	0.152
38.000	108.823	79.996	19.995	100.818	19.999	2.230	0.161
38.501	108.931	79.995	19.996	100.819	20.000	2.132	0.170
39.001	109.023	79.997	19.995	100.820	19.999	2.196	0.190
39.500	109.093	79.995	19.996	100.820	19.998	2.290	0.181
40.000	109.214	79.996	19.995	100.821	19.998	2.307	0.176
40.500	109.275	79.995	19.995	100.821	19.997	2.330	0.187
41.000	109.357	79.995	19.995	100.821	19.997	2.343	0.162
41.500	109.454	79.996	19.996	100.818	19.998	2.300	0.161
42.001	109.565	79.996	19.995	100.817	19.998	2.300	0.194
42.501	109.657	79.995	19.995	100.818	19.998	2.298	0.205
43.000	109.707	79.996	19.996	100.817	19.998	2.305	0.172
43.500	109.854	79.996	19.995	100.818	19.995	2.452	0.170
44.000	109.962	79.996	19.995	100.820	19.993	2.636	0.226
44.500	110.071	79.997	19.995	100.822	19.994	2.522	0.236
45.000	110.198	79.996	19.995	100.828	19.992	2.678	0.226
45.500	110.235	79.995	19.996	100.834	19.993	2.624	0.200
46.000	110.357	79.996	19.996	100.814	19.996	2.447	0.162
46.500	110.478	79.996	19.995	100.800	19.994	2.566	0.201
47.000	110.600	79.996	19.996	100.794	19.993	2.650	0.243
47.500	110.686	79.995	19.995	100.789	19.993	2.643	0.225
48.000	110.813	79.995	19.994	100.813	19.992	2.673	0.210
48.500	110.918	79.996	19.995	100.866	19.992	2.688	0.223
49.000	111.022	79.994	19.995	100.897	19.991	2.722	0.220
49.501	111.144	79.995	19.996	100.914	19.993	2.626	0.217
50.001	111.258	79.996	19.995	100.920	19.994	2.528	0.231
50.501	111.387	79.996	19.996	100.899	19.991	2.760	0.239
51.001	111.524	79.996	19.995	100.875	19.991	2.758	0.254
51.500	111.608	79.997	19.996	100.864	19.993	2.590	0.244
52.000	111.768	79.996	19.996	100.863	19.990	2.804	0.233
52.500	111.888	79.997	19.994	100.863	19.992	2.681	0.262
53.000	112.026	79.996	19.995	100.859	19.988	2.952	0.269
53.500	112.127	79.996	19.995	100.859	19.991	2.766	0.249
54.001	112.244	79.997	19.994	100.860	19.990	2.824	0.229
54.501	112.367	79.996	19.995	100.859	19.990	2.811	0.229
55.001	112.492	79.997	19.995	100.861	19.990	2.818	0.244
55.501	112.633	79.998	19.995	100.866	19.989	2.891	0.257
56.000	112.830	79.996	19.994	100.869	19.984	3.228	0.302
56.500	112.933	79.997	19.995	100.875	19.988	2.956	0.319
57.000	113.100	79.996	19.994	100.879	19.989	2.904	0.285
57.500	113.164	79.996	19.995	100.884	19.989	2.884	0.250
58.000	113.344	79.996	19.994	100.889	19.990	2.846	0.237
58.500	113.528	79.996	19.996	100.891	19.988	2.927	0.304
59.000	113.662	79.997	19.995	100.885	19.986	3.059	0.341
59.500	113.780	79.996	19.994	100.880	19.987	3.032	0.285
60.000	113.949	79.996	19.994	100.874	19.989	2.905	0.270
60.500	114.109	79.998	19.995	100.873	19.987	3.039	0.308
61.000	114.227	79.998	19.995	100.874	19.985	3.168	0.303
61.500	114.399	79.998	19.995	100.878	19.987	3.001	0.284
62.001	114.577	79.998	19.994	100.879	19.987	3.032	0.320
62.501	114.700	79.998	19.995	100.885	19.984	3.224	0.325
63.000	114.851	79.998	19.994	100.887	19.984	3.220	0.288
63.500	115.024	79.998	19.995	100.887	19.985	3.141	0.300
64.001	115.173	79.998	19.995	100.889	19.987	3.029	0.323
64.501	115.317	79.998	19.995	100.892	19.986	3.110	0.307
65.000	115.494	79.998	19.995	100.888	19.986	3.106	0.307
65.500	115.672	79.996	19.994	100.884	19.988	2.942	0.338
66.000	115.846	79.997	19.994	100.885	19.989	2.871	0.353
66.500	115.996	79.996	19.996	100.886	19.988	2.934	0.338
67.000	116.120	79.998	19.995	100.889	19.986	3.083	0.299
67.500	116.311	79.996	19.995	100.893	19.986	3.050	0.294
68.000	116.471	79.998	19.995	100.898	19.986	3.074	0.332
