Time after Ignition,HDPE_R1,HDPE_R3,HDPE_R2,HDPE_R4,Mean,Std. Dev.
0.0,9.3,10.8,17.9,24.8,15.7,7.1
0.25,11.3,12.7,19.6,27.1,17.7,7.3
0.5,13.2,14.3,21.7,29.2,19.6,7.4
0.75,14.7,15.9,23.0,31.5,21.3,7.7
1.0,17.8,17.0,25.2,34.3,23.6,8.0
1.25,20.3,19.0,27.2,36.8,25.8,8.1
1.5,23.2,20.9,28.4,39.5,28.0,8.3
1.75,25.5,22.4,30.0,42.2,30.0,8.7
2.0,29.0,24.1,31.6,45.7,32.6,9.3
2.25,31.4,25.2,32.5,47.9,34.3,9.6
2.5,34.2,27.8,34.6,50.6,36.8,9.7
2.75,36.3,29.4,36.4,54.1,39.0,10.6
3.0,38.5,31.2,38.0,56.2,41.0,10.7
3.25,40.6,32.7,40.1,58.9,43.1,11.2
3.5,43.9,33.7,40.6,61.2,44.8,11.7
3.75,46.9,35.8,42.1,62.7,46.9,11.5
4.0,49.6,37.2,43.5,65.2,48.9,12.0
4.25,51.5,40.4,45.6,67.8,51.3,11.9
4.5,54.6,41.5,46.8,70.1,53.3,12.5
4.75,57.0,42.8,48.5,73.3,55.4,13.3
5.0,59.2,45.0,50.8,74.5,57.4,12.8
5.25,61.5,46.9,52.7,78.4,59.9,13.7
5.5,63.9,48.8,55.6,78.8,61.8,12.9
5.75,67.7,49.9,55.9,81.4,63.7,13.9
6.0,71.1,51.6,58.8,84.8,66.6,14.6
6.25,72.4,53.7,60.7,85.5,68.1,14.0
6.5,74.3,55.4,64.3,89.5,70.9,14.6
6.75,78.1,57.3,66.3,92.5,73.5,15.3
7.0,81.2,59.2,67.5,94.2,75.5,15.4
7.25,83.1,59.8,71.7,96.1,77.7,15.5
7.5,85.0,63.0,73.7,101.7,80.8,16.6
7.75,87.6,65.6,77.9,104.3,83.8,16.4
8.0,90.0,67.5,79.7,108.1,86.3,17.2
8.25,93.0,69.7,80.8,109.8,88.3,17.2
8.5,95.1,73.5,86.0,114.3,92.2,17.2
8.75,95.9,74.6,88.7,117.9,94.3,18.0
9.0,100.1,78.9,91.8,122.5,98.3,18.3
9.25,103.3,79.4,95.7,122.8,100.3,18.0
9.5,105.7,80.3,97.7,127.8,102.9,19.7
9.75,106.2,84.0,102.1,130.0,105.6,18.9
10.0,110.7,86.5,104.0,131.3,108.1,18.5
10.25,114.0,89.2,106.5,135.7,111.4,19.3
10.5,116.3,89.5,111.0,138.1,113.7,20.0
10.75,116.6,93.9,111.5,142.0,116.0,19.9
11.0,121.2,96.7,115.7,143.6,119.3,19.3
11.25,121.6,98.5,120.6,148.0,122.2,20.3
11.5,126.7,101.3,123.8,152.8,126.2,21.1
11.75,128.9,105.1,126.6,153.1,128.4,19.6
12.0,131.2,109.2,129.9,158.2,132.1,20.1
12.25,132.7,112.1,135.9,156.4,134.3,18.1
12.5,137.5,115.9,137.6,163.8,138.7,19.6
12.75,140.8,115.3,142.1,166.3,141.1,20.8
13.0,146.5,119.7,143.6,169.7,144.9,20.4
13.25,150.1,125.2,150.4,171.7,149.4,19.0
13.5,151.9,125.1,154.6,177.1,152.2,21.3
13.75,159.2,133.0,158.6,182.9,158.4,20.4
14.0,160.5,131.3,161.7,184.3,159.5,21.7
14.25,167.2,136.7,168.8,184.9,164.4,20.1
14.5,175.0,142.1,172.6,186.2,169.0,18.9
14.75,177.9,142.4,179.1,191.5,172.7,21.2
15.0,180.1,146.5,182.7,195.4,176.2,20.9
15.25,193.4,152.5,191.8,198.2,184.0,21.2
15.5,186.8,156.0,191.9,204.2,184.7,20.5
15.75,196.4,160.6,196.0,202.5,188.9,19.1
16.0,198.4,162.8,201.8,206.0,192.2,19.9
16.25,206.9,166.9,209.6,207.6,197.8,20.6
16.5,215.3,171.5,212.9,212.0,202.9,21.0
16.75,212.6,176.5,216.1,221.1,206.6,20.4
17.0,216.0,177.5,217.7,219.9,207.8,20.2
17.25,219.6,179.3,221.9,222.2,210.8,21.0
17.5,231.2,186.9,225.2,228.5,217.9,20.9
17.75,235.0,189.9,229.9,230.8,221.4,21.1
18.0,235.3,192.9,237.5,235.4,225.3,21.6
18.25,233.3,195.4,238.9,235.8,225.8,20.4
18.5,241.3,195.9,246.6,241.2,231.2,23.7
18.75,244.4,200.9,250.0,240.6,233.9,22.4
19.0,252.0,205.3,253.4,252.3,240.7,23.6
19.25,255.4,207.6,259.4,250.8,243.3,24.0
19.5,260.6,210.4,263.2,249.6,245.9,24.4
19.75,268.1,212.7,267.6,259.3,251.9,26.4
20.0,264.2,219.8,275.9,263.5,255.9,24.7
