Sample ID:	C:\MCC\MCC Cal\Test\HDPE_MCC_30K_min_210921_R3.txt
Sample Weight (mg):	4.6
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	108.614	80.009	19.996	100.243	19.927	0.169	-0.007
0.500	108.608	80.007	19.996	100.245	19.929	0.011	0.009
1.000	108.580	79.997	19.996	100.239	19.928	0.073	-0.008
1.500	108.592	79.994	19.997	100.233	19.929	-0.013	-0.026
2.000	108.610	79.998	19.996	100.226	19.932	-0.180	0.007
2.500	108.598	80.002	19.995	100.224	19.928	0.071	0.018
3.000	108.594	80.004	19.996	100.222	19.929	-0.013	-0.005
3.500	108.572	80.008	19.994	100.221	19.932	-0.176	-0.021
4.000	108.589	79.998	19.996	100.222	19.930	-0.082	-0.016
4.500	108.573	79.999	19.996	100.222	19.928	0.059	-0.003
5.000	108.584	79.991	19.997	100.222	19.930	-0.035	-0.002
5.500	108.577	80.001	19.996	100.219	19.931	-0.117	-0.000
6.000	108.608	80.003	19.995	100.220	19.927	0.125	0.014
6.500	108.604	80.011	19.995	100.221	19.928	0.057	0.025
7.000	108.609	80.006	19.995	100.224	19.929	0.031	0.014
7.500	108.578	80.008	19.994	100.227	19.931	-0.112	-0.012
8.000	108.612	80.001	19.995	100.232	19.933	-0.253	-0.011
8.500	108.579	79.997	19.997	100.231	19.930	-0.071	0.002
9.000	108.551	79.994	19.997	100.228	19.930	-0.049	-0.030
9.500	108.553	80.009	19.996	100.225	19.928	0.071	-0.044
10.000	108.576	80.001	19.996	100.225	19.927	0.147	-0.001
10.500	108.570	80.000	19.996	100.223	19.930	-0.066	0.021
11.000	108.562	79.997	19.996	100.223	19.928	0.068	0.002
