Temperature (C),HRR (W/g),Time_copy_1,HRR correction,R1,HRR (W/g),Time_copy_2,HRR correction,R2,HRR (W/g),Time_copy_3,HRR correction,R3
150.00,2.90,180.75,2.90,0.00,3.29,155.75,3.29,0.00,2.96,158.25,2.96,0.00
151.00,2.74,182.75,2.90,-0.15,3.20,157.75,3.30,-0.10,2.75,160.75,2.96,-0.21
152.00,2.85,184.75,2.90,-0.04,3.21,159.75,3.30,-0.09,2.74,162.75,2.96,-0.22
153.00,2.74,187.25,2.90,-0.16,3.12,161.75,3.31,-0.19,2.85,164.75,2.95,-0.10
154.00,2.73,189.25,2.90,-0.17,3.24,163.75,3.31,-0.07,2.93,166.75,2.95,-0.02
155.00,2.77,191.25,2.90,-0.12,3.22,165.75,3.32,-0.10,2.90,168.75,2.94,-0.05
156.00,2.75,193.25,2.90,-0.15,3.31,167.75,3.32,-0.01,2.73,170.75,2.94,-0.21
157.00,2.73,195.25,2.90,-0.17,3.15,169.75,3.33,-0.18,2.84,172.75,2.94,-0.10
158.00,2.62,197.75,2.90,-0.28,3.24,171.75,3.33,-0.09,3.16,174.75,2.93,0.23
159.00,2.82,199.75,2.90,-0.07,3.11,173.75,3.34,-0.23,2.65,176.75,2.93,-0.28
160.00,2.79,201.75,2.89,-0.11,3.04,176.25,3.34,-0.30,2.89,178.75,2.92,-0.03
161.00,2.73,203.75,2.89,-0.16,3.11,178.25,3.35,-0.23,2.84,180.75,2.92,-0.08
162.00,2.71,205.75,2.89,-0.19,3.16,180.25,3.35,-0.19,2.61,182.75,2.92,-0.30
163.00,2.76,208.25,2.89,-0.14,3.11,182.25,3.36,-0.25,2.63,184.75,2.91,-0.29
164.00,2.60,210.25,2.89,-0.29,2.87,184.25,3.36,-0.49,2.62,187.25,2.91,-0.29
165.00,2.59,212.25,2.89,-0.30,2.88,186.25,3.37,-0.49,2.66,188.75,2.90,-0.25
166.00,2.46,214.25,2.89,-0.43,2.74,188.25,3.37,-0.63,2.40,190.75,2.90,-0.50
167.00,2.61,216.25,2.89,-0.28,2.93,190.25,3.38,-0.45,2.53,193.25,2.90,-0.36
168.00,2.41,218.25,2.89,-0.48,3.09,192.25,3.39,-0.30,2.71,194.75,2.89,-0.18
169.00,2.48,220.25,2.89,-0.41,2.92,194.25,3.39,-0.47,2.45,196.75,2.89,-0.44
170.00,2.58,222.25,2.89,-0.31,2.70,196.25,3.40,-0.70,2.43,198.75,2.88,-0.46
171.00,2.59,224.25,2.89,-0.31,2.72,198.25,3.40,-0.68,2.36,200.75,2.88,-0.52
172.00,2.54,226.25,2.89,-0.35,2.84,200.25,3.41,-0.57,2.23,202.75,2.88,-0.65
173.00,2.51,228.25,2.89,-0.38,3.09,202.25,3.41,-0.32,2.30,204.75,2.87,-0.57
174.00,2.63,230.25,2.89,-0.26,2.98,204.25,3.42,-0.43,2.27,206.75,2.87,-0.60
175.00,2.44,232.25,2.89,-0.45,2.99,206.25,3.42,-0.44,2.42,208.75,2.86,-0.44
176.00,2.59,234.25,2.89,-0.30,3.01,208.25,3.43,-0.42,2.39,210.75,2.86,-0.47
177.00,2.56,236.75,2.89,-0.33,3.09,210.25,3.43,-0.34,2.42,212.75,2.86,-0.44
178.00,2.55,238.75,2.89,-0.34,3.06,212.25,3.44,-0.38,2.52,214.75,2.85,-0.33
179.00,2.43,240.75,2.89,-0.45,3.09,214.25,3.44,-0.35,2.24,216.75,2.85,-0.61
180.00,2.46,242.75,2.89,-0.43,2.89,216.25,3.45,-0.56,2.27,218.75,2.84,-0.58
181.00,2.31,244.75,2.89,-0.58,2.89,218.25,3.45,-0.57,2.35,220.75,2.84,-0.49
182.00,2.37,246.75,2.89,-0.52,2.92,220.25,3.46,-0.54,2.41,222.75,2.84,-0.42
183.00,2.48,248.75,2.89,-0.40,2.95,222.25,3.46,-0.52,2.32,224.75,2.83,-0.52
184.00,2.43,250.75,2.89,-0.46,2.98,224.25,3.47,-0.49,2.25,226.75,2.83,-0.58
185.00,2.42,252.75,2.89,-0.46,3.01,226.25,3.47,-0.46,2.32,228.75,2.82,-0.50
186.00,2.32,254.75,2.89,-0.56,3.07,228.25,3.48,-0.41,2.12,230.75,2.82,-0.70
187.00,2.38,256.75,2.89,-0.51,3.10,230.25,3.49,-0.38,2.07,232.75,2.82,-0.74
188.00,2.43,258.75,2.88,-0.45,3.19,232.25,3.49,-0.30,2.14,234.75,2.81,-0.68
189.00,2.40,260.75,2.88,-0.49,3.00,234.25,3.50,-0.50,2.36,236.75,2.81,-0.45
190.00,2.44,262.75,2.88,-0.44,3.00,236.25,3.50,-0.50,2.06,238.75,2.80,-0.75
191.00,2.49,264.75,2.88,-0.40,2.87,238.25,3.51,-0.64,1.96,240.75,2.80,-0.84
192.00,2.34,266.75,2.88,-0.54,2.87,240.25,3.51,-0.64,1.91,242.75,2.80,-0.89
193.00,2.40,268.75,2.88,-0.48,2.98,242.25,3.52,-0.54,1.91,244.75,2.79,-0.88
