Time after Ignition,Hemp_Sheet_R1,Hemp_Sheet_R2,Hemp_Sheet_R3,Mean,Std. Dev.
0.0,21.9,34.0,20.9,25.6,7.3
0.25,32.2,40.9,26.8,33.3,7.1
0.5,40.6,46.6,33.4,40.2,6.6
0.75,48.4,57.9,37.2,47.9,10.4
1.0,56.1,68.4,42.7,55.7,12.9
1.25,63.5,76.1,53.0,64.2,11.6
1.5,70.9,85.4,62.3,72.9,11.7
1.75,80.6,96.1,70.3,82.3,13.0
2.0,88.0,108.1,78.0,91.3,15.3
2.25,95.7,115.4,88.5,99.9,14.0
2.5,101.7,123.7,98.9,108.1,13.6
2.75,112.0,128.8,106.7,115.8,11.6
3.0,120.9,136.6,114.5,124.0,11.4
3.25,129.6,147.5,124.2,133.8,12.2
3.5,133.6,154.3,130.4,139.5,13.0
3.75,141.9,160.7,138.0,146.9,12.1
4.0,146.9,170.7,148.1,155.2,13.4
4.25,150.7,173.9,154.1,159.6,12.6
4.5,156.9,180.0,162.3,166.4,12.1
4.75,163.5,187.8,165.6,172.3,13.5
5.0,169.7,194.1,172.2,178.7,13.4
5.25,175.4,194.1,180.3,183.3,9.7
5.5,178.5,197.9,184.9,187.1,9.9
5.75,179.8,201.9,192.6,191.4,11.1
6.0,183.3,204.6,189.9,192.6,10.9
6.25,188.0,209.1,195.0,197.4,10.8
6.5,190.6,213.0,196.9,200.2,11.5
6.75,192.8,214.7,199.4,202.3,11.3
7.0,193.6,215.8,203.0,204.1,11.2
7.25,197.5,216.2,201.7,205.1,9.8
7.5,197.8,218.8,208.0,208.2,10.5
7.75,199.7,220.9,213.0,211.2,10.7
8.0,200.4,226.5,208.7,211.8,13.3
8.25,201.2,221.4,211.0,211.2,10.1
8.5,200.0,221.0,208.2,209.7,10.6
8.75,202.0,223.0,207.8,210.9,10.8
9.0,199.9,217.2,205.8,207.6,8.8
9.25,198.4,218.4,201.7,206.2,10.7
9.5,192.9,211.9,194.9,199.9,10.5
9.75,192.1,209.9,194.6,198.9,9.7
10.0,189.8,207.6,190.1,195.8,10.2
10.25,184.4,198.1,185.9,189.5,7.5
10.5,180.7,199.8,177.4,186.0,12.1
10.75,175.6,193.2,174.1,181.0,10.6
11.0,176.0,186.3,170.2,177.5,8.2
11.25,172.4,181.1,168.6,174.0,6.4
11.5,168.3,176.7,164.1,169.7,6.4
11.75,163.3,172.5,160.4,165.4,6.3
12.0,158.5,161.3,159.3,159.7,1.4
12.25,154.6,158.7,155.1,156.1,2.3
12.5,151.7,151.9,150.6,151.4,0.7
12.75,146.3,145.0,151.1,147.5,3.2
13.0,138.9,134.6,145.8,139.7,5.7
13.25,134.8,130.5,140.5,135.3,5.0
13.5,132.7,126.1,137.6,132.1,5.8
13.75,127.3,119.0,135.4,127.2,8.2
14.0,123.5,113.5,130.7,122.6,8.6
14.25,117.1,107.9,126.8,117.3,9.4
14.5,113.2,106.3,123.6,114.4,8.7
14.75,106.9,100.4,118.4,108.6,9.1
15.0,101.7,96.0,114.2,104.0,9.3
15.25,99.0,92.1,109.4,100.2,8.7
15.5,95.1,88.1,106.3,96.5,9.2
15.75,90.4,84.1,102.5,92.3,9.3
16.0,86.9,82.2,100.1,89.7,9.3
16.25,83.2,78.8,94.8,85.6,8.3
16.5,78.1,76.3,94.0,82.8,9.7
16.75,73.9,72.3,89.8,78.7,9.7
17.0,71.1,70.1,86.1,75.8,9.0
17.25,68.0,67.3,83.5,73.0,9.2
17.5,64.9,66.2,81.1,70.7,9.0
17.75,62.8,63.1,78.2,68.0,8.8
18.0,59.9,61.5,76.4,65.9,9.1
18.25,57.9,59.3,73.8,63.7,8.8
18.5,54.7,57.9,71.3,61.3,8.8
18.75,53.5,55.4,69.3,59.4,8.6
19.0,51.8,53.8,68.6,58.1,9.2
19.25,49.1,51.8,65.3,55.4,8.7
19.5,47.8,49.8,65.8,54.4,9.8
19.75,46.2,48.7,61.1,52.0,8.0
20.0,44.7,46.9,60.7,50.8,8.7
20.25,42.7,45.7,57.9,48.7,8.1
20.5,41.0,44.0,57.6,47.5,8.8
20.75,40.1,42.2,54.9,45.7,8.0
21.0,39.1,41.1,53.6,44.6,7.9
21.25,37.1,39.8,53.7,43.5,8.9
21.5,35.7,38.8,50.4,41.6,7.8
21.75,34.9,36.8,49.5,40.4,7.9
22.0,33.5,36.4,47.9,39.3,7.6
22.25,32.6,35.2,46.0,37.9,7.1
22.5,31.9,34.2,44.4,36.9,6.7
22.75,31.0,32.8,43.6,35.8,6.8
23.0,29.6,32.3,42.4,34.8,6.7
23.25,29.3,31.0,40.4,33.6,6.0
23.5,28.4,29.9,39.1,32.5,5.8
23.75,27.9,29.4,37.9,31.7,5.4
24.0,26.9,28.6,,27.7,1.2
24.25,26.1,,,26.1,
24.5,25.6,,,25.6,
24.75,24.8,,,24.8,
25.0,24.3,,,24.3,
25.25,23.8,,,23.8,
25.5,23.1,,,23.1,
25.75,22.8,,,22.8,
26.0,22.0,,,22.0,
