Sample ID:	C:\MCC\MCC Cal\Test\Hemp_Sheets_MCC_30K_min_220112_R2.txt
Sample Weight (mg):	4.6
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
-0.001	111.107	80.007	19.995	104.169	20.257	-0.078	-0.033
0.500	111.140	80.019	19.992	104.169	20.260	-0.247	-0.002
1.000	111.127	79.999	19.995	104.175	20.254	0.152	0.023
1.500	111.127	80.006	19.991	104.177	20.258	-0.120	0.004
2.000	111.154	80.016	19.995	104.176	20.258	-0.107	0.007
2.500	111.127	80.009	19.997	104.179	20.258	-0.103	0.013
3.000	111.119	80.016	19.992	104.177	20.257	-0.056	-0.018
3.500	111.120	80.021	19.991	104.176	20.262	-0.400	-0.021
4.000	111.122	80.009	19.994	104.180	20.257	-0.056	-0.001
4.500	111.131	79.999	19.995	104.180	20.253	0.218	0.007
5.001	111.119	80.020	19.991	104.175	20.258	-0.130	0.004
5.501	111.133	80.011	19.994	104.179	20.260	-0.295	-0.000
6.000	111.143	80.010	19.992	104.175	20.259	-0.192	0.013
6.501	111.136	80.002	19.994	104.169	20.258	-0.113	0.013
7.000	111.110	80.012	19.993	104.170	20.261	-0.373	-0.015
7.500	111.151	80.002	19.993	104.173	20.257	-0.074	-0.009
8.000	111.112	80.012	19.994	104.171	20.261	-0.346	0.009
8.499	111.105	79.996	19.994	104.172	20.256	0.051	-0.022
9.000	111.126	80.013	19.993	104.174	20.260	-0.257	-0.016
9.500	111.107	79.997	19.995	104.173	20.261	-0.319	0.008
10.000	111.134	79.980	19.994	104.169	20.257	-0.027	0.005
10.500	111.158	80.004	19.994	104.168	20.255	0.070	0.029
10.999	111.110	80.030	19.993	104.168	20.257	-0.045	0.013
11.499	111.111	80.001	19.995	104.170	20.256	-0.002	-0.036
11.999	111.121	80.017	19.992	104.169	20.258	-0.101	-0.018
12.500	111.141	80.008	19.994	104.175	20.255	0.076	0.021
13.001	111.139	80.006	19.994	104.177	20.260	-0.253	0.024
13.501	111.136	80.014	19.994	104.177	20.255	0.121	0.006
14.000	111.102	80.003	19.995	104.177	20.260	-0.288	-0.021
14.499	111.121	79.992	19.997	104.177	20.257	-0.043	-0.026
15.000	111.116	80.011	19.992	104.173	20.259	-0.204	-0.001
15.501	111.114	80.011	19.993	104.174	20.258	-0.126	0.003
16.001	111.118	80.008	19.993	104.176	20.256	0.025	-0.002
16.501	111.143	80.007	19.993	104.182	20.256	0.019	0.016
17.001	111.152	79.997	19.996	104.186	20.255	0.060	0.032
17.501	111.147	80.018	19.994	104.190	20.253	0.202	0.018
18.000	111.118	80.005	19.996	104.192	20.252	0.332	-0.015
18.500	111.148	79.997	19.994	104.197	20.251	0.387	-0.016
19.000	111.180	80.004	19.993	104.193	20.254	0.156	0.032
19.500	111.160	80.016	19.993	104.197	20.251	0.356	0.037
20.000	111.170	80.005	19.993	104.203	20.251	0.338	0.001
20.500	111.141	80.004	19.994	104.205	20.252	0.315	-0.014
21.000	111.188	80.014	19.993	104.204	20.249	0.523	0.000
21.500	111.166	79.994	19.996	104.212	20.253	0.237	0.021
22.000	111.174	80.003	19.994	104.218	20.251	0.381	0.005
22.500	111.202	80.005	19.994	104.221	20.249	0.500	0.011
23.000	111.197	80.017	19.990	104.229	20.251	0.364	0.030
23.500	111.234	80.032	19.992	104.242	20.252	0.300	0.027
24.000	111.247	80.020	19.993	104.247	20.251	0.385	0.041
24.500	111.250	80.003	19.995	104.254	20.250	0.471	0.033
25.000	111.250	79.999	19.994	104.253	20.245	0.763	0.010
25.500	111.284	80.011	19.991	104.249	20.248	0.584	0.018
26.000	111.260	80.006	19.995	104.244	20.249	0.514	0.022
26.500	111.295	79.994	19.995	104.244	20.247	0.650	0.010
27.000	111.309	80.019	19.992	104.240	20.245	0.829	0.030
27.500	111.320	80.008	19.993	104.249	20.246	0.738	0.038
28.000	111.364	80.014	19.996	104.254	20.244	0.899	0.040
28.500	111.382	80.002	19.994	104.254	20.244	0.887	0.058
29.000	111.399	80.009	19.995	104.256	20.243	0.956	0.048
29.500	111.416	80.020	19.991	104.257	20.242	1.012	0.035
30.001	111.383	80.021	19.992	104.261	20.242	1.031	0.009
30.501	111.424	80.014	19.993	104.264	20.243	0.961	-0.004
31.001	111.496	80.008	19.993	104.271	20.241	1.078	0.061
31.501	111.483	80.007	19.992	104.275	20.242	0.997	0.086
32.000	111.551	80.013	19.995	104.286	20.243	0.934	0.057
32.500	111.547	80.006	19.995	104.294	20.237	1.392	0.059
33.001	111.587	80.007	19.994	104.303	20.238	1.310	0.050
33.501	111.604	80.010	19.992	104.310	20.238	1.279	0.046
34.001	111.622	80.018	19.992	104.320	20.235	1.495	0.046
34.501	111.674	80.013	19.994	104.323	20.232	1.724	0.053
35.001	111.739	80.002	19.993	104.324	20.231	1.756	0.093
35.500	111.751	80.002	19.992	104.328	20.230	1.828	0.097
36.000	111.787	80.003	19.992	104.336	20.229	1.958	0.063
36.500	111.869	80.003	19.992	104.344	20.228	1.972	0.083
37.000	111.894	80.014	19.995	104.351	20.231	1.802	0.112
37.501	111.928	80.005	19.997	104.357	20.232	1.736	0.083
38.001	111.982	80.002	19.996	104.363	20.228	1.981	0.073
38.500	112.065	80.007	19.993	104.359	20.226	2.133	0.113
39.000	112.087	80.002	19.995	104.353	20.227	2.096	0.121
39.500	112.143	80.006	19.994	104.347	20.226	2.127	0.092
39.999	112.207	80.010	19.991	104.345	20.227	2.034	0.099
