Time after Ignition,Homasote_R1,Homasote_R2,Homasote_R3,Mean,Std. Dev.
0.0,12.2,10.5,17.1,13.3,3.4
0.25,12.0,9.9,16.6,12.8,3.4
0.5,12.1,9.5,16.5,12.7,3.5
0.75,12.2,9.2,15.8,12.4,3.3
1.0,12.4,8.9,15.6,12.3,3.4
1.25,12.5,8.7,15.5,12.2,3.4
1.5,12.5,8.6,15.4,12.2,3.4
1.75,12.4,8.3,14.6,11.8,3.2
2.0,12.5,8.4,14.5,11.8,3.1
2.25,12.2,8.0,13.6,11.3,2.9
2.5,12.1,7.8,13.2,11.0,2.8
2.75,12.0,7.5,13.0,10.8,2.9
3.0,11.7,7.6,12.8,10.7,2.8
3.25,11.5,7.2,12.6,10.5,2.8
3.5,11.2,7.1,12.4,10.2,2.8
3.75,11.1,7.0,11.9,10.0,2.6
4.0,10.9,6.7,11.9,9.9,2.7
4.25,10.6,6.5,11.6,9.6,2.7
4.5,10.5,6.6,11.5,9.5,2.6
4.75,10.1,6.4,11.5,9.3,2.6
5.0,9.9,6.3,11.4,9.2,2.6
5.25,9.6,6.4,11.1,9.0,2.4
5.5,9.3,6.2,11.1,8.9,2.5
5.75,9.1,6.1,10.9,8.7,2.4
6.0,8.9,6.0,10.8,8.6,2.4
6.25,8.5,6.1,11.0,8.6,2.4
6.5,8.3,6.1,10.9,8.4,2.4
6.75,8.1,6.1,10.7,8.3,2.3
7.0,7.9,5.9,11.1,8.3,2.6
7.25,7.7,6.1,11.0,8.3,2.5
7.5,7.5,6.0,10.9,8.1,2.5
7.75,7.4,6.2,11.1,8.2,2.6
8.0,7.4,6.2,11.3,8.3,2.6
8.25,7.4,6.4,11.2,8.4,2.5
8.5,7.1,6.6,11.3,8.4,2.6
8.75,7.1,6.8,11.8,8.5,2.8
9.0,8.1,7.0,12.3,9.1,2.8
9.25,8.6,7.1,12.7,9.5,2.9
9.5,9.0,7.5,12.9,9.8,2.8
9.75,9.8,7.5,14.5,10.6,3.6
10.0,14.1,7.8,15.3,12.4,4.0
10.25,18.0,7.9,16.1,14.0,5.4
10.5,21.2,7.9,17.3,15.5,6.8
10.75,24.2,10.4,20.0,18.2,7.1
11.0,27.0,12.3,23.9,21.1,7.8
11.25,29.3,12.2,26.7,22.7,9.2
11.5,39.2,14.3,28.6,27.3,12.5
11.75,47.8,15.5,30.9,31.4,16.2
12.0,53.7,21.7,32.9,36.1,16.3
12.25,60.2,27.6,38.3,42.0,16.6
12.5,71.2,32.7,44.5,49.5,19.7
12.75,79.2,37.0,48.9,55.0,21.7
13.0,86.6,46.8,52.5,62.0,21.5
13.25,95.1,56.8,60.5,70.8,21.1
13.5,101.8,63.6,68.4,77.9,20.8
13.75,108.5,70.6,74.2,84.4,20.9
14.0,118.9,77.3,80.2,92.1,23.2
14.25,123.5,83.6,88.8,98.6,21.7
14.5,130.0,86.5,97.6,104.7,22.6
14.75,136.1,99.0,104.7,113.3,19.9
15.0,139.4,108.0,109.3,118.9,17.8
15.25,151.5,114.0,118.5,128.0,20.5
15.5,151.8,128.7,128.2,136.2,13.5
15.75,154.4,126.3,133.9,138.2,14.6
16.0,161.5,132.1,143.5,145.7,14.9
16.25,165.9,141.8,147.3,151.6,12.6
16.5,170.5,154.5,157.2,160.7,8.5
16.75,174.5,155.2,161.2,163.6,9.9
17.0,179.9,160.6,168.3,169.6,9.7
17.25,183.1,164.9,172.2,173.4,9.2
