Sample ID:	C:\MCC\MCC Cal\Test\Homasote_MCC_30K_min_220317_R3.txt
Sample Weight (mg):	4.24
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	109.088	80.003	19.994	103.618	19.975	-0.192	-0.009
0.500	109.066	80.005	19.993	103.620	19.973	-0.036	-0.026
1.000	109.096	80.002	19.995	103.627	19.971	0.110	-0.010
1.500	109.110	80.001	19.991	103.633	19.972	0.027	0.026
2.000	109.091	79.995	20.002	103.635	19.970	0.233	0.020
2.500	109.106	79.998	19.993	103.633	19.968	0.393	-0.004
3.000	109.047	80.001	19.994	103.629	19.971	0.144	-0.024
3.500	109.068	80.001	19.995	103.628	19.970	0.247	-0.042
3.999	109.066	80.002	19.995	103.626	19.970	0.194	-0.010
4.499	109.086	79.998	19.994	103.623	19.972	0.070	0.019
4.999	109.090	80.002	19.995	103.627	19.972	0.095	0.021
5.499	109.052	80.004	19.996	103.628	19.971	0.106	-0.004
5.999	109.056	80.002	19.992	103.627	19.972	0.040	-0.034
6.500	109.071	80.001	19.996	103.630	19.972	0.074	-0.008
7.000	109.071	80.001	19.993	103.638	19.971	0.157	0.017
7.499	109.088	79.999	19.994	103.639	19.966	0.497	0.016
7.999	109.089	79.998	19.996	103.639	19.969	0.301	0.017
8.499	109.086	80.001	19.997	103.636	19.970	0.237	0.008
9.000	109.115	80.002	19.993	103.629	19.969	0.256	0.012
9.501	109.060	80.001	19.994	103.625	19.967	0.421	0.000
10.000	109.070	79.999	19.994	103.627	19.967	0.423	-0.035
10.499	109.073	80.000	19.993	103.630	19.966	0.495	-0.016
10.999	109.105	80.003	19.994	103.634	19.967	0.438	0.024
11.499	109.076	79.998	19.995	103.641	19.964	0.709	0.019
11.999	109.086	79.999	19.996	103.648	19.963	0.781	-0.008
12.499	109.059	80.004	19.994	103.655	19.967	0.474	-0.018
12.999	109.062	80.001	19.996	103.629	19.965	0.591	-0.021
13.499	109.090	80.000	19.996	103.604	19.964	0.709	0.003
13.999	109.119	80.002	19.995	103.585	19.963	0.781	0.044
14.499	109.129	80.000	19.998	103.576	19.963	0.716	0.048
15.000	109.095	79.999	19.994	103.571	19.962	0.809	0.008
15.500	109.148	80.004	19.992	103.609	19.964	0.667	-0.002
16.000	109.113	80.005	19.991	103.681	19.964	0.682	0.018
16.500	109.132	80.004	19.993	103.730	19.965	0.633	0.000
17.000	109.126	79.998	19.998	103.754	19.964	0.646	-0.001
17.500	109.131	80.000	19.998	103.761	19.965	0.608	0.006
18.000	109.133	80.004	19.993	103.760	19.963	0.788	0.003
18.500	109.181	80.005	19.991	103.731	19.960	0.970	0.028
19.000	109.193	80.000	19.999	103.715	19.960	1.006	0.055
19.500	109.206	80.000	19.995	103.713	19.958	1.150	0.043
