##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
49.688,10.01,0.01579,0.01238463,1.0605200000000001
49.788,10.41743,0.01682392,0.01849608,1.0605
49.888,10.517560000000001,0.01732511,0.02697055,1.0604799999999999
49.988,10.586889999999999,0.01925512,0.03093173,1.06046
50.088,10.642539999999999,0.01895315,0.03601127,1.06044
50.188,10.68998,0.01853055,0.04097959,1.0604200000000001
50.288,10.73296,0.0180713,0.04751924,1.0604
50.388,10.7703,0.0187489,0.05230907,1.0603799999999999
50.488,10.8044,0.0187938,0.05486627,1.06036
50.588,10.83637,0.01805151,0.05920719,1.06034
50.688,10.86632,0.01794337,0.06354125,1.06031
50.788,10.89489,0.01758162,0.06739805,1.06029
50.888,10.92206,0.01826379,0.07143343,1.06027
50.988,10.94788,0.01856813,0.07479106,1.06025
51.088,10.972710000000001,0.01876952,0.07875171,1.06023
51.188,10.996960000000001,0.0190904,0.0840974,1.06021
51.288,11.02,0.01864,0.08653702,1.06019
51.388,11.04237,0.01820713,0.0901377,1.06017
51.488,11.06409,0.01728618,0.09350654,1.06015
51.588,11.08491,0.01731253,0.09666311,1.06013
51.688,11.1053,0.01841459,0.0977724,1.06011
51.788,11.12538,0.01865035,0.1036,1.06009
51.888,11.14488,0.01903452,0.10602,1.06007
51.988,11.16399,0.01906295,0.10747999999999999,1.0600399999999999
52.088,11.18268,0.01898912,0.11245,1.06002
52.188,11.201,0.01935876,0.11456,1.06
52.288,11.21883,0.01926688,0.11685999999999999,1.05998
52.388,11.23643,0.01896005,0.12050999999999999,1.05996
52.488,11.25367,0.02056222,0.12189000000000001,1.0599399999999999
52.588,11.270610000000001,0.02057139,0.12432,1.05992
52.688,11.287410000000001,0.02060859,0.12492,1.0599
52.788,11.30415,0.02083896,0.12868,1.05988
52.888,11.320319999999999,0.01984361,0.1326,1.05986
52.988,11.33636,0.02047392,0.13541,1.0598299999999998
53.088,11.352269999999999,0.01945997,0.13569,1.0598100000000001
53.188,11.36793,0.01999706,0.13840999999999998,1.05979
53.288,11.3832,0.01959606,0.13973,1.05977
53.388,11.398639999999999,0.01935038,0.14277,1.05975
53.488,11.41393,0.01989823,0.14427,1.0597299999999998
53.588,11.42902,0.01925464,0.14706,1.05971
53.688,11.44406,0.02012189,0.151,1.05969
53.788,11.45883,0.0187853,0.1504,1.0596700000000001
53.888,11.47354,0.01988555,0.15175,1.05964
53.988,11.48821,0.01866778,0.15595,1.05962
54.088,11.50263,0.01995304,0.15609,1.0596
54.188,11.51697,0.01920558,0.15875999999999998,1.05958
54.288,11.53115,0.02056671,0.15941,1.05956
54.388,11.54521,0.02093932,0.16202,1.05954
54.488,11.5591,0.02057542,0.16245,1.05952
54.588,11.572989999999999,0.02052838,0.1652,1.05949
54.688,11.58692,0.01927616,0.16655,1.0594700000000001
54.788,11.60057,0.01935892,0.16580999999999999,1.05945
54.888,11.61422,0.01952246,0.17160999999999998,1.0594299999999999
54.988,11.6276,0.01866267,0.17209000000000002,1.05941
55.088,11.64093,0.01912704,0.17287,1.05939
55.188,11.654110000000001,0.01914298,0.17617,1.0593700000000001
55.288,11.66744,0.01854793,0.17707,1.05934
55.388,11.68051,0.01895882,0.17745,1.05932
55.488,11.69352,0.01834884,0.18074,1.0593
55.588,11.70648,0.0184489,0.18274,1.05928
55.688,11.71948,0.01820657,0.18504,1.05926
55.788,11.73232,0.01819261,0.18458,1.05924
55.888,11.74515,0.0183389,0.18659,1.05922
55.988,11.75789,0.01875242,0.18938,1.0591899999999999
56.088,11.770539999999999,0.01840363,0.18919,1.0591700000000002
56.188,11.78324,0.01858406,0.1894,1.05915
56.288,11.79583,0.01943034,0.19237,1.05913
56.388,11.80835,0.01855406,0.19448,1.05911
56.488,11.82077,0.0188422,0.194,1.05908
56.588,11.833169999999999,0.02007945,0.19776,1.0590600000000001
56.688,11.84551,0.01988209,0.19773,1.05904
56.788,11.85793,0.02045027,0.1994,1.05902
56.888,11.870230000000001,0.02128572,0.20042000000000001,1.059
56.988,11.882480000000001,0.02070617,0.20077,1.05898
57.088,11.8948,0.01978331,0.20382999999999998,1.05895
57.188,11.906889999999999,0.02064888,0.20545,1.05893
57.288,11.91885,0.02102393,0.20772,1.05891
57.388,11.93092,0.01977877,0.20628000000000002,1.0588899999999999
57.488,11.94299,0.02003005,0.21,1.05887
57.588,11.954930000000001,0.02064671,0.2101,1.05884
57.688,11.96684,0.01993612,0.21276,1.05882
57.788,11.978860000000001,0.01998059,0.21418,1.0588
57.888,11.99083,0.02057839,0.21381999999999998,1.0587799999999998
57.988,12.0027,0.01959724,0.21616999999999997,1.0587600000000001
58.088,12.014560000000001,0.0200169,0.2176,1.05873
58.188,12.02644,0.02065263,0.21791,1.05871
58.288,12.03824,0.02005379,0.21866,1.05869
58.388,12.050139999999999,0.01996152,0.22003000000000003,1.05867
58.488,12.06195,0.02050782,0.21889,1.05865
58.588,12.07368,0.0210638,0.22055999999999998,1.0586200000000001
58.688,12.085410000000001,0.01999046,0.22144,1.0586
58.788,12.09709,0.01996624,0.22191,1.0585799999999999
58.888,12.1087,0.01972705,0.22553,1.05856
58.988,12.12055,0.01861022,0.22587,1.05854
59.088,12.13225,0.01868449,0.22651,1.05851
59.188,12.14383,0.01845743,0.2276,1.05849
59.288,12.15535,0.01749729,0.22783,1.05847
59.388,12.166910000000001,0.01721234,0.22983,1.05845
59.488,12.178410000000001,0.01694442,0.23106,1.0584200000000001
59.588,12.18989,0.01687704,0.23138000000000003,1.0584
59.688,12.20128,0.01722388,0.23323000000000002,1.0583799999999999
59.788,12.21274,0.01725058,0.23143000000000002,1.05836
59.888,12.2242,0.01688621,0.23451999999999998,1.05833
59.988,12.23557,0.01686585,0.23303000000000001,1.05831
60.088,12.24699,0.01725788,0.23456,1.05829
60.188,12.25831,0.01722222,0.23695,1.05827
60.288,12.269630000000001,0.01718943,0.23876,1.05825
60.388,12.28092,0.01838392,0.237,1.0582200000000002
60.488,12.29226,0.01874476,0.2386,1.0582
60.588,12.303510000000001,0.0187901,0.23703000000000002,1.05818
60.688,12.314739999999999,0.01841311,0.24023000000000003,1.05816
60.788,12.32595,0.01819885,0.24013,1.05813
60.888,12.33716,0.01869789,0.24028000000000002,1.05811
60.988,12.348410000000001,0.0187564,0.23934,1.05809
61.088,12.359630000000001,0.01874966,0.24073000000000003,1.05806
61.188,12.37088,0.01874975,0.24139000000000002,1.0580399999999999
61.288,12.38208,0.01818028,0.24206999999999998,1.0580200000000002
61.388,12.39334,0.01761279,0.2429,1.058
61.488,12.404530000000001,0.01869699,0.24323000000000003,1.05797
61.588,12.41566,0.01875117,0.24218,1.05795
61.688,12.42675,0.01874445,0.24369000000000002,1.05793
61.788,12.43787,0.01876759,0.24378000000000002,1.0579100000000001
61.888,12.449069999999999,0.01846766,0.24248000000000003,1.05788
61.988,12.460180000000001,0.01809503,0.24358000000000002,1.05786
62.088,12.47139,0.0188001,0.24333000000000002,1.05784
62.188,12.4826,0.01872438,0.24324,1.05782
62.288,12.4938,0.0187914,0.24301999999999999,1.05779
62.388,12.50486,0.01850783,0.24327,1.05777
62.488,12.51598,0.01757811,0.24453000000000003,1.05775
62.588,12.52706,0.01781565,0.2446,1.05772
62.688,12.538160000000001,0.01868172,0.24425999999999998,1.0577
62.788,12.54929,0.01875604,0.24359,1.05768
62.888,12.5604,0.0187508,0.24474,1.05765
62.988,12.57145,0.01874904,0.24469000000000002,1.0576299999999998
63.088,12.58254,0.01875258,0.24408000000000002,1.05761
63.188,12.59361,0.01872175,0.24320999999999998,1.05759
63.288,12.60459,0.01793272,0.24299,1.05756
63.388,12.6156,0.01821305,0.24298000000000003,1.05754
63.488,12.62663,0.01882073,0.24266999999999997,1.05752
63.588,12.63767,0.0187609,0.244,1.05749
63.688,12.64865,0.01843441,0.24195999999999998,1.0574700000000001
63.788,12.65949,0.01873514,0.24361,1.05745
63.888,12.67043,0.01874714,0.24275,1.05742
63.988,12.6813,0.01875242,0.24334,1.0574
64.088,12.6922,0.01874628,0.24083000000000002,1.05738
64.188,12.7031,0.0187664,0.24273000000000003,1.05736
64.288,12.714,0.01867408,0.24478000000000003,1.0573299999999999
64.388,12.72495,0.01920346,0.24453000000000003,1.05731
64.488,12.73584,0.02003134,0.24338,1.05729
64.588,12.74671,0.0199512,0.24397,1.05726
64.688,12.7575,0.01893718,0.24427,1.05724
64.788,12.76828,0.01874245,0.24316999999999997,1.05722
64.888,12.77921,0.01870481,0.24356,1.05719
64.988,12.79,0.01973,0.243,1.0571700000000002
65.088,12.80087,0.01900669,0.24425999999999998,1.05715
65.188,12.811760000000001,0.01874391,0.24320999999999998,1.05712
65.288,12.82238,0.01875195,0.24416,1.0571
65.388,12.833060000000001,0.01874942,0.24568,1.05708
65.488,12.843860000000001,0.01875021,0.24736999999999998,1.05705
65.588,12.85471,0.01874971,0.24656999999999998,1.05703
65.688,12.86559,0.01875101,0.24703000000000003,1.05701
65.788,12.876539999999999,0.01874625,0.24581999999999998,1.05698
65.888,12.88744,0.01876292,0.24591,1.0569600000000001
65.988,12.89831,0.0187115,0.24591,1.05694
66.088,12.909089999999999,0.01933687,0.24531999999999998,1.05691
66.188,12.920010000000001,0.02007048,0.24781999999999998,1.0568899999999999
66.288,12.930819999999999,0.02001053,0.24731,1.0568600000000001
66.388,12.94171,0.01895981,0.24915,1.05684
66.488,12.95265,0.01874429,0.24913000000000002,1.05682
66.588,12.96355,0.01874258,0.24923,1.05679
66.688,12.97445,0.01879329,0.24983000000000002,1.05677
66.788,12.9852,0.01847241,0.25046,1.05675
66.888,12.995989999999999,0.01762943,0.24919000000000002,1.05672
66.988,13.00677,0.01738835,0.2481,1.0567
67.088,13.017539999999999,0.01746067,0.24906999999999999,1.0566799999999998
67.188,13.02853,0.01736531,0.2502,1.05665
67.288,13.03957,0.01838229,0.2494,1.05663
67.388,13.05043,0.01875156,0.24885,1.0566
67.488,13.061169999999999,0.01874862,0.25062,1.0565799999999999
67.588,13.07195,0.01875305,0.24986,1.05656
67.688,13.08263,0.01872993,0.25194,1.05653
67.788,13.09334,0.01808333,0.25186,1.05651
67.888,13.10409,0.01734401,0.25093000000000004,1.05649
67.988,13.11481,0.01746469,0.25158,1.05646
68.088,13.12548,0.01743391,0.25278,1.05644
68.188,13.136120000000002,0.01744142,0.25347,1.05641
68.288,13.14681,0.01743977,0.25495999999999996,1.05639
68.388,13.15749,0.01743977,0.25322,1.05637
68.488,13.16818,0.01744092,0.25647,1.05634
68.588,13.178870000000002,0.01743755,0.25472,1.0563200000000001
68.688,13.1897,0.01744279,0.25375,1.05629
68.788,13.2005,0.01746016,0.25623,1.05627
68.888,13.21103,0.01813821,0.25537,1.05625
68.988,13.221639999999999,0.01799128,0.25533,1.0562200000000002
