##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/(mW/mg),Sensit./(uV/mW)
49.66,10.01,0.01812,0.001985294,1.07019
49.76,10.43058,0.01986556,0.0117824,1.07016
49.86,10.52909,0.01728488,0.01999504,1.0701399999999999
49.96,10.59867,0.0165171,0.02842093,1.0701100000000001
50.06,10.654,0.0169971,0.036565,1.07008
50.16,10.70145,0.01635585,0.04111431,1.07005
50.26,10.74205,0.01722465,0.04835823,1.07003
50.36,10.77951,0.01680522,0.05408703,1.07
50.46,10.81248,0.0180675,0.06001318,1.06997
50.56,10.84395,0.01781424,0.06499753,1.06994
50.66,10.87402,0.01755417,0.07100757,1.06992
50.76,10.90247,0.01827856,0.07726783,1.06989
50.86,10.929219999999999,0.01935621,0.08252128,1.06986
50.96,10.954880000000001,0.01812417,0.08540184,1.0698299999999998
51.06,10.979239999999999,0.01671993,0.09227007,1.06981
51.16,11.002839999999999,0.01682564,0.09802943,1.06978
51.26,11.026530000000001,0.01799956,0.10305,1.06975
51.36,11.04865,0.01763973,0.10645999999999999,1.06972
51.46,11.07049,0.01787164,0.11117,1.06969
51.56,11.091560000000001,0.01705151,0.11429,1.0696700000000001
51.66,11.11219,0.01662598,0.11773,1.06964
51.76,11.13229,0.01773617,0.12227,1.06961
51.86,11.151760000000001,0.01671615,0.12622,1.06958
51.96,11.17131,0.01667159,0.13134,1.06956
52.06,11.19026,0.01780031,0.13352,1.0695299999999999
52.16,11.20878,0.01847336,0.13679000000000002,1.0695
52.26,11.226989999999999,0.01810889,0.14023,1.0694700000000001
52.36,11.24473,0.01922642,0.1446,1.06945
52.46,11.26245,0.01817868,0.14841,1.06942
52.56,11.2797,0.01930038,0.1522,1.06939
52.66,11.29672,0.01930318,0.15587,1.06936
52.76,11.313419999999999,0.01967189,0.15750999999999998,1.06933
52.86,11.3298,0.01933557,0.16194,1.06931
52.96,11.346169999999999,0.01869714,0.16555999999999998,1.06928
53.06,11.36241,0.01782004,0.16822,1.06925
53.16,11.37808,0.01845844,0.17015,1.06922
53.26,11.39364,0.01884909,0.17335,1.0692
53.36,11.40917,0.01874975,0.17664000000000002,1.0691700000000002
53.46,11.42457,0.01922668,0.17995999999999998,1.06914
53.56,11.439639999999999,0.01792916,0.18152000000000001,1.06911
53.66,11.45463,0.01762119,0.18499000000000002,1.06908
53.76,11.469430000000001,0.01699417,0.18545999999999999,1.0690600000000001
53.86,11.48413,0.01819473,0.18911,1.06903
53.96,11.49852,0.01876243,0.19216,1.069
54.06,11.513,0.01848115,0.19396,1.06897
54.16,11.52736,0.0175744,0.19533,1.06895
54.26,11.54154,0.01803432,0.19784000000000002,1.06892
54.36,11.555660000000001,0.0176662,0.20134000000000002,1.06889
54.46,11.56958,0.01752557,0.20215999999999998,1.0688600000000001
54.56,11.58358,0.0185158,0.20521,1.06883
54.66,11.5974,0.01845211,0.20793000000000003,1.06881
54.76,11.61121,0.01854573,0.21024,1.0687799999999998
54.86,11.624889999999999,0.01771655,0.21154,1.06875
54.96,11.63855,0.01721691,0.21466999999999997,1.0687200000000001
55.06,11.65203,0.01783735,0.21570999999999999,1.06869
55.16,11.665389999999999,0.01908268,0.21704,1.06867
55.26,11.67872,0.01939398,0.21935,1.06864
55.36,11.69191,0.01930838,0.22155999999999998,1.06861
55.46,11.70515,0.02028558,0.22343000000000002,1.0685799999999999
55.56,11.71832,0.01984713,0.22528,1.06855
55.66,11.73155,0.01920608,0.22768000000000002,1.06853
55.76,11.744589999999999,0.01929175,0.23098000000000002,1.0685
55.86,11.7576,0.01866929,0.23338000000000003,1.06847
55.96,11.77045,0.01903407,0.23429,1.06844
56.06,11.78332,0.01958134,0.23445,1.06841
56.16,11.7961,0.0208238,0.23634000000000002,1.0683799999999999
56.26,11.80888,0.02034777,0.23817,1.06836
56.36,11.821489999999999,0.01977701,0.23956999999999998,1.06833
56.46,11.83403,0.0196164,0.24338,1.0683
56.56,11.8465,0.01963727,0.24452,1.06827
56.66,11.85897,0.01975553,0.24595,1.0682399999999999
56.76,11.87139,0.02015153,0.24733000000000002,1.0682200000000002
56.86,11.88382,0.02017504,0.24861999999999998,1.06819
56.96,11.896180000000001,0.01984599,0.25118,1.06816
57.06,11.90853,0.01966785,0.25261,1.06813
57.16,11.92075,0.01840447,0.25305,1.0681
57.26,11.932910000000001,0.01854795,0.25440999999999997,1.06808
57.36,11.944930000000001,0.01791117,0.2557,1.06805
57.46,11.95695,0.01775542,0.25689,1.06802
57.56,11.96889,0.0184155,0.25678,1.06799
57.66,11.98092,0.01837763,0.25799,1.06796
57.76,11.992980000000001,0.01740396,0.25966,1.0679299999999998
57.86,12.00496,0.0181777,0.26131,1.0679100000000001
57.96,12.016860000000001,0.01844847,0.26168,1.06788
58.06,12.028780000000001,0.01849149,0.26334,1.06785
58.16,12.04062,0.01741065,0.26545,1.06782
58.26,12.052430000000001,0.01774451,0.26615,1.06779
58.36,12.06423,0.01874375,0.26657,1.06776
58.46,12.07598,0.01903054,0.26882,1.06774
58.56,12.087760000000001,0.02017276,0.26979000000000003,1.06771
58.66,12.09957,0.02034762,0.27216999999999997,1.06768
58.76,12.11128,0.01924065,0.27399,1.06765
58.86,12.12306,0.01896175,0.27364,1.06762
58.96,12.13476,0.0192408,0.27343,1.06759
59.06,12.14643,0.02021099,0.27433,1.0675700000000001
59.16,12.15809,0.02049161,0.27585,1.06754
59.26,12.169780000000001,0.02009842,0.27681,1.06751
59.36,12.18145,0.02056613,0.27809,1.06748
59.46,12.193,0.02051605,0.27893,1.06745
59.56,12.20454,0.02053199,0.27917,1.06742
59.66,12.21616,0.02053715,0.28029,1.06739
59.76,12.22777,0.02035003,0.28103,1.0673700000000002
59.86,12.23932,0.0192669,0.28244,1.06734
59.96,12.25088,0.01925847,0.28253,1.06731
60.06,12.26243,0.02012403,0.28349,1.06728
60.16,12.27392,0.0207962,0.28393,1.06725
60.26,12.28545,0.01983302,0.28522,1.06722
60.36,12.29691,0.01938613,0.2862,1.0672
60.46,12.30831,0.01943859,0.28741,1.0671700000000002
60.56,12.3197,0.01944779,0.28831999999999997,1.06714
60.66,12.33104,0.01912778,0.28794000000000003,1.06711
60.76,12.34234,0.01957801,0.28745,1.06708
60.86,12.35374,0.01969648,0.28776999999999997,1.06705
60.96,12.36505,0.02072006,0.28936,1.06702
61.06,12.376389999999999,0.02113346,0.29098,1.067
61.16,12.38762,0.02107101,0.29217,1.06697
61.26,12.39891,0.02108013,0.29228000000000004,1.06694
61.36,12.41012,0.02107953,0.29365,1.06691
61.46,12.4214,0.0211044,0.2937,1.0668799999999998
61.56,12.43253,0.02089258,0.29519,1.06685
61.66,12.44373,0.02062003,0.29578000000000004,1.06682
61.76,12.454930000000001,0.02128451,0.29627,1.06679
61.86,12.46608,0.02117636,0.29615,1.06677
61.96,12.47729,0.02103988,0.29653,1.06674
62.06,12.4884,0.01999214,0.29715,1.06671
62.16,12.49954,0.0198724,0.29748,1.0666799999999999
62.26,12.510580000000001,0.01987754,0.29767,1.06665
62.36,12.52171,0.01988566,0.29721,1.0666200000000001
62.46,12.53275,0.01985253,0.29874,1.06659
62.56,12.54387,0.02005775,0.2998,1.06657
62.66,12.554960000000001,0.02099459,0.2999,1.06654
62.76,12.56601,0.02126206,0.29993000000000003,1.06651
62.86,12.57708,0.02021597,0.29962,1.0664799999999999
62.96,12.58816,0.0199595,0.30049000000000003,1.06645
63.06,12.599110000000001,0.01998847,0.30115,1.0664200000000001
63.16,12.60998,0.01999041,0.30175,1.06639
63.26,12.62107,0.01922245,0.30204000000000003,1.06636
63.36,12.63207,0.01877956,0.3034,1.06633
63.46,12.6431,0.01989607,0.30357,1.06631
63.56,12.654110000000001,0.02013621,0.30425,1.06628
63.66,12.664819999999999,0.02000416,0.30543000000000003,1.06625
63.76,12.67563,0.02062908,0.30573,1.0662200000000002
63.86,12.6864,0.02138184,0.30585,1.06619
63.96,12.69726,0.02140026,0.30653,1.06616
64.06,12.70832,0.02144666,0.30679,1.06613
64.16,12.719339999999999,0.02080621,0.30635,1.0661
64.26,12.730269999999999,0.02008345,0.30711,1.06607
64.36,12.74127,0.02007525,0.3068,1.06605
64.46,12.752180000000001,0.02025388,0.30574,1.06602
64.56,12.76318,0.02128067,0.30599,1.06599
64.66,12.77415,0.02141582,0.30627,1.06596
64.76,12.78509,0.0214121,0.30677,1.0659299999999998
64.86,12.79593,0.02139532,0.30746,1.0659
64.96,12.80697,0.0214623,0.30919,1.06587
65.06,12.81812,0.02090021,0.3101,1.06584
65.16,12.82905,0.02014504,0.30973,1.0658100000000001
65.26,12.83998,0.02009866,0.30935999999999997,1.06578
65.36,12.85088,0.02115642,0.30789,1.06576
65.46,12.86178,0.02142571,0.30935999999999997,1.0657299999999998
65.56,12.872760000000001,0.02142004,0.31116,1.0657
65.66,12.88391,0.02140987,0.31053000000000003,1.0656700000000001
65.76,12.89489,0.02146578,0.30926,1.06564
65.86,12.90595,0.02109072,0.31071,1.06561
65.96,12.916789999999999,0.02024311,0.31140999999999996,1.06558
66.06,12.92765,0.02008814,0.3116,1.06555
66.16,12.93853,0.02006919,0.31137,1.06552
66.26,12.94934,0.02070574,0.31248000000000004,1.06549
66.36,12.96015,0.02142587,0.31235,1.06546
66.46,12.970939999999999,0.02138033,0.31251,1.06544
66.56,12.98168,0.02062256,0.31198000000000004,1.06541
66.66,12.992560000000001,0.02005151,0.31185,1.06538
66.76,13.0034,0.02011427,0.31215,1.06535
66.86,13.01416,0.02009634,0.31384,1.06532
66.96,13.02492,0.02010012,0.31377,1.06529
67.06,13.035730000000001,0.02010317,0.31351999999999997,1.06526
67.16,13.04647,0.02008712,0.31375,1.06523
67.26,13.057210000000001,0.02014536,0.31379,1.0652
67.36,13.06794,0.01962222,0.31351,1.0651700000000002
67.46,13.07865,0.01879887,0.31396999999999997,1.06514
67.56,13.08934,0.01937021,0.31448000000000004,1.06511
67.66,13.100060000000001,0.02009201,0.31335999999999997,1.06508
67.76,13.11067,0.02007361,0.31355,1.06505
67.86,13.12135,0.02018986,0.31299,1.06503
67.96,13.13194,0.02137205,0.31359000000000004,1.065
68.06,13.14259,0.02153267,0.31468,1.06497
68.16,13.153260000000001,0.02070248,0.31519,1.06494
68.26,13.164010000000001,0.02026966,0.3154,1.06491
68.36,13.174760000000001,0.02033449,0.31504,1.0648799999999998
68.46,13.1855,0.02031004,0.31428,1.06485
68.56,13.19609,0.02034724,0.31542,1.06482
68.66,13.206729999999999,0.02022419,0.31579,1.06479
68.76,13.217429999999998,0.02105681,0.31619,1.06476
68.86,13.2281,0.02162821,0.31763,1.06473
68.96,13.2387,0.02164167,0.31809,1.0647
69.06,13.24934,0.02163979,0.31699,1.06467
69.16,13.26004,0.02164,0.31713,1.06464
69.26,13.270679999999999,0.02164004,0.31814000000000003,1.06461
69.36,13.281360000000001,0.02163979,0.31599,1.0645799999999999
69.46,13.2922,0.02164127,0.3171,1.06456
69.56,13.30295,0.021625,0.31738,1.06453
69.66,13.31366,0.02089714,0.31905,1.0645
69.76,13.32439,0.02044541,0.31961999999999996,1.06447
69.86,13.33505,0.02139929,0.31889,1.06444
69.96,13.34569,0.02166696,0.31897,1.06441
70.06,13.35636,0.02162148,0.31881,1.0643799999999999
70.16,13.367,0.0216319,0.31951999999999997,1.06435
70.26,13.37766,0.02162961,0.31956999999999997,1.0643200000000002
70.36,13.38826,0.02163008,0.31903000000000004,1.06429
70.46,13.39896,0.02162999,0.31940999999999997,1.06426
70.56,13.409670000000002,0.02163,0.31906999999999996,1.06423
70.66,13.42029,0.02163001,0.31925,1.0642
70.76,13.43091,0.02162984,0.31893,1.06417
70.86,13.441510000000001,0.02163107,0.31995999999999997,1.0641399999999999
70.96,13.45209,0.02162425,0.32005,1.0641100000000001
71.06,13.462660000000001,0.02165777,0.31986,1.06408
71.16,13.473239999999999,0.02148069,0.32082,1.06405
71.26,13.48385,0.02066004,0.3201,1.06402
71.36,13.49443,0.02025215,0.32048000000000004,1.06399
71.46,13.504920000000002,0.02038599,0.32126,1.06396
71.56,13.51542,0.02121425,0.32042,1.0639299999999998
71.66,13.526010000000001,0.02170488,0.32084,1.0639
71.76,13.536610000000001,0.02161917,0.32243,1.06387
71.86,13.5472,0.02160935,0.32131,1.06384
71.96,13.55785,0.02171019,0.32161,1.0638100000000001
72.06,13.56846,0.02078405,0.32261,1.06379
72.16,13.579020000000002,0.0203152,0.32278,1.06376
72.26,13.58959,0.02030876,0.32374,1.0637299999999998
72.36,13.600179999999998,0.02030851,0.32358000000000003,1.0637
72.46,13.61072,0.02033348,0.32394,1.0636700000000001
72.56,13.62129,0.02108805,0.32316999999999996,1.06364
72.66,13.631829999999999,0.02178872,0.32333,1.06361
72.76,13.642389999999999,0.02172487,0.32429,1.06358
72.86,13.652970000000002,0.02174467,0.32505,1.06355
72.96,13.66359,0.02173742,0.323,1.06352
73.06,13.67416,0.02174613,0.32179,1.06349
73.16,13.68474,0.02168108,0.32391,1.06346
73.26,13.69527,0.02085093,0.32516,1.0634299999999999
73.36,13.705720000000001,0.02037566,0.32474000000000003,1.0634
73.46,13.71623,0.02035153,0.32572,1.0633700000000001
73.56,13.726820000000002,0.02109329,0.32606,1.06334
73.66,13.73729,0.02173124,0.32598,1.06331
73.76,13.7478,0.02175281,0.32606999999999997,1.06328
73.86,13.75826,0.02174873,0.32634,1.06325
73.96,13.76874,0.02175228,0.32708000000000004,1.06322
74.06,13.77921,0.02174446,0.32773,1.0631899999999999
74.16,13.789779999999999,0.02175637,0.32687,1.06316
74.26,13.80018,0.02107464,0.32595999999999997,1.06313
74.36,13.81061,0.02041324,0.32875,1.0631
74.46,13.82107,0.02043722,0.3278,1.0630700000000002
74.56,13.831479999999999,0.02042753,0.32726,1.06304
74.66,13.84199,0.02043086,0.32761999999999997,1.06301
74.76,13.8525,0.02042946,0.32703000000000004,1.06298
74.86,13.86297,0.02043141,0.32656,1.06295
74.96,13.87345,0.02042417,0.32743,1.06292
75.06,13.88391,0.02047402,0.32769000000000004,1.06289
75.16,13.89434,0.0211974,0.32609,1.0628600000000001
75.26,13.904779999999999,0.02187816,0.32595999999999997,1.06283
75.36,13.91531,0.02143132,0.32823,1.0628
75.46,13.92581,0.02063435,0.3279,1.06277
75.56,13.93624,0.02038076,0.32739,1.06274
75.66,13.94675,0.02042569,0.32899,1.06271
75.76,13.95718,0.02043124,0.32926,1.0626799999999998
75.86,13.96761,0.02037414,0.32929,1.06265
75.96,13.97812,0.02092385,0.32928,1.0626200000000001
76.06,13.988520000000001,0.02168401,0.32864,1.06259
76.16,13.998879999999998,0.02174919,0.32946,1.06256
76.26,14.00929,0.02174179,0.32993,1.06253
76.36,14.01971,0.02173447,0.32961,1.0625
76.46,14.03009,0.02207192,0.32868,1.06247
76.56,14.04055,0.02206757,0.32964,1.06244
76.66,14.050839999999999,0.02206863,0.32982,1.06241
76.76,14.061229999999998,0.02208396,0.33039,1.0623799999999999
76.86,14.071660000000001,0.02251448,0.33057,1.06234
76.96,14.082,0.02309912,0.3304,1.06231
77.06,14.09237,0.02309143,0.33023,1.06228
77.16,14.102789999999999,0.02283988,0.331,1.06225
77.26,14.113220000000002,0.02186739,0.33013000000000003,1.0622200000000002
77.36,14.123610000000001,0.02173337,0.33048,1.06219
77.46,14.133989999999999,0.02174178,0.32984,1.06216
77.56,14.14437,0.02173953,0.33096,1.06213
77.66,14.154720000000001,0.02174012,0.33315,1.0621
77.76,14.16509,0.02173997,0.3332,1.06207
77.86,14.1755,0.02173999,0.33358000000000004,1.0620399999999999
77.96,14.18585,0.02174007,0.33376999999999996,1.0620100000000001
78.06,14.19621,0.02173973,0.33366,1.06198
78.16,14.206629999999999,0.02174099,0.33337,1.06195
78.26,14.21708,0.02173645,0.3338,1.06192
78.36,14.22745,0.02175277,0.33388,1.06189
78.46,14.23785,0.02169638,0.33366,1.06186
78.56,14.248170000000002,0.02225044,0.33476999999999996,1.0618299999999998
78.66,14.25862,0.0229997,0.33432,1.0618
78.76,14.269070000000001,0.02309216,0.33361,1.06177
78.86,14.2794,0.02245828,0.33464,1.06174
78.96,14.28972,0.02175905,0.33599,1.06171
79.06,14.30004,0.02175033,0.33675,1.06168
79.16,14.310379999999999,0.02174918,0.3377,1.06165
79.26,14.32063,0.02175045,0.33783,1.06162
