Sample ID:	C:\MCC\MCC Cal\Test\LDPE_MCC_30K_min_210922_R2.txt
Sample Weight (mg):	4.45
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	108.703	80.005	19.996	100.367	20.048	0.233	0.013
0.500	108.683	80.006	19.998	100.365	20.048	0.260	0.003
1.000	108.700	80.006	19.995	100.362	20.049	0.212	-0.008
1.500	108.709	80.005	19.996	100.361	20.047	0.346	0.011
2.000	108.730	80.006	19.996	100.364	20.048	0.248	0.028
2.500	108.702	80.007	19.998	100.368	20.051	0.076	0.012
3.000	108.719	80.006	19.996	100.370	20.052	-0.040	-0.009
3.500	108.704	80.007	19.997	100.374	20.048	0.231	-0.005
4.000	108.714	80.006	19.996	100.376	20.052	-0.057	-0.002
4.500	108.664	80.006	19.997	100.377	20.048	0.243	-0.022
5.000	108.688	80.007	19.996	100.375	20.050	0.122	-0.033
5.500	108.659	80.007	19.996	100.373	20.050	0.126	-0.016
6.000	108.656	80.006	19.994	100.373	20.050	0.097	-0.018
6.500	108.693	80.006	19.996	100.373	20.050	0.096	0.001
7.000	108.706	80.007	19.994	100.373	20.049	0.214	0.042
7.500	108.674	80.007	19.995	100.375	20.050	0.090	0.016
8.000	108.650	80.008	19.996	100.378	20.050	0.088	-0.037
8.500	108.678	80.006	19.996	100.378	20.051	0.073	-0.026
9.000	108.691	80.005	19.996	100.378	20.053	-0.092	0.023
9.500	108.676	80.007	19.995	100.377	20.050	0.103	0.019
10.000	108.661	80.004	19.995	100.377	20.050	0.117	-0.016
10.500	108.666	80.004	19.996	100.375	20.052	-0.033	-0.020
11.000	108.665	80.004	19.995	100.375	20.050	0.130	-0.003
11.500	108.649	80.005	19.997	100.377	20.046	0.427	-0.006
12.001	108.650	80.005	19.994	100.378	20.051	0.078	-0.016
12.501	108.686	80.005	19.996	100.381	20.049	0.210	0.011
13.000	108.662	80.006	19.996	100.390	20.049	0.151	0.024
13.500	108.684	80.007	19.996	100.397	20.050	0.088	0.005
14.000	108.658	80.007	19.997	100.404	20.046	0.377	-0.003
