##Temp./°C,Time/min,DSC(subtr.2)/(mW/mg),Mass loss(subtr.2)/mg,Sensit./(uV/mW)
49.6,10.00917,0.03015711,-0.07371,1.07521
49.7,10.412360000000001,0.03484025,-0.07535859,1.0751600000000001
49.8,10.50986,0.04044248,-0.07553864,1.0751
49.9,10.57784,0.04437733,-0.07711986,1.07505
50.0,10.633,0.05107358,-0.07678586,1.075
50.1,10.68023,0.05265333,-0.07843641,1.07495
50.2,10.72262,0.05989657,-0.07796306,1.07489
50.3,10.759839999999999,0.06273007,-0.07867432,1.07484
50.4,10.794,0.06475153,-0.07891348,1.07479
50.5,10.82622,0.068996,-0.07880975,1.07474
50.6,10.85641,0.07135995,-0.07939967,1.07469
50.7,10.884789999999999,0.07695933,-0.08003728,1.07463
50.8,10.91187,0.07985193,-0.07977607,1.0745799999999999
50.9,10.93769,0.08222352,-0.07879735,1.07453
51.0,10.96265,0.08437683,-0.07876647,1.0744799999999999
51.1,10.98682,0.08947279,-0.07889837,1.07443
51.2,11.01,0.09245851,-0.0789441,1.07437
51.3,11.0322,0.0927578,-0.07806808,1.0743200000000002
51.4,11.05408,0.09653595,-0.07741601,1.07427
51.5,11.075289999999999,0.0990606,-0.07788894,1.0742200000000002
51.6,11.09598,0.10172,-0.07783236,1.07417
51.7,11.11616,0.10533,-0.0770359,1.0741100000000001
51.8,11.13563,0.10612,-0.07725945,1.07406
51.9,11.15475,0.10732,-0.07864883,1.0740100000000001
52.0,11.17366,0.10998,-0.07840826,1.07396
52.1,11.192169999999999,0.11315,-0.07861366,1.0739
52.2,11.2103,0.11512,-0.07901947,1.07385
52.3,11.228060000000001,0.11950999999999999,-0.07877174,1.0738
52.4,11.24549,0.12075,-0.08017499,1.07375
52.5,11.26266,0.12177,-0.07922894,1.0737
52.6,11.27966,0.12495999999999999,-0.08042265,1.07364
52.7,11.29617,0.12713,-0.08081236,1.07359
52.8,11.31265,0.12705,-0.08112695,1.07354
52.9,11.32879,0.13037,-0.08120432,1.07349
53.0,11.345089999999999,0.13309,-0.08084087,1.07344
53.1,11.36099,0.1352,-0.08142513,1.07338
53.2,11.37655,0.13474,-0.08089774,1.07333
53.3,11.39194,0.13554000000000002,-0.08223749,1.07328
53.4,11.40724,0.13965999999999998,-0.08101177,1.07323
53.5,11.422360000000001,0.14101,-0.082048,1.07318
53.6,11.437439999999999,0.1411,-0.08079852,1.07312
53.7,11.45232,0.14439000000000002,-0.08214882,1.07307
53.8,11.46691,0.14731,-0.08088671,1.07302
53.9,11.481580000000001,0.14834,-0.08219299,1.07297
54.0,11.49596,0.14931,-0.08084673,1.07292
54.1,11.51038,0.15033,-0.08235608,1.0728600000000001
54.2,11.52443,0.15261,-0.08109267,1.07281
54.3,11.53828,0.15549000000000002,-0.08209275,1.07276
54.4,11.551910000000001,0.15512,-0.08058391,1.07271
