Names,Time,Stack TC,Smoke TC,Exh Press,Smoke Comp,Smoke Meas,CO Meter,CO2 Meter,O2 Meter,Sample Mass,Ext Coeff,Start Test,Flame Verif
Chan Gain,,500,500,1,1,1,1,1,1,1,1,1.0,1.0
Offset,,0,0,0.13531646132469177,0,0,0,0,0,0,0,0.0,0.0
Gain,,1,1,25.01099967956543,13.844285011291504,15.407133102416992,1,1,1,1.0007895231246948,1.0293573141098022,1.0,1.0
Units,sec,C,C,Pa,%,%,%,%,%,g,/m,,
Baseline,,31.07862663269043,32.11650848388672,136.30809020996094,104.38676452636719,104.47047424316406,0.00019613845506682992,0.04180809110403061,21.004255294799805,-447.1325378417969,-0.007222226820886135,,
1,0,30.131254196166992,31.40944480895996,137.22386169433594,104.6158676147461,104.65641021728516,0.00017578277038410306,0.044110123068094254,21.00196647644043,114.81057739257812,-0.003498421050608158,0.0,0.0
2,0.25,30.126623153686523,31.304052352905273,138.8114776611328,104.6175537109375,104.71659851074219,0.0001618414680706337,0.044026464223861694,21.002124786376953,114.8305892944336,-0.00854469183832407,0.0,0.0
3,0.5,29.929149627685547,31.55071258544922,130.88180541992188,104.61375427246094,104.69731903076172,0.00014929429744370282,0.04395117238163948,21.002267837524414,114.8506088256836,-0.007209875620901585,0.0,0.0
4,0.75,29.278879165649414,30.158395767211914,137.0841827392578,104.60318756103516,104.51347351074219,0.0001380018366035074,0.04388340935111046,21.002395629882812,114.82058715820312,0.007747790776193142,0.0,0.0
5,1,28.74390983581543,30.082256317138672,139.01449584960938,104.60910034179688,104.62349700927734,0.0001278386334888637,0.04377961903810501,21.002511978149414,114.8506088256836,-0.001242782804183662,0.0,0.0
6,1.25,28.409236907958984,29.78256607055664,135.86447143554688,104.60741424560547,104.64230346679688,0.0001294587564188987,0.04368620738387108,21.002614974975586,114.8305892944336,-0.0030111768282949924,0.0,0.0
7,1.5,28.838829040527344,29.78428840637207,136.5308074951172,104.60868072509766,104.50031280517578,0.00013091685832478106,0.04360213875770569,21.002708435058594,114.8305892944336,0.009358703158795834,0.0,0.0
8,1.75,28.715404510498047,29.331336975097656,135.22178649902344,104.60150146484375,104.67192840576172,0.00013222915004007518,0.04352647438645363,21.002792358398438,114.80056762695312,-0.006077214144170284,0.0,0.0
