##Temp./°C,Time/min,Mass loss(subtr.2)/mg,DSC(subtr.2)/mW,Sensit./(uV/mW)
49.56,10.00917,0.0573,0.02994109,1.0702200000000002
49.66,10.4019,0.05856223,0.05697189,1.07019
49.76,10.50962,0.0584872,0.0742157,1.07016
49.86,10.58098,0.06093396,0.09521788,1.0701399999999999
49.96,10.63926,0.0603621,0.10625,1.0701100000000001
50.06,10.68925,0.0579648,0.1348,1.07008
50.16,10.73141,0.05906062,0.15231,1.07005
50.26,10.77012,0.06037491,0.17306,1.07003
50.36,10.80542,0.06079193,0.19329000000000002,1.07
50.46,10.83767,0.06105507,0.20310999999999998,1.06997
50.56,10.86791,0.06068298,0.2249,1.06994
50.66,10.89655,0.06079851,0.23851999999999998,1.06992
50.76,10.923960000000001,0.06061464,0.24356999999999998,1.06989
50.86,10.95014,0.05987433,0.27196,1.06986
50.96,10.97508,0.06014523,0.29004,1.0698299999999998
51.06,10.99929,0.0608122,0.29593,1.06981
51.16,11.02224,0.06084549,0.30646999999999996,1.06978
51.26,11.0446,0.06138797,0.31399,1.06975
51.36,11.06653,0.0621227,0.32873,1.06972
51.46,11.08789,0.06203675,0.33903,1.06969
51.56,11.10843,0.06123254,0.34614,1.0696700000000001
51.66,11.12853,0.06139425,0.36105,1.06964
51.76,11.1481,0.06214844,0.37051,1.06961
51.86,11.16736,0.06214796,0.38123,1.06958
51.96,11.18627,0.06203919,0.39719,1.06956
52.06,11.20411,0.06234572,0.41447,1.0695299999999999
52.16,11.221969999999999,0.06308549,0.41238,1.0695
52.26,11.2397,0.06302614,0.42407,1.0694700000000001
52.36,11.25726,0.06433384,0.42848,1.06945
52.46,11.27431,0.06384334,0.43922,1.06942
52.56,11.29102,0.06355734,0.45098,1.06939
52.66,11.3077,0.06247457,0.44591000000000003,1.06936
52.76,11.32404,0.0628198,0.45669,1.06933
52.86,11.34029,0.06229522,0.46652,1.06931
52.96,11.35642,0.06226272,0.47357,1.06928
53.06,11.37235,0.0622646,0.48085,1.06925
53.16,11.38813,0.06214842,0.48786,1.06922
53.26,11.40376,0.06289001,0.49526000000000003,1.0692
53.36,11.41952,0.06259214,0.50832,1.0691700000000002
53.46,11.43493,0.06376963,0.5191100000000001,1.06914
53.56,11.45011,0.06351754,0.5262399999999999,1.06911
53.66,11.465019999999999,0.0632926,0.53289,1.06908
53.76,11.47981,0.06232966,0.5390199999999999,1.0690600000000001
53.86,11.49437,0.06259468,0.54661,1.06903
53.96,11.50883,0.06257746,0.56366,1.069
54.06,11.52316,0.0634048,0.56007,1.06897
54.16,11.53748,0.06396587,0.57115,1.06895
54.26,11.55157,0.06276513,0.58248,1.06892
54.36,11.565439999999999,0.0640705,0.57691,1.06889
54.46,11.57916,0.0630107,0.5788800000000001,1.0688600000000001
54.56,11.59295,0.06297956,0.5844699999999999,1.06883
54.66,11.6065,0.06326381,0.59063,1.06881
54.76,11.62014,0.06255256,0.59235,1.0687799999999998
54.86,11.63369,0.06342033,0.6014,1.06875
54.96,11.6471,0.06292785,0.6110300000000001,1.0687200000000001
55.06,11.66035,0.06278875,0.6100399999999999,1.06869
55.16,11.673589999999999,0.06317824,0.61687,1.06867
55.26,11.686760000000001,0.06282338,0.6242800000000001,1.06864
55.36,11.70004,0.06352214,0.62867,1.06861
55.46,11.71321,0.06264205,0.63563,1.0685799999999999
55.56,11.726339999999999,0.0632291,0.6405,1.06855
55.66,11.73922,0.06410237,0.6411899999999999,1.06853
55.76,11.752139999999999,0.0638224,0.6490600000000001,1.0685
55.86,11.76503,0.06312718,0.65283,1.06847
55.96,11.77789,0.06428401,0.65491,1.06844
56.06,11.79073,0.06348004,0.66101,1.06841
56.16,11.80337,0.06296118,0.664,1.0683799999999999
56.26,11.81603,0.06366373,0.66851,1.06836
56.36,11.82854,0.06282353,0.6692100000000001,1.06833
56.46,11.84104,0.06335454,0.66857,1.0683
56.56,11.85347,0.06423144,0.67282,1.06827
56.66,11.86582,0.06308651,0.68295,1.0682399999999999
56.76,11.87814,0.06355997,0.6855100000000001,1.0682200000000002
56.86,11.89048,0.06446556,0.6914,1.06819
56.96,11.90273,0.06444378,0.6923600000000001,1.06816
57.06,11.91488,0.065348,0.69084,1.06813
57.16,11.92707,0.06477659,0.69348,1.0681
57.26,11.93924,0.06455626,0.70004,1.06808
57.36,11.951369999999999,0.06579957,0.6994,1.06805
57.46,11.96337,0.06531239,0.70511,1.06802
57.56,11.97542,0.06444598,0.70691,1.06799
57.66,11.98749,0.06555839,0.71236,1.06796
57.76,11.99945,0.06495605,0.7159300000000001,1.0679299999999998
57.86,12.01135,0.06452357,0.71868,1.0679100000000001
57.96,12.02323,0.06453599,0.72258,1.06788
58.06,12.0351,0.0645835,0.72506,1.06785
58.16,12.04692,0.0642414,0.72825,1.06782
58.26,12.05866,0.06453568,0.74147,1.06779
58.36,12.07041,0.0645489,0.73675,1.06776
58.46,12.0822,0.0644931,0.73547,1.06774
58.56,12.09395,0.06499312,0.73559,1.06771
58.66,12.10567,0.06580846,0.73368,1.06768
58.76,12.117410000000001,0.06595413,0.74079,1.06765
58.86,12.12914,0.06488151,0.74106,1.06762
58.96,12.14073,0.06532849,0.74284,1.06759
59.06,12.15226,0.06588589,0.7491300000000001,1.0675700000000001
59.16,12.163860000000001,0.06602017,0.74817,1.06754
59.26,12.17543,0.06607819,0.75313,1.06751
59.36,12.18688,0.0659513,0.75351,1.06748
59.46,12.19833,0.06623034,0.75395,1.06745
59.56,12.209760000000001,0.06730105,0.75654,1.06742
59.66,12.221169999999999,0.0664414,0.76547,1.06739
59.76,12.23263,0.06593351,0.7683800000000001,1.0673700000000002
59.86,12.244060000000001,0.06594002,0.77241,1.06734
59.96,12.255410000000001,0.06629756,0.77786,1.06731
60.06,12.266869999999999,0.06727596,0.7733300000000001,1.06728
60.16,12.27829,0.06639716,0.7752399999999999,1.06725
60.26,12.28961,0.06598086,0.77774,1.06722
60.36,12.300930000000001,0.0664692,0.77684,1.0672
60.46,12.31219,0.06735859,0.78133,1.0671700000000002
60.56,12.32345,0.06648774,0.78372,1.06714
60.66,12.33469,0.06589198,0.78574,1.06711
60.76,12.34595,0.06598533,0.7878,1.06708
60.86,12.357280000000001,0.06596809,0.7885300000000001,1.06705
60.96,12.36862,0.06596956,0.792,1.06702
61.06,12.3799,0.06596614,0.7952,1.067
61.16,12.3911,0.06546029,0.7962199999999999,1.06697
61.26,12.402330000000001,0.06452207,0.7982600000000001,1.06694
61.36,12.41354,0.06489648,0.79995,1.06691
61.46,12.42477,0.06574149,0.8024899999999999,1.0668799999999998
61.56,12.435960000000001,0.06600504,0.8083199999999999,1.06685
61.66,12.44711,0.06596455,0.81097,1.06682
61.76,12.45835,0.06571488,0.80611,1.06679
61.86,12.46946,0.06465196,0.80896,1.06677
61.96,12.48066,0.06576942,0.8117,1.06674
62.06,12.491760000000001,0.06595651,0.81797,1.06671
62.16,12.502889999999999,0.06604111,0.8198700000000001,1.0666799999999999
62.26,12.51394,0.06553809,0.8215600000000001,1.06665
62.36,12.524989999999999,0.06470827,0.8194899999999999,1.0666200000000001
62.46,12.53606,0.06464873,0.82053,1.06659
62.56,12.54711,0.06468187,0.8231,1.06657
62.66,12.55813,0.06461096,0.82485,1.06654
62.76,12.56913,0.06564692,0.82196,1.06651
62.86,12.58013,0.06596819,0.8236,1.0664799999999999
62.96,12.59116,0.06600701,0.82758,1.06645
63.06,12.60228,0.06571145,0.8332,1.0664200000000001
63.16,12.61327,0.06478675,0.83567,1.06639
63.26,12.62423,0.06550931,0.84221,1.06636
63.36,12.63518,0.06604805,0.8452200000000001,1.06633
63.46,12.646180000000001,0.06595351,0.8482299999999999,1.06631
63.56,12.657110000000001,0.06597483,0.84845,1.06628
63.66,12.66805,0.06596489,0.8506600000000001,1.06625
63.76,12.67902,0.06597278,0.84939,1.0662200000000002
63.86,12.689910000000001,0.06603047,0.85125,1.06619
63.96,12.70089,0.06695974,0.8541799999999999,1.06616
64.06,12.71182,0.06612907,0.84467,1.06613
64.16,12.72281,0.06597109,0.84714,1.0661
64.26,12.73382,0.06592705,0.8513799999999999,1.06607
64.36,12.74474,0.06627203,0.8563799999999999,1.06605
64.46,12.75563,0.06713117,0.85945,1.06602
64.56,12.766580000000001,0.06715721,0.8586299999999999,1.06599
64.66,12.77747,0.06609054,0.85688,1.06596
64.76,12.788269999999999,0.06595181,0.8578,1.0659299999999998
64.86,12.7991,0.06597119,0.86462,1.0659
64.96,12.80995,0.06602124,0.8676299999999999,1.06587
65.06,12.820789999999999,0.06707682,0.86831,1.06584
65.16,12.8316,0.0672842,0.86821,1.0658100000000001
65.26,12.8425,0.06728305,0.86541,1.06578
65.36,12.85336,0.06725948,0.8622799999999999,1.06576
65.46,12.86428,0.06736917,0.86251,1.0657299999999998
65.56,12.87507,0.06671913,0.86731,1.0657
65.66,12.88599,0.06600135,0.87408,1.0656700000000001
65.76,12.89679,0.06596005,0.87475,1.06564
65.86,12.907580000000001,0.0661856,0.87198,1.06561
65.96,12.91845,0.06724346,0.87605,1.06558
66.06,12.92923,0.06728897,0.8770899999999999,1.06555
66.16,12.94,0.06729323,0.8734700000000001,1.06552
66.26,12.95075,0.06728678,0.87636,1.06549
66.36,12.96154,0.067306,0.87979,1.06546
66.46,12.972339999999999,0.06794579,0.88131,1.06544
66.56,12.983189999999999,0.06866386,0.88223,1.06541
66.66,12.99408,0.06773769,0.88531,1.06538
66.76,13.00494,0.06721448,0.88664,1.06535
66.86,13.01573,0.06730746,0.88723,1.06532
66.96,13.02646,0.0672848,0.89213,1.06529
67.06,13.03735,0.06729559,0.8940600000000001,1.06526
67.16,13.04815,0.06727751,0.8912200000000001,1.06523
67.26,13.05896,0.06730079,0.8903,1.0652
67.36,13.0697,0.06625271,0.8904,1.0651700000000002
67.46,13.08046,0.0660141,0.8935700000000001,1.06514
67.56,13.09123,0.06680339,0.8944200000000001,1.06511
67.66,13.10196,0.06733788,0.8933700000000001,1.06508
67.76,13.11276,0.06727666,0.89536,1.06505
67.86,13.123470000000001,0.06729205,0.8985700000000001,1.06503
67.96,13.134160000000001,0.06729573,0.9031899999999999,1.065
68.06,13.14489,0.06720204,0.90617,1.06497
68.16,13.15562,0.06627386,0.9077799999999999,1.06494
68.26,13.166329999999999,0.06590834,0.9062399999999999,1.06491
68.36,13.17705,0.066002,0.90517,1.0648799999999998
68.46,13.1877,0.065905,0.90974,1.06485
68.56,13.19832,0.06687538,0.9154200000000001,1.06482
68.66,13.208960000000001,0.06727906,0.91509,1.06479
68.76,13.21964,0.06727947,0.90995,1.06476
68.86,13.23035,0.06728052,0.9123399999999999,1.06473
68.96,13.24107,0.0672785,0.91359,1.0647
69.06,13.25167,0.06728708,0.9161299999999999,1.06467
69.16,13.262329999999999,0.06724643,0.9139200000000001,1.06464
69.26,13.272979999999999,0.06746515,0.9161100000000001,1.06461
69.36,13.283629999999999,0.06829596,0.9164,1.0645799999999999
69.46,13.294189999999999,0.06865492,0.92001,1.06456
69.56,13.304789999999999,0.06850311,0.91984,1.06453
69.66,13.3154,0.06761408,0.9224700000000001,1.0645
69.76,13.326039999999999,0.06722876,0.92619,1.06447
69.86,13.33671,0.06730426,0.9287700000000001,1.06444
69.96,13.347370000000002,0.06728231,0.92735,1.06441
70.06,13.35793,0.06730561,0.93166,1.0643799999999999
70.16,13.36859,0.06726025,0.9277700000000001,1.06435
70.26,13.379220000000002,0.06828422,0.9283100000000001,1.0643200000000002
70.36,13.389829999999998,0.06861236,0.9306700000000001,1.06429
70.46,13.400529999999998,0.06860886,0.9335399999999999,1.06426
70.56,13.411170000000002,0.0686104,0.9333299999999999,1.06423
70.66,13.42175,0.06860988,0.93486,1.0642
70.76,13.43241,0.06861003,0.93573,1.06417
70.86,13.443010000000001,0.06861,0.93285,1.0641399999999999
70.96,13.45369,0.06860997,0.9348700000000001,1.0641100000000001
71.06,13.464360000000001,0.06861012,0.9344299999999999,1.06408
71.16,13.47495,0.06860951,0.94094,1.06405
71.26,13.485570000000001,0.06861184,0.9450700000000001,1.06402
71.36,13.496210000000001,0.06860343,0.94201,1.06399
71.46,13.506870000000001,0.06863215,0.93975,1.06396
71.56,13.51745,0.0685396,0.93927,1.0639299999999998
71.66,13.528039999999999,0.06948818,0.9400799999999999,1.0639
71.76,13.53864,0.06991786,0.94079,1.06387
71.86,13.54926,0.06992014,0.9423299999999999,1.06384
71.96,13.559829999999998,0.06991281,0.9402799999999999,1.0638100000000001
72.06,13.570470000000002,0.06950271,0.9431299999999999,1.06379
72.16,13.581,0.06888444,0.94076,1.06376
72.26,13.591610000000001,0.06894006,0.9423,1.0637299999999998
72.36,13.602129999999999,0.06894692,0.94266,1.0637
72.46,13.61265,0.06882422,0.93937,1.0636700000000001
