Sample ID:	C:\MCC\MCC Cal\Test\LatexPillow_C_Foam_MCC_30K_min_211213_R2.txt
Sample Weight (mg):	4.57
Heating Rate (C/s):	0.5
Combustor Temp (C):	900
N2 Flow Rate (cc/min):	80
O2 Flow Rate (cc/min):	20
Calibration File:	C:\MCC\MCC Cal\Coeff1 JN10440_30_210304.txt.txt
T Correction Coefficients:	0	1.024463	0
Time Shift (s):	14
*
Time (s)	Temperature (C)	N2 flow rate (cc/min)	O2 flow rate (cc/min)	Flow Rate (cc/min)	Oxygen (%)	HRR (W/g)	Heating rate (C/s)
0.000	109.017	80.006	19.997	103.020	20.327	-0.163	0.000
0.500	109.026	80.005	19.997	103.020	20.329	-0.324	-0.014
1.000	109.025	80.006	19.996	103.019	20.327	-0.169	-0.004
1.500	109.043	80.005	19.996	103.018	20.324	0.025	0.013
2.000	109.023	80.006	19.996	103.015	20.326	-0.129	0.008
2.500	109.042	80.005	19.997	103.014	20.326	-0.100	-0.002
3.000	109.003	80.005	19.997	103.018	20.326	-0.131	-0.011
3.500	109.026	80.005	19.996	103.023	20.324	0.027	-0.018
4.000	109.039	80.006	19.996	103.030	20.326	-0.079	0.010
4.500	109.032	80.005	19.996	103.036	20.326	-0.077	0.021
5.000	108.994	80.006	19.996	103.040	20.322	0.161	-0.019
5.500	109.059	80.005	19.996	103.040	20.325	0.000	-0.009
6.000	109.053	80.005	19.996	103.038	20.323	0.083	0.043
6.500	109.068	80.005	19.996	103.035	20.321	0.215	0.034
7.000	109.064	80.006	19.996	103.037	20.321	0.238	0.010
7.500	109.079	80.004	19.996	103.038	20.326	-0.088	0.011
8.000	109.074	80.006	19.996	103.038	20.324	0.017	0.011
8.500	109.063	80.005	19.995	103.041	20.320	0.307	-0.003
9.001	109.068	80.006	19.996	103.045	20.324	0.036	-0.011
9.501	109.057	80.006	19.995	103.047	20.322	0.198	-0.006
10.001	109.066	80.005	19.995	103.050	20.321	0.269	-0.004
10.500	109.031	80.006	19.995	103.060	20.315	0.643	-0.014
11.000	109.117	80.005	19.995	103.068	20.315	0.684	0.013
11.500	109.057	80.006	19.995	103.078	20.314	0.738	0.039
12.000	109.086	80.007	19.995	103.091	20.314	0.736	-0.003
12.500	109.115	80.006	19.996	103.105	20.316	0.567	0.014
13.000	109.108	80.007	19.995	103.114	20.309	1.122	0.040
13.500	109.128	80.006	19.994	103.122	20.315	0.655	0.017
14.000	109.147	80.009	19.995	103.128	20.313	0.797	0.026
14.500	109.142	80.007	19.994	103.130	20.309	1.063	0.026
15.001	109.149	80.007	19.994	103.129	20.310	1.020	0.008
15.501	109.180	80.008	19.994	103.123	20.309	1.111	0.020
16.001	109.211	80.008	19.994	103.116	20.311	0.978	0.050
16.501	109.226	80.007	19.993	103.113	20.307	1.259	0.054
17.000	109.229	80.006	19.995	103.113	20.308	1.140	0.032
17.500	109.234	80.007	19.994	103.114	20.308	1.146	0.013
18.000	109.308	80.006	19.994	103.119	20.310	1.032	0.043
18.500	109.324	80.007	19.994	103.122	20.309	1.065	0.084
19.000	109.325	80.007	19.995	103.123	20.307	1.215	0.054
19.500	109.362	80.007	19.994	103.123	20.303	1.488	0.028
20.000	109.364	80.007	19.993	103.126	20.304	1.434	0.039
20.500	109.387	80.008	19.992	103.126	20.303	1.508	0.032
21.000	109.390	80.007	19.995	103.134	20.302	1.598	0.025
21.500	109.466	80.008	19.994	103.139	20.301	1.627	0.053
22.000	109.492	80.007	19.994	103.146	20.301	1.648	0.091
22.500	109.511	80.007	19.995	103.153	20.302	1.595	0.073
23.000	109.578	80.008	19.994	103.164	20.300	1.761	0.066
23.500	109.596	80.007	19.996	103.173	20.297	1.959	0.086
24.000	109.656	80.007	19.995	103.184	20.298	1.869	0.081
24.500	109.653	80.007	19.994	103.187	20.297	1.919	0.067
25.000	109.719	80.006	19.994	103.190	20.296	1.985	0.060
25.500	109.759	80.006	19.995	103.194	20.295	2.086	0.084
26.000	109.809	80.005	19.995	103.198	20.292	2.303	0.098
26.500	109.846	80.007	19.995	103.200	20.291	2.384	0.089
27.000	109.925	80.006	19.994	103.206	20.290	2.415	0.101
27.500	109.945	80.008	19.995	103.212	20.293	2.194	0.107
28.000	110.019	80.006	19.995	103.217	20.289	2.528	0.097
28.500	110.047	80.004	19.994	103.218	20.290	2.444	0.098
29.000	110.123	80.005	19.994	103.219	20.290	2.409	0.103
29.500	110.199	80.006	19.994	103.221	20.288	2.553	0.128
30.000	110.228	80.006	19.993	103.225	20.283	2.940	0.128
30.500	110.310	80.006	19.994	103.212	20.282	2.982	0.107
31.000	110.375	80.004	19.994	103.196	20.285	2.776	0.129
31.500	110.466	80.005	19.995	103.178	20.284	2.838	0.152
32.000	110.499	80.004	19.994	103.169	20.282	3.030	0.140
32.500	110.591	80.004	19.996	103.155	20.282	2.965	0.124
33.000	110.647	80.004	19.994	103.163	20.285	2.818	0.136
33.500	110.705	80.005	19.995	103.180	20.287	2.667	0.131
34.000	110.768	80.004	19.995	103.225	20.285	2.815	0.117
34.501	110.865	80.004	19.994	103.257	20.283	2.909	0.140
35.001	110.949	80.004	19.995	103.274	20.283	2.936	0.171
35.500	111.000	80.004	19.994	103.281	20.281	3.045	0.158
36.000	111.091	80.005	19.995	103.288	20.281	3.062	0.139
36.500	111.183	80.004	19.994	103.265	20.283	2.901	0.162
37.000	111.264	80.005	19.995	103.249	20.283	2.947	0.178
37.500	111.340	80.004	19.994	103.245	20.281	3.084	0.165
38.000	111.438	80.005	19.994	103.247	20.282	2.976	0.166
38.500	111.552	80.004	19.994	103.245	20.282	3.028	0.193
39.000	111.662	80.004	19.994	103.245	20.279	3.186	0.218
39.500	111.778	80.003	19.995	103.246	20.284	2.882	0.225
40.000	111.815	80.003	19.997	103.249	20.279	3.201	0.190
40.501	111.905	80.004	19.996	103.250	20.280	3.153	0.140
41.001	111.991	80.004	19.995	103.253	20.279	3.186	0.152
41.500	112.089	80.005	19.994	103.251	20.278	3.288	0.181
42.000	112.203	80.005	19.996	103.250	20.280	3.109	0.198
42.500	112.293	80.005	19.994	103.246	20.281	3.034	0.208
43.000	112.390	80.004	19.995	103.244	20.278	3.245	0.196
43.500	112.509	80.005	19.994	103.243	20.281	3.057	0.202
44.000	112.583	80.005	19.995	103.246	20.283	2.919	0.204
44.500	112.670	80.006	19.994	103.246	20.281	3.055	0.177
45.000	112.800	80.004	19.995	103.245	20.280	3.107	0.189
45.500	112.909	80.004	19.994	103.245	20.279	3.188	0.228
46.000	113.048	80.006	19.994	103.245	20.280	3.163	0.243
46.500	113.138	80.005	19.996	103.242	20.279	3.226	0.239
47.000	113.252	80.004	19.994	103.241	20.279	3.178	0.216
47.500	113.340	80.005	19.993	103.241	20.281	3.040	0.203
48.000	113.455	80.005	19.993	103.241	20.280	3.103	0.203
48.500	113.575	80.007	19.994	103.240	20.276	3.436	0.219
49.000	113.678	80.004	19.993	103.242	20.276	3.412	0.229
49.500	113.791	80.005	19.994	103.243	20.278	3.297	0.220
50.000	113.916	80.004	19.994	103.245	20.278	3.266	0.227
50.500	114.084	80.004	19.994	103.247	20.278	3.293	0.265
51.000	114.163	80.005	19.994	103.249	20.279	3.238	0.270
51.500	114.285	80.005	19.993	103.248	20.277	3.380	0.224
52.000	114.408	80.005	19.994	103.248	20.276	3.411	0.223
52.500	114.523	80.005	19.993	103.248	20.277	3.374	0.242
53.000	114.650	80.005	19.994	103.247	20.275	3.476	0.240
53.501	114.827	80.005	19.995	103.247	20.275	3.497	0.273
54.001	114.934	80.004	19.994	103.248	20.275	3.484	0.294
54.500	115.047	80.005	19.995	103.248	20.275	3.511	0.252
55.000	115.166	80.005	19.993	103.248	20.272	3.706	0.226
55.500	115.301	80.005	19.993	103.249	20.273	3.662	0.243
56.000	115.426	80.005	19.994	103.249	20.277	3.342	0.257
56.500	115.532	80.005	19.994	103.249	20.277	3.379	0.245
57.000	115.695	80.005	19.994	103.248	20.275	3.456	0.250
57.500	115.813	80.003	19.996	103.248	20.278	3.271	0.275
58.000	115.950	80.004	19.995	103.247	20.276	3.441	0.268
58.501	116.088	80.004	19.995	103.245	20.274	3.550	0.265
59.001	116.226	80.005	19.995	103.245	20.274	3.529	0.276
59.500	116.361	80.004	19.995	103.244	20.277	3.383	0.275
60.000	116.512	80.003	19.994	103.242	20.272	3.672	0.280
60.500	116.634	80.004	19.994	103.243	20.273	3.616	0.279
61.000	116.786	80.004	19.995	103.245	20.271	3.758	0.273
61.501	116.905	80.004	19.995	103.245	20.272	3.702	0.272
62.001	117.060	80.006	19.994	103.247	20.274	3.533	0.272
62.500	117.206	80.004	19.994	103.248	20.271	3.739	0.287
63.000	117.323	80.005	19.996	103.249	20.272	3.729	0.282
63.500	117.480	80.004	19.995	103.251	20.270	3.835	0.269
64.000	117.609	80.004	19.994	103.252	20.272	3.691	0.281
64.500	117.774	80.004	19.995	103.256	20.272	3.714	0.290
65.000	117.915	80.005	19.994	103.260	20.269	3.895	0.300
65.500	118.063	80.006	19.994	103.267	20.271	3.802	0.298
66.000	118.232	80.005	19.995	103.271	20.269	3.937	0.303
66.500	118.376	80.005	19.995	103.276	20.269	3.906	0.315
67.000	118.549	80.004	19.996	103.279	20.267	4.026	0.315
67.500	118.691	80.006	19.997	103.283	20.267	4.077	0.316
68.000	118.821	80.005	19.996	103.282	20.268	3.951	0.294
68.500	118.954	80.004	19.996	103.284	20.270	3.877	0.268
69.000	119.140	80.005	19.994	103.286	20.265	4.177	0.291
69.501	119.280	80.005	19.996	103.286	20.268	3.977	0.322
70.001	119.428	80.006	19.995	103.285	20.269	3.941	0.307
70.500	119.665	80.006	19.994	103.286	20.266	4.110	0.337
71.000	119.811	80.006	19.994	103.286	20.267	4.062	0.384
71.500	119.965	80.006	19.995	103.286	20.268	4.020	0.341
72.000	120.142	80.005	19.996	103.286	20.264	4.264	0.315
72.500	120.320	80.006	19.994	103.287	20.266	4.145	0.343
73.000	120.489	80.005	19.996	103.286	20.268	3.974	0.351
73.500	120.585	80.005	19.995	103.285	20.268	3.979	0.306
74.000	120.770	80.005	19.994	103.285	20.268	4.016	0.273
74.500	120.955	80.006	19.995	103.285	20.267	4.026	0.325
75.000	121.135	80.006	19.996	103.285	20.268	3.979	0.368
75.500	121.291	80.008	19.995	103.286	20.268	4.001	0.351
76.000	121.507	80.007	19.995	103.287	20.268	4.012	0.354
76.500	121.694	80.005	19.995	103.287	20.266	4.129	0.388
77.000	121.860	80.007	19.996	103.287	20.266	4.095	0.378
77.501	122.032	80.006	19.995	103.287	20.266	4.108	0.345
78.001	122.193	80.006	19.995	103.287	20.263	4.337	0.335
78.500	122.383	80.007	19.994	103.287	20.261	4.445	0.342
79.000	122.559	80.007	19.995	103.287	20.265	4.214	0.358
79.500	122.710	80.007	19.994	103.287	20.269	3.935	0.347
80.000	122.936	80.007	19.995	103.287	20.264	4.239	0.352
80.501	123.094	80.006	19.995	103.287	20.261	4.501	0.381
81.001	123.283	80.006	19.994	103.287	20.262	4.376	0.366
81.500	123.459	80.006	19.995	103.285	20.264	4.260	0.356
82.000	123.653	80.007	19.994	103.286	20.265	4.170	0.367
82.500	123.835	80.006	19.994	103.286	20.265	4.166	0.373
83.001	124.014	80.006	19.995	103.286	20.263	4.347	0.369
83.501	124.238	80.006	19.995	103.286	20.262	4.414	0.382
84.000	124.422	80.007	19.995	103.288	20.264	4.299	0.406
84.500	124.583	80.007	19.995	103.288	20.263	4.322	0.376
85.000	124.782	80.005	19.994	103.287	20.261	4.453	0.353
85.500	124.987	80.006	19.994	103.288	20.262	4.435	0.382
